MID_FRIENDLIST_Vandre_TextD	【初期兵种】圣骑士\n【生日】11月26日\n【备注】第三十二代龙之守护者。\n在浮游岛上的离宫索拉涅尔，\n负责照顾沉眠于此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Vandre_TextC	【喜欢的事物】\n裁缝、打扫、写作、\n水果、安静的地方、毛线球\n【不喜欢的事物】\n奇珍异味、宴会、味道强烈的东西、\n专注时被打断、睡过头
MID_FRIENDLIST_Vandre_TextB	【兴趣】待在安静的场所\n【专长】编织蕾丝、制作果酱\n【经历】来自圣地里特司的聚落，\n生于代代侍奉神龙的家族。\n在里特司服侍于王城的神职人员\n会被分至各个聚落过平静的生活。\n凡德雷的能力获得前任守护者的\n高度赞赏，因此被指定为继任者。
MID_FRIENDLIST_Vandre_TextA	【身高】190cm\n【无名指的戒围】22号\n【性格】认真严格，经验老道。\n总是默默地完成分内的工作，\n但有时也会展现亲切的一面。\n将守护者的使命放在首位，\n并决心将此生奉献给神龙。\n是军中最擅长封蜡的人。
MID_FRIENDLIST_Vandre_TextS	【成为搭档后】\n为了避免公私不分，凡德雷\n在众人面前表现得一如既往，\n但有人说他看你的视线好像\n比以前更温柔了。\n由于担心伤到约定戒指，\n所以不会经常佩戴，\n但每晚都会仔细保养。
MID_FRIENDLIST_Clan_TextD	【初期兵种】魔法师\n【生日】3月10日\n【备注】芙岚的双胞胎哥哥。\n继承了凡德雷的职位，\n是第三十三代龙之守护者。\n神龙\x0E\x06\x03\x00苏醒之际，\n柯岚正随侍在侧。
MID_FRIENDLIST_Clan_TextC	【喜欢的事物】\n神龙、打扫、学习、下厨、读书、\n腌菜、哲学书籍\n【不喜欢的事物】\n虫子、运动、鬼故事、\n动物以外的交通工具、\n心情不好时的自己
MID_FRIENDLIST_Clan_TextB	【兴趣】照顾神龙大人的生活起居\n【专长】制作腌菜、背诵诗歌\n【经历】来自圣地里特司的聚落。\n生于神职世家，从小就时常\n进出索拉涅尔。凡德雷是柯岚的\n远房亲戚，且十分赞赏柯岚对\n神龙\x0E\x06\x03\x00的悉心照料，\n因此提拔他成为下一任守护者。
MID_FRIENDLIST_Clan_TextA	【身高】160cm\n【无名指的戒围】9号\n【个性】性格内敛且思虑周详，\n但碰到有兴趣的事会十分狂热。\n总是能抓住要领，顺利完成任务。\n和芙岚一起成立了神龙的\n粉丝俱乐部，并担任会长一职。\n是军中最擅长棋盘游戏的人。
MID_FRIENDLIST_Clan_TextS	【成为搭档后】\n因为担心逾矩，在众人面前\n还是表现得如往常一样拘谨，\n等到两人独处时才会稍微主动些。\n会在独自一人时戴上约定戒指，\n静静凝视并细细品尝幸福的滋味。\n梦想着有一天能在身高上超过你，\n守护在你左右。
MID_FRIENDLIST_Fram_TextD	【初期兵种】僧侣\n【生日】3月10日\n【备注】柯岚的双胞胎妹妹。\n继承了凡德雷的职位，\n是第三十三代龙之守护者。\n神龙\x0E\x06\x03\x00苏醒之际，\n芙岚正随侍在侧。
MID_FRIENDLIST_Fram_TextC	【喜欢的事物】\n神龙、花、时尚、运动、\n甜菜、替别人加油\n【不喜欢的事物】\n打扫、学习、鬼故事、难懂的书、\n碎碎念、被自己绊倒时的尴尬
MID_FRIENDLIST_Fram_TextB	【兴趣】崇拜神龙大人\n【专长】评鉴甜菜、后空翻\n【经历】来自圣地里特司的聚落。\n生于神职世家，从小就时常\n进出索拉涅尔。凡德雷是芙岚的\n远房亲戚，且十分赞赏芙岚对\n神龙\x0E\x06\x03\x00的热情以待，\n因此提拔她成为下一任守护者。
MID_FRIENDLIST_Fram_TextA	【身高】160cm\n【无名指的戒围】7号\n【性格】好胜活泼。\n身为守护者，工作态度十分积极，\n但是常因草率行事而招致失败。\n和柯岚一起成立了神龙的\n粉丝俱乐部，并担任名誉会长一职。\n是军中回旋踢技巧最为精湛的人。
MID_FRIENDLIST_Fram_TextS	【成为搭档后】\n和往常一样，见到你就非常开心，\n并尽情为你加油打气。\n两人独处时则表现得较为沉稳。\n为了不弄丢约定戒指，\n将戒指收藏在宝箱之中，\n盼望有天成为成熟的大人以后，\n可以随时随地戴着戒指。
MID_FRIENDLIST_Alfred_TextD	【初期兵种】王室贵族\n【生日】8月8日\n费列聂王国的第一王子。\n神龙王城遇袭的夜晚，\n率领布修隆、艾媞耶两名臣子，\n一同奔赴王城支援。
MID_FRIENDLIST_Alfred_TextC	【喜欢的事物】\n锻炼、运动、音乐、花、\n肌肉、晨曦、四叶幸运草、他人的幸福\n【不喜欢的事物】\n繁琐的工作、裁缝、辣的食物、\n失眠的夜晚、后悔
MID_FRIENDLIST_Alfred_TextB	【兴趣】锻炼肌肉、和人聊天\n【专长】早睡早起、制作花冠\n【经历】生为费列聂王国的王子，\n以王位第一顺位继承者被养育成人。\n年幼时体弱多病，为了强身健体而\n勤于锻炼，养成了极为强健的体魄。\n并且将亡父生前传授的枪术修炼至\n登峰造极。
MID_FRIENDLIST_Alfred_TextA	【身高】177cm\n【无名指的戒围】12号\n【个性】善良且温和谦逊，\n乍看是一名相当典型的王族，\n内在却相当豪迈且忠于自我。\n喜欢在生活中寻找小确幸。\n偶尔也会想要一人独处。\n是军中身上花香最浓郁的人。
MID_FRIENDLIST_Alfred_TextS	【成为搭档后】\n四处向伙伴炫耀\n自己每天都过得很幸福，\n并经常制作花冠送给你。\n为了能和长寿的你长相厮守，\n比以往更加勤奋地锻炼身体。\n将约定戒指收在有花朵刺绣的袋中，\n藏在衣服的某处随身携带。
MID_FRIENDLIST_Boucheron_TextD	【初期兵种】斧战士\n【生日】5月11日\n【备注】费列聂王国的王城骑士。\n神龙王城遇袭的夜晚，\n与主君阿尔弗雷德王子\n以及同袍艾媞耶，\n一同奔赴王城支援。
MID_FRIENDLIST_Boucheron_TextC	【喜欢的事物】\n读书、钓鱼、散步、自然、\n熟悉的路、大团圆结局的故事\n【不喜欢的事物】\n繁琐的工作、鬼故事、\n第一次走的路、悲剧故事
MID_FRIENDLIST_Boucheron_TextB	【兴趣】在大自然中读书\n【专长】体力活、品水\n【经历】来自费列聂王国内\n一座流淌着清澈水源的城镇。\n是伯爵家的次子，有位体格健壮的\n兄长。由于双亲皆与王族交流频繁，\n自幼便结识了阿尔弗雷德王子，\n并在年幼时即被指名担任其臣子。
MID_FRIENDLIST_Boucheron_TextA	【身高】190cm\n【无名指的戒围】21号\n【个性】心地善良、相当感性。\n一被感动，眼泪便会夺眶而出。\n人们经常找他倾诉自己的烦恼。\n由于出身贵族，大多数时候都\n乘坐马车，因此方向感不太好。\n是军中最具包容力的人。
MID_FRIENDLIST_Boucheron_TextS	【成为搭档后】\n在一天结束时会待在你身边，\n静静地聆听你说话。\n在众人面前还是一如既往地可靠，\n但在两人独处时会变得十分热情。\n每次看到约定戒指都会感动到落泪，\n因此唯有重要时刻才会小心翼翼地\n戴在手上。
MID_FRIENDLIST_Etie_TextD	【初期兵种】弓箭手\n【生日】10月1日\n【备注】费列聂王国的王城骑士。\n神龙王城遇袭的夜晚，\n与主君阿尔弗雷德王子\n以及同袍布修隆，\n一同奔赴王城支援。
MID_FRIENDLIST_Etie_TextC	【喜欢的事物】\n锻炼、茶会、花、肉、\n味道有趣的肌肉增强剂\n【不喜欢的事物】\n繁琐的工作、打扫、裁缝、\n无法靠腕力解决的事
MID_FRIENDLIST_Etie_TextB	【兴趣】所有活动身体的事\n【专长】延长切花的寿命\n【经历】来自费列聂王国，\n花田小镇的名门侯爵之女。\n有着年龄差距较大的兄姐。\n自幼便结识了锡莉奴，\n经锡莉奴介绍对锻炼肌肉\n产生兴趣并坚持每日训练。
MID_FRIENDLIST_Etie_TextA	【身高】154cm\n【无名指的戒围】13号\n【个性】气质高雅。看似高傲，\n其实性格相当积极活泼。\n每天都专心于强身健体，\n为此不惜投入大量时间研究。\n遇到烦恼都靠活动身体解决。\n是军中跑得最快的人。
MID_FRIENDLIST_Etie_TextS	【成为搭档后】\n比任何人都还要担心你的身体，\n会在你疲劳时替你做些体力活，\n比如帮你打开栓紧的瓶盖等等。\n能够在闲暇之余和你一起跑步，\n对她来说就是世上最大的幸福。\n无论如何都不想弄坏约定戒指，\n所以将戒指收在花型收纳盒中。
MID_FRIENDLIST_Celine_TextD	【初期兵种】王室贵族\n【生日】12月18日\n【备注】费列聂王国的第一公主。\n阿尔弗雷德的妹妹。\n有路易、克萝艾两名臣子。\n带着“慈悲公主戒指”\n在弗鲁鲁风车村加入神龙军。
MID_FRIENDLIST_Celine_TextC	【喜欢的事物】\n茶会、花、阅读、时尚、\n红茶、小鸟、同伴的幸福\n【不喜欢的事物】\n辣的食物、武器、\n战争、幸福过度、\n被迫积极面对事物
MID_FRIENDLIST_Celine_TextB	【兴趣】邀约他人一同品茶\n【专长】猜中茶叶的产地\n【经历】生为费列聂王国的公主，\n在家人与国民的关爱中长大成人。\n年幼时相当爱哭，但在父王崩殂后，\n立誓要成为母亲与兄长的坚强后盾，\n勤于锻炼学习，练就了强韧的心志。
MID_FRIENDLIST_Celine_TextA	【身高】155cm\n【无名指的戒围】6号\n【个性】开朗且平易近人。\n品学兼优，事事皆能掌握要领，\n不惜为和平而战。\n虽然经常吐槽兄长阿尔弗雷德，\n但其实比谁都要关心他。\n是军中最为辩才无碍的人。
MID_FRIENDLIST_Celine_TextS	【成为搭档后】\n每日一同品茶度过闲静时光，\n已然成为两人每日必做之事。\n就算在战斗中遭遇痛苦，\n也会互相扶持、彼此分担。\n将约定戒指存放在以锡莉奴\n最爱的白芍花为原型的台座上，\n每当两人独处时一定会戴着戒指。
MID_FRIENDLIST_Louis_TextD	【初期兵种】重枪兵\n【生日】11月4日\n【备注】费列聂王国的王城骑士。\n在弗鲁鲁风车村\n为了让主君锡莉奴逃走，\n与同袍克萝艾携手作战。\n此战后加入神龙军。
MID_FRIENDLIST_Louis_TextC	【喜欢的事物】\n茶会、下厨、花、妄想、\n同伴们感情和睦、葡萄\n【不喜欢的事物】\n工艺、特辣的食物、海葡萄、\n看不透真心的人、\n感官灵敏的人
MID_FRIENDLIST_Louis_TextB	【兴趣】在一旁观察同伴\n【专长】照顾别人、泡茶\n【经历】来自费列聂王国。\n生于盛产葡萄之村的平民。\n为了扶养三个弟弟而立志成为骑士，\n能力受肯定被提拔为锡莉奴的臣子。\n在费列聂王国，非贵族出身\n而成为王族的臣子实为罕见。
MID_FRIENDLIST_Louis_TextA	【身高】178cm\n【无名指的戒围】18号\n【个性】温和有礼，\n具备骑士与管家应有的素养。\n总是在意同伴的状况，看到大家\n和睦相处的景象就会感到很幸福。\n情绪一有波动便会露出凝重表情。\n是军中最擅长预测天气的人。
MID_FRIENDLIST_Louis_TextS	【成为搭档后】\n变得比以前还要温柔许多，\n会无微不至地细心照顾你。\n比起观察同伴之间的互动，\n更愿意把时间用来照看你。\n将约定戒指擦得闪闪发亮，\n打算将来有一天要回送你\n一枚自己亲手制作的对戒。
MID_FRIENDLIST_Chloe_TextD	【初期兵种】枪飞马骑士\n【生日】4月27日\n【备注】费列聂王国的王城骑士。\n在弗鲁鲁风车村\n为了让主君锡莉奴逃走，\n与同袍路易携手作战。\n此战后加入神龙军。
MID_FRIENDLIST_Chloe_TextC	【喜欢的事物】\n童话故事、奇珍异味、妄想、动物、\n从空中眺望景色、重口味食物\n【不喜欢的事物】\n下厨、打扫、晒太阳、\n清淡的食物、分量少的餐点、\n身为贵族子女的言行举止
MID_FRIENDLIST_Chloe_TextB	【兴趣】吃遍小吃摊、空中散步\n【专长】投掷、大胃王\n【经历】来自费列聂王国一个\n距海不远的城镇，是侯爵之女。\n有个未来要继承爵位的兄长。\n为了成人后嫁给门当户对的男性，\n克萝艾自幼便接受各式贵族教育，\n偶遇锡莉奴后立志成为王城骑士。
MID_FRIENDLIST_Chloe_TextA	【身高】167cm\n【无名指的戒围】11号\n【个性】气质温婉的淑女。\n喜欢童话故事与美丽的风景，\n总是在同伴中探寻美如画的配对。\n非常喜欢奇珍异味，就算吃很多\n来路不明的食物也不会闹肚子。\n是军中最擅长投掷的人。
