MID_TUT_BMAP_FireBall_TITLE	火山弹
MID_TUT_BMAP_FireBall_0	被火山弹击中时会受到伤害。
MID_TUT_BMAP_FireBall_1	火山弹必定会落在有“焦痕”的位置上，\n小心别停留在该处。
MID_TUT_BMAP_FireBall_2	另外，身处“喷火口”的单位\n也会受到伤害。
MID_TUT_BMAP_Smoke_TITLE	黑烟
MID_TUT_BMAP_Smoke_0	若身处“黑烟”效果的地形，\n将会降低回避、防守与魔防。
MID_TUT_BMAP_Smoke_1	另外，黑烟会在此战斗地图逐渐扩散，\n需多加留意。
MID_TUT_HUB_REFRESH_TITLE	放松身心
MID_TUT_HUB_REFRESH_0	可选择2名伙伴一起在索拉涅尔\n放松战斗后的疲惫身心。
MID_TUT_HUB_REFRESH_1	一起放松时，有机会提升支援值。
MID_TUT_HUB_REFRESH_2	在下次出击前，\n可在泳池、果树园与马厩各放松身心1次。
MID_TUT_HUB_REFRESH_NOTICE	可以在“泳池”等地“放松身心”了。
MID_TUT_HUB_REFRESH_OPEN	可以“放松身心”了。
MID_TUT_GOD_HECTOR_TITLE	纹章士海克托尔
MID_TUT_GOD_HECTOR_0	“纹章士海克托尔”拥有傲人的高防御力，\n可在保护我方单位的同时，利用反击来击退敌人。
MID_TUT_GOD_HECTOR_1	同步技“回击”\n在受到攻击时，若还剩一定程度的HP，\n将可增加反击时的攻击次数。
MID_TUT_GOD_HECTOR_2	结合武器“沃夫拜尔”\n可对骑马的敌人及重装兵造成大量伤害。
MID_TUT_GOD_HECTOR_3	结合特技“铁壁”\n可在受到攻击时，提升防守与魔防。
MID_TUT_GOD_HECTOR_4	结合技“止水雷轰架势”\n可在敌军行动阶段时，封印敌人发动追击和打破的能力，\n并增加自身反击时的攻击次数。
MID_TUT_GOD_SENERIO_TITLE	纹章士塞涅里欧
MID_TUT_GOD_SENERIO_0	“纹章士塞涅里欧”擅长魔法攻击，\n会引诱或妨碍敌人，让战况有利于我军。
MID_TUT_GOD_SENERIO_1	同步技“指名诱饵”\n可使指定的我方单位容易成为敌方目标。
MID_TUT_GOD_SENERIO_2	结合武器“雷暴”的射程较远，\n可攻击远处的敌人。
MID_TUT_GOD_SENERIO_3	结合特技“阳光”\n可在使用魔法攻击时，减少对手的魔防，\n并依造成的伤害回复HP。
MID_TUT_GOD_SENERIO_4	结合技“灾厄”\n会以炎、雷、风的连续魔法展开广域攻击。
MID_TUT_GOD_CAMILLA_TITLE	纹章士卡美拉
MID_TUT_GOD_CAMILLA_0	“纹章士卡美拉”拥有改变地形的力量及飞行能力，\n可从地面和空中控制战场。
MID_TUT_GOD_CAMILLA_1	同步技“龙脉·暗”可依据我方单位\n同步时的战斗类型赋予地形各种特殊效果，\n并消除该地形上的“火焰”和“瘴气”等效果。
MID_TUT_GOD_CAMILLA_2	结合武器“闪雷斧”\n可对远处的敌人发动魔法攻击。
MID_TUT_GOD_CAMILLA_3	结合特技“天驱”\n可提升移动力，使单位和飞行类型一样，\n能进入“无法步行”的地形。
MID_TUT_GOD_CAMILLA_4	结合技“暗夜爆破阵”\n可用大范围的爆炸对敌人造成伤害，\n并赋予地形“火焰”的效果。
MID_TUT_TIPS_Hector	纹章士海克托尔
MID_TUT_TIPS_Senerio	纹章士塞涅里欧
MID_TUT_TIPS_Camilla	纹章士卡美拉
MID_TIPS_OTHER_35	每结束1场战斗，都可在索拉涅尔的3个地方各“放松身心”1次，一起放松的伙伴也会提升支援值。
MID_TIPS_SKILL_36	使用炎、雷或风魔法攻击时，将根据魔法种类降低对手的能力值，效果持续1回合。
MID_TIPS_SKILL_37	使用魔法攻击陷入打破状态的敌人时，有一定机率让敌人继续维持打破状态。
MID_TIPS_GOD_29	异界埃列布陆地中奥斯提亚侯爵家的侯爵之弟，是位力大无穷的用斧能手。
MID_TIPS_GOD_30	罗伊之父艾利乌德的挚友。曾手持“天雷之斧阿尔玛兹”，与艾利乌德一同对抗魔头。
MID_TIPS_GOD_31	在异界堤里乌斯陆地的格莱尔佣兵团担任参谋的青年。
MID_TIPS_GOD_32	隶属艾克的佣兵团，是位军师才能卓越的贤者。
MID_TIPS_GOD_33	异界暗夜王国的第一公主，是位美艳的魔龙骑士。
MID_TIPS_GOD_34	神威的手足。非常重视伙伴，对敌人则冷酷无情。
MID_TUT_NAVI_G004_ADVICE_START	此地图的敌人武器多为杖，\n因此环境设置的“杖·起舞动画”\n将设为“我军行动阶段”。\n此设置可通过环境设置随时更改。
MID_TUT_NAVI_G004_ADVICE_END	地图开始时所更改的“杖·起舞动画”设置\n将恢复成原先的设置。
