MID_WU_C_1_IN_#001	四翼的玛德琳，前来叫神龙大人起床了。
MID_WU_C_1_SOON_#001	居然能察觉到我的气息，
MID_WU_C_1_SOON_#002	然后马上清醒过来。
MID_WU_C_1_SOON_#003	真不愧是我军的最高领袖。
MID_WU_C_1_SOON_#004	我深感佩服啊，神龙大人。
MID_WU_C_1_WAKEUP_#001	看来神龙大人睡得很沉呢。
MID_WU_C_1_WAKEUP_#002	要是此时出现刺客，\x0E\x0A\x02\x00的性命就危险了。
MID_WU_C_1_WAKEUP_#003	我得好好守护\x0E\x0A\x02\x00才行……
MID_WU_C_1_HELLO_#001	您醒来了啊。
MID_WU_C_1_HELLO_#002	不，这点小事不值得您的称赞。
MID_WU_C_1_HELLO_#003	要是有人想趁您睡觉时偷袭，
MID_WU_C_1_HELLO_#004	我一定会让他吃不完兜着走的！
MID_WU_C_2_IN_#001	神龙大人，快起床！
MID_WU_C_2_IN_#002	现在起来的话，还不算睡过头哦！
MID_WU_C_2_SOON_#001	呼，还好赶上了。
MID_WU_C_2_SOON_#002	在避免睡过头的同时获得充足的睡眠……
MID_WU_C_2_SOON_#003	您的手法真是高明啊。
MID_WU_C_2_SOON_#004	不过，还是请您快去梳洗吧。
MID_WU_C_2_WAKEUP_#001	糟糕，\x0E\x0A\x02\x00完全没有要醒来的迹象。
MID_WU_C_2_WAKEUP_#002	但就这样放弃的话，可有损我的骑士之名。
MID_WU_C_2_WAKEUP_#003	看来只能用粗暴一点的方法了……
MID_WU_C_2_WAKEUP_#004	吃我这招！！
MID_WU_C_2_HELLO_#001	呼……
MID_WU_C_2_HELLO_#002	我听说比起声音，震动更容易让人醒来，
MID_WU_C_2_HELLO_#003	所以就用尽全力地摇您的床了。
MID_WU_C_2_HELLO_#004	好了，请赶紧去梳洗吧。
MID_WU_B_1_IN_#001	神龙大人，差不多是起床的时候了……
MID_WU_B_1_IN_#002	哇，您的床上有虫！
MID_WU_B_1_SOON_#001	哦哦，神龙大人一起床，
MID_WU_B_1_SOON_#002	那只虫就飞出房间了。
MID_WU_B_1_SOON_#003	太好了……
MID_WU_B_1_SOON_#004	那么，请您放心地做出门的准备吧。
MID_WU_B_1_WAKEUP_#001	你这个索拉涅尔的入侵者。
MID_WU_B_1_WAKEUP_#002	虽然应该要马上解决你，
MID_WU_B_1_WAKEUP_#003	但神龙大人之前说过……
MID_WU_B_1_WAKEUP_#004	不用暴力解决问题才是最好的方法。
MID_WU_B_1_WAKEUP_#005	那我就……
MID_WU_B_1_WAKEUP_#006	嘿～嘿～！
MID_WU_B_1_HELLO_#001	呼……
MID_WU_B_1_HELLO_#002	多亏了神龙大人的教诲，
MID_WU_B_1_HELLO_#003	我才能顺利地赶走那只虫。
MID_WU_B_1_HELLO_#004	咦，您想看看是什么虫？
MID_WU_B_1_HELLO_#005	抱歉，是我多事了……
MID_WU_B_2_IN_#001	我身为骑士，
MID_WU_B_2_IN_#002	就算在战场之外，
MID_WU_B_2_IN_#003	也要完美地完成任务才行。
MID_WU_B_2_IN_#004	好～
MID_WU_B_2_SOON_#001	咦？任务好像已经完成了。
MID_WU_B_2_SOON_#002	我参考骑士的礼仪，
MID_WU_B_2_SOON_#003	想了几十种叫醒人的方式，
MID_WU_B_2_SOON_#004	看来只能留到下次再尝试了。
MID_WU_B_2_WAKEUP_#001	这次我就像个骑士一样，
MID_WU_B_2_WAKEUP_#002	用单膝跪地的方式叫醒\x0E\x0A\x02\x00吧。
MID_WU_B_2_WAKEUP_#003	这样神龙大人醒来看到时，
MID_WU_B_2_WAKEUP_#004	一定会对我留下好印象……
MID_WU_B_2_WAKEUP_#005	哎呀！脚滑了……
MID_WU_B_2_HELLO_#001	不、不好意思，神龙大人。
MID_WU_B_2_HELLO_#002	我本来打算像个骑士一样叫醒您，
MID_WU_B_2_HELLO_#003	没想到脚一滑就摔倒了……
