MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x0A\x08リュール\nWir sind da... auf den Inseln südlich von Firene.\nIch kann definitiv die Präsenz eines Emblems\nspüren.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0C\nヴァンドレ\nDort drüben – das sieht aus wie ein Altar.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nUnd auf dem Altar liegt ein Armring. Ich spüre\nanscheinend das Emblem, das in dem Armring\nruht.\x0E\x04\x02\x00
MID_OP1_#004	Huch! Ja. Ich kann es jetzt spüren.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nヴァンドレ\nWas denn, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nIch habe eine Anrufung erkannt.\x0E\x04\x02\x00
MID_OP1_#007	Ich werde jetzt versuchen, das Emblem zu\nbeschwören.\x0E\x04\x02\x00
MID_OP1_#008	Träume wohl, Emblem der Drachen!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x00\x0A\x04チキ\x023\n\x0E\x03\x02\x06\x04チキ\nMar-Mar? Nein... Entschuldige, aber wer bist\ndu?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08リュール\nIch bin \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\nWir sind hierhergekommen, weil ich deine\nPräsenz gespürt habe.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04チキ\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin? Oh, ich bin auch eine Wyrmgöttin!\nIch bin Emblem Tiki.\x0E\x04\x02\x00
MID_OP2_#004	Ich muss dir danken, weil du mich aufgeweckt\nhast. Ich fühle mich, als hätte ich eine sehr\nlange Zeit geschlafen.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nDas kann ich nachempfinden, Tiki. Kannst du\ndich daran erinnern, was vor deinem Schlaf\npassierte?\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x06\x04チキ\nHmm... Ich weiß, dass meine Freunde aus den\nArmringen und ich irgendwo sehr weit weg\nvon hier waren.\x0E\x04\x02\x00
MID_OP2_#007	Wir haben in so vielen Schlachten gekämpft. Ich\nkann gar nicht sagen, wie sie alle ausgingen.\x0E\x04\x02\x00
MID_OP2_#008	Ich erinnere mich, dass mir jemand mit sanften\nHänden half, einzuschlafen. Wer das wohl war?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nSanft... Hmm.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x06\x04チキ\nIn meiner eigenen Welt musste ich auch\nschlafen. Es diente meinem Schutz, aber ich\nhatte dennoch ziemliche Angst.\x0E\x04\x02\x00
MID_OP2_#011	Aber dann sorgte Mar-Mar dafür, dass ich nicht\nmehr schlafen musste!\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nMeinst du Marth? Sprichst du von den Ereignis-\nsen aus der Zeit des Heldenkönigs?\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x06\x04チキ\nDu kennst ihn?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nDas tue ich. Emblem Marth wacht schon sehr\nlange über Elyos.\x0E\x04\x02\x00
MID_OP2_#015	Wenn du dich bereit erklären würdest, dich ihm\nanzuschließen, um für die Rettung dieser Welt\nzu kämpfen, wären wir dir sehr dankbar.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x06\x04チキ\nIch schließe mich liebend gern deiner Gruppe\nan. Mit so vielen neuen Freunden zu reisen\nklingt lustig!\x0E\x04\x02\x00
MID_OP2_#017	Aber wenn ich mich dir anschließen soll,\nmöchte ich zunächst gerne sehen, was dich\nmotiviert. Zeigst du mir deinen Wesenskern?\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nSelbstverständlich. Aber wie geht das?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x06\x04チキ\nOh, das ist ganz einfach! Du kämpfst einfach\ngegen mich. Dadurch lerne ich deine wahre\nNatur kennen.\x0E\x04\x02\x00
MID_OP2_#020	Und halte dich nicht zurück! Ich bin wirklich\nziemlich stark!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nSmile\n\x0E\x03\x02\x06\x04チキ\nNun komm, zeig mir deine Kraft!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04チキ\x02b\n\x0E\x05\x01\x12\x04チキ\nRelax\n\x0E\x03\x02\x06\x04チキ\nEine mächtige Kraft schützt diese Türen.\x0E\x04\x00\x00
