MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nFür einen Menschen seid Ihr unglaublich\nweise, Leif. Ich kann verstehen, warum sie\nEuch den weisen Lord nennen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06リーフ\nWenn ich wirklich so wirke, liegt das an meiner\nErziehung. In meiner Jugend war ich geradezu\nauf schändliche Weise unwissend.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nEs soll für Euch unmöglich gewesen sein, die\nHeilige Waffe Eurer Familie zu führen. Das war\nsicher eine missliche Situation für Euch.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06リーフ\nAnfangs fühlte ich mich unzulänglich. Aber\nirgendwann begriff ich, dass der Wille das ist,\nwas wirklich zählt.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nBitte verzeiht, dass ich auf unhöfliche Art\nein solch delikates Thema angesprochen habe.\nAber es erinnerte mich an meinen Bruder.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06リーフ\nIhr müsst Euch nicht entschuldigen. Mich mit\nEuch zu unterhalten, lässt mich nostalgisch\nwerden. Ihr erinnert mich an einen alten Freund.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06リーフ\nEr war jemand, der oft streng, manchmal sogar\nbarsch, aber immer aus Güte heraus gesprochen\nhat.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nVielleicht kann ich ja – wenn Ihr mich es lehrt –\neines Tages genauso weise werden wie Euer\nalter Freund.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nGenießt Euren Ruhm, solange Ihr könnt. Ich\nwerde nicht zulassen, dass Ihr mich in der\nnächsten Schlacht in den Schatten stellt.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06リーフ\nIch freue mich schon darauf, Euch in Aktion\nzu sehen, Rafal. Und ich hoffe, mir bald Euer\nVertrauen verdient zu haben.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nRuht Ihr niemals aus? Sicher kann sich doch\nauch ein Emblem erschöpft fühlen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06リーフ\nWir ermüden nicht so leicht, nein, aber das\nbedeutet, Ihr könnt Euch stets auf mich\nverlassen, solltet Ihr müde sein.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nIch wurde darauf aufmerksam, dass Ihr ebenfalls\neine ältere Schwester hattet. Das hättet Ihr mir\neher sagen sollen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06リーフ\nHahaha! Wir wurden schon in ganz jungen\nJahren getrennt. Aber sie ist wirklich hervor-\nragend und stark – ganz im Gegensatz zu mir.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06リーフ\nMir ihr an unserer Seite wären die Schlachten\nviel leichter zu schlagen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nDas verstehe ich nur zu gut. Aber wenn ich\nmich auf Euch verlassen soll, dürft Ihr Euch\nselbst nicht so herabsetzen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nBei der kleinsten Aufregung verliere ich die\nFassung. Es ist unglaublich, wie gefasst Ihr\nimmer seid, Leif.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06リーフ\nWenn man den Gefühlen erlaubt, die Oberhand\nzu gewinnen, wird man in der Schlacht zu einer\nBelastung. Das ist etwas, das ich vermeiden will.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch weiß, dass ich in der letzten Schlacht nicht\nin Bestform war. Ich fühle, wie mein Selbstver-\ntrauen nachlässt. Würdet Ihr mit mir trainieren?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06リーフ\nNatürlich, ich kann mit dir trainieren. Ich\nwerde an deiner Seite bleiben, bis du wieder\nmehr Selbstvertrauen besitzt.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nWenn ich früher schon so stark gewesen wäre,\nwäre ich vielleicht in der Lage gewesen, \x0E\x0A\x00\x10\x06die\x06den\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott und Mauvier zu retten.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06リーフ\nBedauern wird diejenigen, die du verloren hast,\nnicht zu dir zurückbringen. Wir müssen\nnach vorne sehen und weitermachen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06リーフ\nLass uns im Jetzt leben, sodass du sie, wenn\ndeine Zeit gekommen ist, mit stolz erhobenem\nHaupte wiedersehen kannst.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nJa! Und bis ich sie wiedersehe, werde ich mich\nanstrengen, damit auch ich auf mich stolz sein\nkann!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nIch bin ein Feigling und es nicht wert, dass der\nweise Lord seine Macht an mich verschenkt,\naber...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06リーフ\nMach dich nicht selbst klein, Gregory. Du hast\nin der letzten Schlacht fabelhaft gekämpft.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVerzeiht, Leif. Obwohl Ihr mir Eure Macht\nleiht, habe ich den Wunsch, wegzurennen.\nIch bin ein hoffnungsloser Fall...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06リーフ\nDas bist du nicht. Ich bin überzeugt davon,\ndass du dich behaupten kannst, wenn es\nwirklich darauf ankommt.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSeit Ihr bei mir seid, bin ich auf dem Schlacht-\nfeld ruhiger und selbstbewusster geworden.\nHabt Ihr das bemerkt?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06リーフ\nGewiss. Aber du darfst nicht vergessen, dass es\nmanchmal weise ist, nicht zur Waffe zu greifen.\nEs gibt Momente, da muss man wegrennen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06リーフ\nHätte ich das einst früher begriffen, hätte ich\njemanden retten können... Ich wünschte, ich\nkönnte das meinem vergangenen Ich erklären.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nIch wusste nicht, dass Ihr eine ähnliche\nErfahrung gemacht habt. Wenn Ihr mir Eure\nGeschichte erzählen wollt, höre ich gerne zu.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nIch frage mich, was es wirklich bedeutet, ein\nRitter zu sein. Ich würde mich geehrt fühlen,\nwenn Ihr mich darin unterweisen würdet.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06リーフ\nWas es bedeutet, ein Ritter zu sein? Ich glaube\nnicht, dass es darauf eine einfache Antwort gibt,\naber ich werde darüber nachdenken.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMir kam das Gerücht zu Ohren, dass einst\nein brillanter Ritter in Euren Diensten stand.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06リーフ\nDas ist wahr. Er diente meinem verstorbenen\nVater. Als mein Königreich fiel, floh er mit mir\naus dem Reich.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nマデリーン\nDer Ritter, der Euch diente, muss wirklich\naußergewöhnlich gewesen sein, wenn er es\nschaffte, Euch zehn Jahre verborgen zu halten.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06リーフ\nDas war er, ja. Meinetwegen hatte er ein\nhartes Leben zu ertragen.\x0E\x04\x00\x00
