MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEs tut gut, dass wir reden können, nachdem\nich so eine lange Zeit schweigend über Euch\ngewacht habe, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch weiß, was Ihr meint. Ich bin wirklich froh,\ndass Ihr an meiner Seite seid und mir in Person\nEure Unterstützung gebt.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08リュール\nIhr seid die stärkste Person, die ich kenne,\nMarth. Wie schaffe ich es, mehr wie Ihr zu sein?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06マルス\nAuch Ihr könnt großartige Dinge leisten, wenn\nIhr es zulasst, dass die Bande, die Euch mit\nEuren Freunden verbinden, Eure Kraft werden.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nZu sehen, wie Ihr gewachsen seid, lässt mein\nHerz schneller schlagen. Ihr strahlt solch ein\nSelbstvertrauen aus.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch bin glücklich, so viele gute Leute um mich\nzu haben, die mich so weit gebracht haben.\nAllein hätte ich das niemals geschafft.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nWerdet Ihr bei mir sein, wenn wir sehen,\nwie sich die Zukunft entfaltet, Marth?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06マルス\nNatürlich. Bande wie die unseren sind das\nFundament der Zukunft. Sie werden niemals\nvergehen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nHeldenkönig Marth, würdet Ihr mit mir\nzusammenstehen? Im Namen \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin?\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06マルス\nMit Vergnügen. Wir haben beide eine Pflicht\nzu erfüllen, vereinen wir also unsere Kräfte.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLord Marth, möchtet Ihr einen Apfel haben? Ich\nesse Äpfel sehr gerne, müsst Ihr wissen.\x0E\x04\x00\x00
