MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEs ist beruhigend, einen Drachen an unserer\nSeite zu haben. Gemeinsam können wir der\nWelt den Frieden zurückbringen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nEs ist mir eine besondere Ehre, den legendären\nHeldenkönig in die Schlacht begleiten zu dürfen.\nIch werde mich aufs Äußerste anstrengen.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nWeißt du, Nel, du erinnerst mich an meine\nSchwester. Ihr teilt die gleiche Freundlichkeit\nund Überzeugung.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nIch wusste gar nicht, dass Ihr eine Schwester\nhattet. Wenn es Euch gefällt, seht mich gerne\nals Ersatz an.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04エル\nMarth, darf ich Euch wohl fragen, was Euch\nveranlasst, in den Kampf zu ziehen?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06マルス\nIch träume von einer Welt ohne Leid und Not.\nIch denke, ich kämpfe, damit dieser Traum\nwahr werden kann.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nIch fühle eine starke Verbundenheit mit Euch.\nEs würde mich mit Stolz erfüllen, wenn ich\nmeine Stärke für Euren Traum einsetzen dürfte.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06マルス\nIch danke dir, Nel. Mir ergeht es ebenso. Lass\nuns von nun an gemeinsam daran arbeiten,\nunsere Vision zu verwirklichen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nEinen Verbündeten zu gewinnen, der über die\nMacht eines Drachen verfügt, gibt mir Zuver-\nsicht. Wir werden den Frieden wiederherstellen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nIhr werdet sehen, dass ich für diese Aufgabe\nmehr als bereit bin. Denn immerhin ist dies\nmeine Art von Sühne.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nDu magst wagemutig sein, aber eigentlich bist\ndu recht liebenswürdig, nicht wahr? Sowohl\nim Kampf als auch außerhalb des Schlachtfelds.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nWie bitte?! Das ist auf lächerliche Weise falsch.\nDoch ich muss zugeben, dass ich mich seit\neiniger Zeit diesbezüglich anstrenge.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMeine Schwester rettete mir einst das Leben. So\nwie deine Schwester deines rettete. Ich war hilf-\nlos – sie riskierte alles, damit ich fliehen konnte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nSogar der, den sie Heldenkönig nennen, kennt\nHilflosigkeit... Was geschah mit Eurer\nSchwester?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06マルス\nIch habe sie gerettet. Und beschlossen, stärker\nzu werden, damit niemand jemals wieder sein\nLeben für mich riskieren muss.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nDen Entschluss verstehe ich. Gemeinsam\nwerden wir stärker und damit den Traum wahr\nmachen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch habe schon von Euch gehört – Marth, der\nHeldenkönig aus einer anderen Welt. Es ist mir\neine Ehre, an Eurer Seite kämpfen zu dürfen.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06マルス\nAuch ich habe schon von den Vier Winden\ngehört. Vielen Dank, dass du uns deine Kraft\nleihst. Das ist ermutigend.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMarth, Ihr seid ein Lord, der von allen geliebt\nwird. Es verwundert nicht, dass so viele in\nEuch ein Idol sehen.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06マルス\nDas mag sein, doch ich verlasse mich auf dich,\nZelestia. Ich sehe in dir eine exzellente\nAnführerin.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nDie Mitglieder der Vier Winde sind durch starke\nBande miteinander verbunden. Es ist wichtig,\nVerbündete wie sie zu haben.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nBevor wir hierherkamen, haben wir einen der\nunseren verloren. Doch auch wenn er nicht\nmehr bei uns ist, werden wir zusammenbleiben.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06マルス\nDiese Unterstützung kann helfen alle Fährnisse\nzu überstehen. Wir benötigen diese Kraft, um\ndiesen Krieg zu beenden.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nZwischen uns ist ein starkes Band entstanden.\nGemeinsam werden wir diese Welt wieder zu\neinem friedlichen Ort machen.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEs ist eine Ehre, neben dem Heldenkönig einer\nanderen Welt in den Kampf zu ziehen. Ich\nhoffe nur, ich enttäusche Euch nicht.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06マルス\nIch habe von dir und den Vier Winden nur\nGroßes gehört. Ich freue mich schon auf unsere\nZusammenarbeit.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nWir mir scheint, bist du im Kampf viel mutiger\nund belastbarer, als du es dir selbst eingestehst,\nGregory.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nNun, ich mag nicht so stark wie andere sein,\naber... Aber ich würde meine Freunde nie im\nStich lassen. Niemals.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nFalls es dir nichts ausmacht... Ich würde gerne\nwissen, warum du dich den Vier Winden\nangeschlossen hast.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nNun, das ist eine alte Geschichte. Wider\nbesseren Wissen stürzte ich mich in den Kampf,\num einer Ritterin in Not zu helfen.\x0E\x04\x00\x00
