MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch bin hocherfreut, an Eurer Seite sein zu\ndürfen. Ich habe Lumera gelobt, Euch bei\nmeinem Leben zu beschützen.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch, Emblem Sigurd. Ich bin... Ich\nbin froh, Euch in meinem Team zu wissen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIhr seid für mich Familie. Wir werden demselben\nPfad folgen und dieselben Schlachten schlagen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nMit Euch an meiner Seite fühle ich mich sicher.\nIch kann in jeder Schlacht spüren, dass unsere\nHerzen im gleichen Takt schlagen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIhr habt enge Freundschaften mit Euren\nVerbündeten geschlossen. Und so bin ich nun\nhier.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch wäre niemals ohne all jene, die an meiner\nSeite gingen, bis hierher gekommen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nDas schließt auch Euch ein, Sigurd. Ich bin so\ndankbar, dass Ihr uns allen ein Verbündeter\nseid.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08シグルド\nUnser Band wird selbst in weiter Zukunft noch\nbestehen. Wir werden diesen Kampf vereint\nbeenden.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEs schmerzt mich, dass ich nicht in der Lage\nwar, Königin Lumera zu beschützen. Diese\nSchuld macht mich krank.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nSie mag von uns gegangen sein, aber Lumeras\nWille lebt weiter. Es ist unsere Pflicht, ihre\nWünsche zu erfüllen.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWie geschickt Ihr Euch zeigt. Das Talent,\nso feine Muster zu stricken, wird gewiss\nnicht alltäglich sein, nicht wahr?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch habe mittlerweile wohl eine gewisse\nFertigkeit in dieser Kunst erlangt. Jedoch ist es\nnur ein Hobby für Stunden der Muße.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\n„Ein herausragender Behüter der Drachen“ – so\nbezeichnete Lumera Euch. Wusstet Ihr das?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEs war ein Privileg, der Königin dienen zu\ndürfen. Doch ging ich davon aus, dass sie es sei,\ndie mich eines Tages zu Grabe tragen würde.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nIch bewunderte Königin Lumera. Es war mir\neine wahre Freude, ihr als Behüter so lange\ndienen zu dürfen.\x0E\x04\x00\x00
