MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nWir sind da. Innerhalb dieser Mauern sind wir\nsicher.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nDies ist also Schloss Lythos. Es ist wirklich\nschön.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ルミエル\nEs freut mich, dass du das so siehst,\n\x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_#004	Auch wenn du dich vielleicht nicht an diesen\nOrt erinnern kannst – ich habe lange erwartet,\ndich hier wieder willkommen heißen zu können.\x0E\x04\x02\x00
MID_OP1_#005	Willkommen zu Hause, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_OP1_#007	Ich bin zu Hause?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08ルミエル\nJa, das bist du.\x0E\x04\x02\x00
MID_OP1_#009	Ah, ich bin überwältigt von Freude. Mir kommen\ndie Tränen.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x00\x10\nヴァンドレ\x023\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nKönigin Lumera...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08ルミエル\nVander. Clanne. Framme. Danke für alles, was\nIhr getan habt. Ihr seid wahrlich würdige\nBehüter.\x0E\x04\x02\x00
MID_OP1_#012	Ihr und Eure Vorgänger, die Ihr über all die\nJahre über mein Kind gewacht habt... Wie bin\nich Euch dankbar.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nヴァンドレ\nIhr seid zu gütig.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06クラン\nJa, das ist wirklich total nett von Euch, das\nzu sagen. Ich fühle mich ganz duselig...\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06フラン\nJuhu! Wir wurden von Königin Lumera\nhöchstselbst gepriesen!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x02\x0A\x08ルミエル\nAuch wenn dies ein freudiger Moment ist – der\nAnblick der Verzerrten hier in Lythos bereitet\nmir Sorgen.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDie Verzerrten?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08ルミエル\nDie Gegner, mit denen du draußen auf der\nGrasebene gekämpft hast.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nOh, die gefielen mir kein bisschen. Allein bei\nihrem Anblick lief mir ein Schauer über den\nRücken.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08ルミエル\nDas ist nur verständlich. Die Verzerrten sind\ndie Körper Verstorbener, die von einer bösen\nMacht ins Leben gerufen wurden.\x0E\x04\x02\x00
MID_OP1_#021	Der Dämonendrache benutzte sie als seine\nSoldaten in dem Krieg.\x0E\x04\x02\x00
MID_OP1_#022	Bevor der erbitterte Konflikt ausbrach, kannte\nElyos über Äonen nur den Frieden.\x0E\x04\x02\x00
MID_OP1_#023	Aber dann stieg eine dunkle Präsenz empor –\nSombron.\x0E\x04\x02\x00
MID_OP1_#024	\x0E\x04\x03\x04
MID_OP1_#025	Obwohl wir unermüdlich forschten, konnten\nwir nicht mit Sicherheit sagen, woher er\ngekommen ist.\x0E\x04\x02\x00
MID_OP1_#026	Aber angesichts der Zerstörung, die er brachte,\nhatten wir keine Zweifel an seinen dunklen\nAbsichten.\x0E\x04\x02\x00
MID_OP1_#027	Nun verbreiten sich die Verzerrten erneut. Dies\nkönnte ein Zeichen für seine Rückkehr sein.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0A\x08リュール\nNein...\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08ルミエル\nIch frage mich, ob es bloß ein Zufall war, dass\ndu nun, da sich dies zuträgt, aufgewacht bist.\x0E\x04\x02\x00
MID_OP1_#030	Doch sollte der Dämonendrache wiedererweckt\nworden sein, müssen wir uns auf den Kampf\nvorbereiten.\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08リュール\nIch kann mir nicht vorstellen, gegen jemanden\nwie ihn zu kämpfen.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x0A\x08ルミエル\nHab keine Sorge. Ich bezweifele, dass er so\nbald angreifen wird.\x0E\x04\x02\x00
MID_OP1_#033	Dieses Schloss ist erfüllt von dem Geist aller\nWyrmgötter – die Verzerrten werden hier so\nleicht nicht eindringen können.\x0E\x04\x02\x00
MID_OP1_#034	Lass uns einen Plan erarbeiten, während wir\ndie Gelegenheit dazu haben.\x0E\x04\x02\x00
MID_OP1_#035	Emblem Marth.\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x00\x0C\x06マルス\x024\n\x0E\x03\x02\x08\x06マルス\nEs ist eine Weile her, Lumera.\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0A\x08ルミエル\nDas ist es. Ich danke Euch für Eure Hilfe im\nKampf gegen die Verzerrten.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06マルス\nGern geschehen. Aber natürlich konnte ich nur\nhelfen, weil Euer Kind sich an mich erinnert hat.\x0E\x04\x02\x00
MID_OP1_#039	Wisst Ihr, es ist möglich, dass die anderen nun\nerwacht sind, so wie ich es bin.\x0E\x04\x00\x00
MID_OP1_#040	\x0E\x03\x02\x0A\x08ルミエル\nVielleicht habt Ihr da recht.\x0E\x04\x00\x00
MID_OP1_#041	\x0E\x03\x02\x0A\x08リュール\nEntschuldigt, aber... was meint ihr damit?\nWer ist erwacht?\x0E\x04\x00\x00
MID_OP1_#042	\x0E\x03\x02\x0A\x08ルミエル\nEs gibt da etwas, das ich dir zeigen sollte. Bitte\nkomm mit.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nWo sind wir hier?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08ルミエル\nDies ist die Ringkammer. Hier werden die\nRinge der Embleme bewahrt.\x0E\x04\x02\x00
MID_OP2_#003	Der des Heiligen Ritters, der des weisen Lords\nund der Ring der azurblauen Zwillinge befinden\nsich hier.\x0E\x04\x02\x00
MID_OP2_#004	Außerdem der Ring der Erhabenen und dann\nnoch der Ring des Magisters.\x0E\x04\x02\x00
MID_OP2_#005	Jeder Ring ist das Heim eines Emblems, ganz so\nwie der Ring des Heldenkönigs Marths Heim ist.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nAlso, wenn wir Marth mitzählen, gibt es sechs\nEmblem-Ringe. Unglaublich.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08ルミエル\nTatsächlich gibt es insgesamt zwölf. Sechs von\nihnen hier, die anderen sechs wurden anderen\nLändern anvertraut.\x0E\x04\x02\x00
MID_OP2_#008	Eine Vorsichtsmaßnahme.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nWas meinst du damit?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08ルミエル\nDie Embleme verleihen jenem, der alle zwölf\nRinge besitzt, eine Macht, die die ganze Welt\nverändern kann.\x0E\x04\x02\x00
MID_OP2_#011	Über Generationen hinweg nutzten die Wyrm-\ngötter diese Macht, um Elyos Frieden und Wohl-\nstand zu sichern.\x0E\x04\x02\x00
MID_OP2_#012	Und in der Tat haben wir so den Dämonen-\ndrachen versiegelt.\x0E\x04\x02\x00
