MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDies ist also Solm. Es ist sehr... sandig.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08アイビー\nWüsten machen den Löwenanteil des Königin-\nreichs aus. Ich glaube, dies ist die Wüste Tullah.\x0E\x04\x02\x00
MID_OP1_#003	Und wie Ihr bemerkt haben dürftet, ist es hier\nviel heißer als in Elusia. Ich schmelze gleich.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nWas nun, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nIch denke, wir sollten sofort zum Palast eilen.\nHoffentlich sind die Bluthunde nicht bereits\ndort eingetroffen.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08アイビー\nWährend meiner Zeit in Elusia haben die Vier\nBluthunde Solm einige Besuche abgestattet.\x0E\x04\x02\x00
MID_OP1_#007	Doch sie kehrten stets mit leeren Händen\nzurück. Daher erwarte ich, dass der Palast noch\nunversehrt ist.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDanke, Ivy. Recht nützlich, einen Feind zum\nFreund zu haben.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08アイビー\nIch werde dies als Kompliment verstehen.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nWelcher Emblem-Ring wurde Solm anvertraut?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08アイビー\nDer strahlende Held. Es heißt, er würde zu den\nMächtigsten zählen.\x0E\x04\x02\x00
MID_OP1_#012	Es versteht sich von selbst, dass dies eine große\nHilfe wäre.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nDas klingt genau nach dem, was wir jetzt\nbrauchen. Machen wir uns auf den Weg.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nÄhm... In welche Richtung müssen wir noch\nmal zum Palast?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0A\x08アイビー\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Ich glaube, an diesem\ngroßen Felsen sind wir vorhin schon mal\nvorbeigekommen.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nWas, wirklich? Uff... Für mich sieht die ganze\nLandschaft hier gleich aus.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08アイビー\nIch würde gerne helfen. Doch meine Kenntnisse\nder solmer Geografie beschränken sich auf die\nLandkarten.\x0E\x04\x02\x00
MID_OP2_#005	Moment. Prinz Alfred. Prinz Diamant.\x0E\x04\x02\x00
MID_OP2_#006	Eure Nationen sind doch mit Solm verbündet.\nWart Ihr etwa noch nie im Palast zu Gast?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nSchon, aber... das ist lange her. Ich erinnere\nmich nicht mehr an den Weg.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch reiste von Firene aus. Daher weiß ich nicht,\nwie man von Elusia dorthin gelangt.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08アイビー\nAlso kennt gar keiner von uns den Weg.\x0E\x04\x02\x00
MID_OP2_#010	...\x0E\x04\x02\x00
MID_OP2_#011	Also schön, jemand muss es ja sagen. Wir haben\nuns verirrt.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nSieht so aus.\x0E\x04\x02\x00
MID_OP2_#013	Wir können uns einen weiteren Zeitverlust nicht\nleisten. Gibt es nicht irgendeine Landmarke,\nan der wir uns orientieren können...\x0E\x04\x00\x00
MID_OP2C_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x10\nフォガート\x021\x0E\x06\x00&\nフォガート\x18MPID_Unknown\n\x0E\x03\x02\x0C\nフォガート\nHey, ihr seht nicht aus, als wärt ihr von hier.\nUnd was soll eigentlich diese Aufmachung?\x0E\x04\x00\x00
MID_OP2C_#002	\x0E\x03\x02\x0A\x08リュール\nÄh...\x0E\x04\x00\x00
MID_OP2C_#003	\x0E\x03\x02\x0C\nフォガート\nTut mir leid, ich wollte euch nicht erschrecken.\nIch sah euch und dachte: „Die haben sich verirrt.“\x0E\x04\x00\x00
MID_OP2C_#004	\x0E\x03\x02\x0A\x08リュール\nUnd, äh, wer bist du?\x0E\x04\x00\x00
MID_OP2C_#005	\x0E\x03\x02\x0C\nフォガート\nIch? Nur so ein Typ, der hier den Frieden\nder Wüste Tullah wahrt. Nennt mich Fogado, ja?\x0E\x04\x02\x00
MID_OP2C_#006	\x0E\x06\x00$\nフォガート\x16MPID_Fogato\nAls Anführer der Wächter ist es meine Pflicht,\nin der Not zu helfen. Sagt, falls ihr Hilfe braucht.\x0E\x04\x00\x00
MID_OP2C_#007	\x0E\x03\x02\x0A\x08リュール\nVielen Dank. Ich bin \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin\n\x0E\x06\x03\x00. Aus Lythos.\x0E\x04\x00\x00
MID_OP2C_#008	\x0E\x03\x02\x0C\nフォガート\nIhr seid WER?! Ihr wollt mir weismachen, dass\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin in meiner Wüste ist? Ohne Witz?\x0E\x04\x00\x00
MID_OP2C_#009	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_OP2C_#010	\x0E\x03\x02\x0C\nフォガート\nAaah... Dessen war ich mir nicht bewusst...\nBitte verzeiht mein unhöfliches Gebaren!\x0E\x04\x00\x00
MID_OP2C_#011	\x0E\x03\x02\x0A\x08リュール\nDu warst nicht unhöflich.\nUnd du musst nicht so formell sein.\x0E\x04\x00\x00
MID_OP2C_#012	\x0E\x03\x02\x0C\nフォガート\nIch dachte nicht, dass Ihr so locker seid.\nSoll mir recht sein.\x0E\x04\x00\x00
MID_OP2C_#012_2	\x0E\x03\x02\x0C\nフォガート\nAber was hat Euch eigentlich in\nmeinen Teil der Welt geführt?\x0E\x04\x00\x00
MID_OP2C_#013	\x0E\x03\x02\x0A\x08リュール\nWir sind auf dem Weg zum Palast von Solm,\naber... wir wissen nicht, wo es langgeht.\x0E\x04\x00\x00
MID_OP2C_#014	\x0E\x03\x02\x0C\nフォガート\nHeute ist Euer Glückstag. Kommt, folgt mir.\nWenn ich einen Weg kenne, dann den zum Palast.\x0E\x04\x00\x00
MID_OP2C_#015	\x0E\x03\x02\x0A\x08リュール\nDas macht dir nichts aus?\x0E\x04\x00\x00
MID_OP2C_#016	\x0E\x03\x02\x0C\nフォガート\nNatürlich nicht! Wisst Ihr, was da draußen ist?\nNichts als Sand. Davor will ich Euch bewahren.\x0E\x04\x00\x00
MID_OP2C_#016_2	\x0E\x03\x02\x0C\nフォガート\nWas für ein Glück,\ndass wir uns getroffen haben, was? Hahaha!\x0E\x04\x00\x00
MID_OP2_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nHab Dank, Fogado! Wir wissen deine Hilfe zu\nschätzen.\x0E\x04\x00\x00
MID_OP2_2_#002	\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nKein Thema. Aber wisst Ihr, was? Ich habe noch\neine kleine Aufgabe, die ich erst mal erledigen\nmuss.\x0E\x04\x00\x00
MID_OP2_2_#003	\x0E\x03\x02\x0A\x08リュール\nEine Aufgabe? Was für eine Aufgabe?\x0E\x04\x00\x00
MID_OP2_2_#004	\x0E\x03\x02\x0C\nフォガート\nEher eine Mission. Wisst Ihr, vor nicht allzu\nlanger Zeit sind diese grässlichen Kreaturen\nüberall aufgetaucht.\x0E\x04\x02\x00
MID_OP2_2_#005	Als Anführer der Wächter kümmere ich mich um\njedes Problem in der Wüste, sobald ich davon\nerfahre.\x0E\x04\x02\x00
MID_OP2_2_#006	Also habt bitte Nachsicht und lehnt Euch so\nlange zurück. Sobald ich fertig bin, bringe ich\nEuch zum Palast.\x0E\x04\x00\x00
MID_OP2_2_#007	\x0E\x03\x02\x0A\x08リュール\nNun, warum kommen wir nicht einfach mit?\nWir können helfen.\x0E\x04\x00\x00
MID_OP2_2_#008	\x0E\x03\x02\x0C\nフォガート\nDas wäre wunderbar. Meine Freunde sind\nschon vorausgegangen – dann wollen wir sie\nmal einholen.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x024\n\x0E\x03\x02\x0C\nフォガート\nDas Problem ist ja noch schlimmer als\nerwartet.\x0E\x04\x02\x00
MID_OP3_#002	Ah, da sind sie! Pandreo! Bunet!\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0A\x04ボネ\x023\n\x0E\x03\x02\x0A\x08パンドロ\nFogado? Ihr seid ganz schön spät dran.\nIch dachte schon, Ihr wartet darauf, dass wir ins\nnicht vorhandene Gras beißen.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x06\x04ボネ\nNoch ein klein wenig später, und diese\nKreaturen würden uns zum Abendessen\nservieren.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0C\nフォガート\nTut mir leid, Leute. Aber hey, ich habe Hilfe\nmitgebracht!\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x0A\x08パンドロ\nHilfe? Was für eine Hilfe?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x0C\nフォガート\nOh, Pandreo, mein frommer Freund. Gleich wird\ndir dein Haar zu Berge stehen.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo. Ich bin \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin \x0E\x06\x03\x00.\nSchön, euch kennenzulernen.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x0A\x08パンドロ\nOh, es ist \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin.\x0E\x04\x02\x00
MID_OP3_#010	\x0E\x0A\x008\x18DER WYRMGOTT\x1CDIE WYRMGÖTTIN?!\x0E\x04\x02\x00
MID_OP3_#011	Moment... Was fällt Euch ein, \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nhierherzubringen?\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x06\x04ボネ\nDieses Haar... Wie zwei Kugeln Sorbet, welche\nin der Hitze der Wüste ineinander verlaufen...\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08パンドロ\nHey, spar dir so was für die Küche. Du redest\nhier von einer Gottheit!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0C\nフォガート\nIch wusste, die beiden verbreiten gute Laune.\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, dies sind meine Freunde unter den\nWächtern.\x0E\x04\x02\x00
MID_OP3_#015	Also, was sagt Ihr? Bereit, mit uns eine Mission\nzu erfüllen?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x0A\x08リュール\nBereit.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M012_村人Ａ\x02t\n\x0E\x05\x01\x1C\x10M012_村人Ａ\x08Pain\n\x0E\x03\x02\x12\x10M012_村人Ａ\nHilfe! Hilfe!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x18\nフォガート\nRelax\n\x0E\x03\x02\x0C\nフォガート\nAlso gut. Dann wollen wir mal, Wächter.\nUnd, äh, Gäste.\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x0E\x08パンドロ\x02b\n\x0E\x05\x01\x18\x08パンドロ\x0CStatus\n\x0E\x03\x02\x0A\x08パンドロ\nNa endlich. Dann lassen wir die Party mal\nbeginnen! ARUUU!\x0E\x04\x00\x00
MID_EV2_#003	\x0E\x03\x01\x0A\x08パンドロ\n\x0E\x03\x00\x0A\x04ボネ\x02b\n\x0E\x05\x01\x14\x04ボネ\x0CStatus\n\x0E\x03\x02\x06\x04ボネ\nIch werde eine tödliche Mahlzeit servieren.\x0E\x04\x00\x00
MID_EV2_#004	\x0E\x03\x01\x06\x04ボネ\n\x0E\x05\x01\x18\nフォガート\nAngry\n\x0E\x03\x02\x0C\nフォガート\nBevor ich es vergesse – Vorsicht mit dem\nTreibsand. Das Zeug verlangsamt echt alles.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パンドロ\x02t\n\x0E\x05\x01\x16\x08パンドロ\nSmile\n\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es ist solch eine Ehre. Bitte,\nverwendet meine Fähigkeiten nach Eurem\nGutdünken.\x0E\x04\x02\x00
MID_EV3_#002	Ich kann Euch oder einen Verbündeten mittels\nmeines Stabes über große Entfernungen auf\ndem Schlachtfeld transportieren.\x0E\x04\x00\x00
MID_KR1_#001	\x0E\x02\x04\x00\n\x0E\x03\x00\x16\x10M012_村人Ａ\x022\n\x0E\x03\x02\x12\x10M012_村人Ａ\n\x0E\x05\x01\x1E\x10M012_村人Ａ\nSmile\n\x0E\x05\x00"\x10M012_村人Ａ\x0EEmoTalk\nUff! Ihr habt mir echt den Hals gerettet. Hier\nhabt Ihr etwas für Eure Mühen.\x0E\x04\x00\x00
MID_KR2_#001	\x0E\x02\x04\x00\n\x0E\x03\x00\x16\x10M012_村人Ｂ\x022\n\x0E\x03\x02\x12\x10M012_村人Ｂ\n\x0E\x05\x01\x1A\x10M012_村人Ｂ\x06Shy\n\x0E\x05\x00$\x10M012_村人Ｂ\x10EmoRelax\nWie schön, dass hier wieder Frieden herrscht.\nBitte heilt hiermit Eure Wunden.\x0E\x04\x00\x00
MID_KR3_#001	\x0E\x02\x04\x00\n\x0E\x03\x00\x16\x10M012_村人Ｃ\x022\n\x0E\x03\x02\x12\x10M012_村人Ｃ\n\x0E\x05\x01\x1E\x10M012_村人Ｃ\nSmile\n\x0E\x05\x00"\x10M012_村人Ｃ\x0EEmoTalk\nOhne Eure Hilfe wäre ich jetzt nicht mehr.\nNehmt dieses Item. Es wird Euch nützlich sein.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nフォガート\nWunderbar. Ihr habt denen wirklich gezeigt,\nwozu \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin fähig ist.\x0E\x04\x02\x00
MID_ED1_#002	Jetzt auf zum Palast von Solm. Aber bleibt\nbitte zusammen – wäre zu schade, wenn Ihr\nEuch aufteilen und verlaufen würdet. Erneut.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nDanke, Fogado.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDas wird interessant. Es ist schon Jahre her,\ndass ich den Palast das letzte Mal besucht habe.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nJahre? Ich dachte, Solm und Firene hätten gute\nBeziehungen zueinander.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnsere Nationen sind verbündet, ja, aber\ndas heißt nicht, dass unsere Familien eng\nbefreundet sind.\x0E\x04\x02\x00
MID_ED1_#007	Aus der gesamten königlichen Familie von Solm\nhaben meine Mutter und ich tatsächlich bisher\nnur Königin Seforia kennengelernt.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nWas? Niemanden sonst?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein. Nicht den königlichen Gemahl, nicht die\nKronprinzessin und auch nicht ihren Bruder,\nden Prinzen.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nDas ist seltsam.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe sie auch nie kennengelernt.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nEuch ging es also genauso, hm?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nIch mag den Weg zum Palast vergessen haben,\naber an die Geschehnisse darin erinnere ich\nmich sehr wohl.\x0E\x04\x02\x00
MID_ED1_#014	Es war eine eigenartige Begegnung. Die Königin\nempfing uns allein, ohne irgendwelche\nBedienstete.\x0E\x04\x02\x00
MID_ED1_#015	Als wir nach dem Prinzen und der Prinzessin\nfragten, antwortete sie, dass sie nicht da wären.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nUns hatte sie genau dasselbe gesagt. Und als\nich fragte, wann sie wieder zurückkehren\nwürden, meinte sie nur: „Keine Ahnung.“\x0E\x04\x02\x00
MID_ED1_#017	Das ergab keinen Sinn. Wer zur Königsfamilie\ngehört, kann doch nicht einfach das Schloss\nverlassen, wann immer es gerade beliebt.\x0E\x04\x02\x00
MID_ED1_#018	Ich hatte das Gefühl, man hätte sie vor uns\nverborgen. Aber warum? Waren sie krank?\nOder schüchtern?\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nSchüchtern... Das würde mich überraschen.\x0E\x04\x02\x00
MID_ED1_#020	Alle, die wir hier getroffen haben, waren so\nfreundlich.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nDie Königin auch, ja. Es gibt halt nur ein paar\nSachen bei der königlichen Familie, die keinen\nSinn ergeben.\x0E\x04\x02\x00
MID_ED1_#022	Halten wir also lieber die Augen offen, ja?\x0E\x04\x00\x00
MID_ED1_#023	\x0E\x03\x02\x0A\x08リュール\nVerstanden.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nフォガート\nWir sind angekommen. Dies ist der Palast von\nSolm. Jetzt müssen wir nur noch die Wächter\nbitten, das Tor zu öffnen.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x0A\x08リュール\nDanke, dass du uns hierhergebracht hast,\nFogado. Ich weiß nicht, wie wir ohne dich\nhierher gefunden hätten.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0C\nフォガート\nNatürlich. Ein ganz normaler Tag im Leben\neines Wächters.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nIch werde bei der Königin ein gutes Wort für\ndich einlegen. Aber jetzt sollten wir wirklich\ngehen...\x0E\x04\x02\x00
MID_ED2_#005	\x0E\x03\x01\x0C\nフォガート\nHm? Fogado, was tust du da?\x0E\x04\x00\x00
