MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\nGratuliere, Großer! So ein Jubiläum gibt's nicht\njeden Tag.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nZur Feier des Tages solltest du was kaufen.\nMit meinem Jubiläums-Spezialrabatt ist es\npraktisch geschenkt.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nHm? Das Jubiläum von... was genau?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nAch, spiel nicht den Schüchternen. Ich denke,\ndu weißt ganz genau, wovon ich spreche!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nDurchaus nicht. Ich habe nicht die geringste\nAhnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nWie kannst du das denn nicht wissen? Es ist\ndoch dein Jubiläum!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nDas erklärt nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nDenk mal scharf nach. Ich wette, es liegt dir\nauf der Zunge. Komm schon, du bist ganz\nnah dran!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nIch habe keinen Schimmer, wovon du da redest.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nNicht? Zu schade. Dann gibt es eben keinen\nJubiläums-Spezialrabatt auf diese Frucht für\ndich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nAngenommen, es wäre das Jubiläum eines für\nmich wichtigen Ereignisses... Woher solltest du\ndavon wissen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nHa! Kümmern wir uns nicht um solche\nKleinigkeiten.\x0E\x04\x00\x00
