MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nGute Güte. Was ist denn hier vorgefallen, dass\nich dich so vorfinde?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nOh. Ich, ähm, habe ein Buch gefunden, das\nherrenlos herumlag.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nAber als ich es zu lesen anfing, war es so\nbewegend, dass ich... die Tränenfluten nicht\nmehr zurückhalten konnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nAlso eine Tragödie, hm? Erzähl mir mehr davon.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nEs ist die Geschichte eines großen Weisen, nur\nbekannt als „L“.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAch? Erzähl mir mehr über diesen... „L“.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAm Anfang ist L noch ein Junge. Er ist\nKlassenbester in einer Akademie in Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nDann begleiten wir ihn, wie er ein königlicher\nSoldat wird – und schließlich sogar ein Getreuer\ndes Prinzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nM-hm. Ich kann dir folgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nDer Prinz hätte den Thron besteigen sollen,\ndoch letztlich wurde jemand anderes König.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nAlso verließ der Prinz frustriert das Schloss.\nUnd L stand einfach nur entsetzt da und blickte\nihm hinterher.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nDas war einfach zu traurig für mich. Deswegen\nweiß ich gar nicht, wie es weitergeht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nOh, du armer Kerl. Hier, trockne deine Augen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nVielen Dank, Sir.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nWisst Ihr, es haben mich schon viele Bücher\nzum Weinen gebracht, aber dieses hat mich aus\nirgendeinem Grund besonders hart getroffen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nDie Verbitterung des Prinzen, und wie sich L\ngefühlt haben muss, als er ihn dahinziehen sah...\nDas ist einfach zu tragisch.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nJetzt hast du mein Interesse geweckt. Wenn du\nweiterliest, erzähle mir bitte, wie es ausgeht.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nMach ich, Sir.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nUnd das Taschentuch kannst du behalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nSo, wie geht es mit deinem Buch voran?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh, aber wo sind denn nur meine Manieren?\nIch wollte dir doch erst einmal etwas geben.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nDiese Törtchen sehen aber lecker aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nIch habe sie selbst gebacken. Mit Apfelfüllung\nin der Mitte.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nIhr backt, Sir Lindon?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nOh, sicher. Nichts backt ein Törtchen so gut\nwie ein ordentlicher Schwung Donnermagie.\nKoste nur.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nAber mit Vergnügen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nJunge! Ich hatte keine Ahnung, dass so ein\nkleiner Blitz so einen großen Geschmack\nergeben kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nDie sind lecker, nicht wahr? Aber kommen wir\nzurück zu deinem Buch.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nOh. Ja. Letztes Mal hatte der Prinz, für den L\ngearbeitet hatte, den Thron nicht geerbt, sodass\ner das Schloss verließ.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nDanach lernte L eine andere königliche Soldatin\nkennen und fand bei ihr Trost.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nSie haben geheiratet und führen ein\ngewöhnliches, aber glückliches Leben\nzusammen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nDas ist die Stelle, bis zu der ich jetzt gekommen\nbin.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nFaszinierend. Die Geschichte packt mich\ngeradezu. Ich war auch einmal ein königlicher\nSoldat, musst du wissen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nAber mir fällt auf, dass du heute gar nicht\nweinst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nEs fällt mir tatsächlich schwer, die Tränen\nzurückzuhalten. Ls Frau nimmt um seinetwillen\nso viel auf sich...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nAber es ist mir peinlich, wenn man mich ständig\nbeim Weinen sieht, deswegen reiße ich mich\nzusammen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nHahaha, um meinetwillen musst du dich nicht\nzurückhalten!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nEs gibt nichts, dessen du dich schämen\nmüsstest. Weine, so viel du willst. Lass es\nalles raus!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nSeid... Seid Ihr sicher? Nun, wenn Ihr das sagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nUuuwäääh!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リンデン\nOje, deine Nase läuft. Hier, etwas zum\nAbwischen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nDanke schön...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nIch habe Kekse für uns gebacken, Boucheron!\nMit Donner, wie immer. Iss ruhig.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nOooh, ich kann es kaum erwarten. Hey, die sind\nsogar mit Rosinen. Njam.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nHast du in dem Buch schon weitergelesen?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nIch habe es sogar abgeschlossen.\x0E\x04\x00\x00
