MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nEntschuldigt, Boucheron. Habt Ihr einen\nMoment Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nSicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nVergebt mir meine Unverfrorenheit, aber...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nSeid Ihr der Sohn eines Firener Grafen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nDas bin ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パネトネ\nWundervoll. Ich frug mich, ob Ihr, als Adliger,\nmir wohl einen Gefallen erweisen könntet.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nIch nehme es an. Welchen denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nNun, wie Ihr wisst, diene ich der solmer\nKronprinzessin.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nUm die königliche Familie nicht zu beschämen,\nbefolge ich stets peinlich genau alle Regeln der\nhöheren Gesellschaft.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nDoch noch immer fühlen sich manche Sitten der\nHochwohlgeborenen für mich... ungewohnt an.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nDaher würde ich Euch bitten, mich in den\nGebräuchen und der Etikette Eures\nHeimatlandes zu unterrichten!\x0E\x04\x00\x00
