MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nブシュロン\nOb das so eine gute Idee ist?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nGibt es etwa ein... Problem?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nSeht her. Eine Einladung von jemandem,\nder sich „Der Weise des Waldes“ nennt.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDieser Name ist mir nicht... bekannt.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nMir auch nicht. Aber er möchte, dass ich ihn\nin seiner Hütte aufsuche.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nAch?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nSeht Ihr diese Karte des Berges, die er\ngezeichnet hat?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nDarauf steht, dass er mir nach Erreichen der\nHütte eine Medizin geben wird, die meinen\nOrientierungssinn in Ordnung bringt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nIch hatte keine Ahnung, dass es so etwas\nüberhaupt gibt, aber dieser Karte nach scheint\ndem wohl so zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nEin Heilmittel für einen schlechten\nOrientierungssinn? Kann diese Welt\nwahrhaftig solch ein... Wunder... bergen?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nDas hoffe ich doch. Denn ehrlich gesagt ist\nmeine Fähigkeit, mich zu orientieren,\nausgesprochen mies.\x0E\x04\x00\x00
