MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, hallo, Prinzessin Céline. Ihr seht heute\nwieder einmal glänzend aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDanke, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nWir haben heute etwas Freizeit. Wie wünscht\nIhr sie zu verbringen?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nEine gute Frage.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWarum reiten wir nicht auf deinem Pegasus zur\nnächsten Teeplantage?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nDas wäre großartig!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAber natürlich haben wir nicht GANZ so viel\nZeit. Es wird sicher nicht so sein wie früher,\nals das noch anders war.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIch wünschte, ich könnte in diese Zeiten\nzurückkehren, als ich endlose Stunden mit dir\nverbrachte...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nPrinzessin Céline?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAber gut. Machen wir was anderes.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nIch verspreche Euch: Wenn dieser Krieg vorbei\nist, bringe ich Euch, wohin Ihr wollt und sooft\nIhr wollt.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nWir werden alle Teeplantagen in der ganzen\nWelt besuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nUnd dann verbringen wir die Zeit, indem wir die\nwunderschöne Landschaft genießen und dabei\nköstlichen Tee schlürfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nKlingt das nicht wundervoll?\x0E\x04\x00\x00
