MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nNa, wen haben wir denn hier? Prinzessin Céline\nvon Firene!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nIch gehe davon aus, dass es Euch heute gut\ngeht, Prinzessin Céline. Wollen wir zusammen\nTee trinken?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nDu bist immer randvoll mit Energie, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nNatürlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMeine Lebensgeister sind immer obenauf und\nich bin voller Fröhlichkeit, die ich teilen kann!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nLeider habe ich bereits einen Tee genossen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAber ich würde mich freuen, wenn ich dich\nspäter beim Wort nehmen dürfte.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nDas ist enttäuschend. Aber vielleicht würdet\nIhr mich dann mit einem kurzen Übungskampf\nverwöhnen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nDerlei Übungen tun nach einem Tee gut.\nKommt, zeigt mir Euer Können!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nHm? Was amüsiert Euch denn so?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIn einem Moment lädst du mich zum Tee ein\nund im nächsten Moment willst du mit mir\ndie Klingen kreuzen!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEs gibt nicht viele, die sich gegenüber einer\nPrinzessin auf diese Weise verhalten würden.\nDu bist ein lustiger Kerl.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nHahaha, Schmeicheleien werden Euch nicht\nweit bringen!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nIch muss sowohl den Tee als auch den Kampf\nablehnen, aber wir beide sollten uns bald mal\nauf ein Pläuschchen zusammensetzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nAber natürlich! So etwas tun Freunde doch!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSo ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrinzessin Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nGrüß dich, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nHahaha! Ich habe interessante Dinge gehört.\x0E\x04\x00\x00
