MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06クロエ\nBitte, Bunet!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nEs tut mir leid, Chloé, aber nein. Das kann und\nwerde ich nicht tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nAch, komm schon... Niemand anders hier wäre\ndazu in der Lage.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nIch habe dir meine Antwort gegeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nOch...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nChloé, ich folge gewissen Prinzipien im Leben.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nUnd eines der höchsten Gebote für mich ist es\ndabei, dass alle Zutaten dieser Welt mit Würde\nzu behandeln sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nDaher weigere ich mich, sie zu verderben und\nzu korrumpieren, nur um solchen... Straßenfraß\ndaraus zu machen!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nHey! Diese Ausdrucksweise kann ich so nicht\nhinnehmen! Die Speisen lokaler Imbissbuden\nsind für mich eine Art Kunst.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nDas sind einzigartige Gerichte, zubereitet ohne\ngroßes Aufheben und mit Zutaten, die günstig,\nungewöhnlich, oder sogar beides sein können.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nDer bloße Gedanke daran, was ein erstklassiger\nKoch wie du daraus zaubern würde... Stell dir\ndas doch nur einmal vor!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nNein. Du wirst jemand anders fragen müssen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nAber nur du kommst infrage!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nDu hast auch etwas gut bei mir, wenn du mir\nnur einmal so ein Imbissbudengericht von\nhöchster Gourmet-Qualität zubereitest!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nChloé... Du erkennst einen wahren Künstler,\nwenn du ihn siehst. Das weiß ich zu schätzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nTrotzdem kann ich deiner Bitte nicht Folge\nleisten.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ボネ\nDie Zutaten dieser Welt geben mir zu verstehen,\nwie sie verarbeitet werden wollen. Ich lehne es\nab, ihren Willen zu missachten.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nUnd nun entschuldige mich bitte.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クロエ\nOh, in dieser Sache ist das letzte Wort noch\nnicht gesprochen. Ich werde schon einen Weg\nfinden, ihn umzustimmen. Ganz bestimmt!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nChloé. Du bist hier, um mich weiter anzubetteln,\nnehme ich an?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nUnd ob!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nWoher stammt überhaupt deine bizarre Vorliebe\nfür das Essen solcher Imbissbuden? Du bist\ndoch in einer Adelsfamilie aufgewachsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nBin ich, und tagein, tagaus hat man mir dort\ngehobene Küche serviert.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nDie meisten Leute wären damit auch sicherlich\nzufrieden. Aber eines Tages besuchte ich ein\nFest in Firene...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nDort schlug mir aus einer Seitengasse plötzlich\nso ein salzig-süßer Geruch entgegen, dem ich\nneugierig folgte.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nUnd so bist du zum ersten Mal auf ein\nImbissbudengericht gestoßen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nJepp. Ohne groß darüber nachzudenken, kaufte\nich etwas zu essen von der Imbissbude dort und\nprobierte es.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nEs war überwältigend! Der Geschmack, der\nGeruch, die Konsistenz... Nie zuvor hatte ich\netwas Derartiges gekostet.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nSchon verständlich, dass ein Kind einer reichen\nFamilie darin eine Art... unnatürlichen\nNervenkitzel finden könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nLeider war es mir von meiner Familie verboten,\nauswärts zu essen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クロエ\nVon solchen Imbissbudengerichten ganz zu\nschweigen! Allein das Wissen, dass ich über-\nhaupt davon gekostet habe, hätte sie schockiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ボネ\nAh, ich verstehe. Solange du zu Hause lebtest,\nmusstest du also darauf verzichten.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nNicht wirklich. Nachdem ich erst einmal auf den\nGeschmack gekommen war, habe ich mich\nregelmäßig heimlich aus dem Haus geschlichen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nWas immer ich erbeutete, aß ich dann im Flug\nauf meinem Pegasus und entledigte mich der\nverräterischen Verpackung unterwegs.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ボネ\nDu meinst, du hast den Müll einfach\nweggeworfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nJa, mittlerweile bereue ich das auch. Heutzutage\nachte ich stets darauf, meinen Müll korrekt zu\nentsorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\nJedenfalls ist das im Groben die Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nDeine Leidenschaft fürs Essen will ich\nanerkennen. Ich gebe es ungerne zu, aber sie\nähnelt sogar der meinen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nNun gut, du hast mich überredet. Für dich, und\nNUR für dich, wage ich ausnahmsweise den\nVersuch, ein solches Gericht zuzubereiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nEhrlich?!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nDoch was ich zubereite, wird von höchster\nQualität sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ボネ\nIch werde keine Kompromisse eingehen, also\nbeschwere dich nicht, falls das Endergebnis\nsich von deinen Erwartungen unterscheidet.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nWerde ich nicht, das verspreche ich! Danke,\nBunet! Damit machst du mich wirklich glücklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06クロエ\nOoooh, ich kann es kaum erwarten, was du\nauf den Teller zaubern wirst!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nWie ich dir schon einmal erklärte, geben mir die\nZutaten dieser Welt zu verstehen, wie sie\nverarbeitet werden wollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nJa, das sagtest du bereits.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nIch höre stets auf sie.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ボネ\nUnd deshalb habe ich ausgiebig gesucht...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nGesucht nach Zutaten, die mir zu verstehen\ngeben – mich sogar anflehen! –, dass man aus\nihnen Imbissbudengerichte zubereite.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nHeißt das, du hast welche gefunden?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ボネ\nJa. Sieh her.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ボネ\nEin Schalentier aus den Tümpeln Solms, und\neinige Pilze, die es nur in den Wäldern des\nKöniginreichs gibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nWahnsinn! Die haben aber eigenartige Farben!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nUnd dann noch das hier: Ein betäubendes\nGewürz! Sobald es deine Zunge berührt, wird\njegliches Gefühl aus ihr weichen.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nEin... betäubendes Gewürz?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nHa! Du bekommst doch nicht etwa Angst,\noder?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nWer, ich? Ich kann kaum abwarten, das Ergebnis\nzu kosten!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\nIch wusste doch, dass dein kulinarischer\nWagemut nicht ins Wanken geraten würde.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nWohlan, so richte dein Augenmerk auf...\ndas ultimative Imbissbudengericht.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nUnglaublich! Das ist genau die sorglose Art, auf\ndie solch Essen präsentiert werden sollte!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nDie Präsentation ist nicht das Einzige daran,\nwas es verdient, „unglaublich“ genannt zu\nwerden. Bitte, koste.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nIch bin schon sooo gespannt...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nAch du LIEBES bisschen! Dieses Gewürz setzt\nder Zunge wirklich zu.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nDoch die Soße haucht ihr direkt wieder Leben\nein, und die Konsistenz ist einfach...\nunbeschreiblich!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nDas trifft GENAU den Kern meiner Liebe für\nsolche Speisen. Gäbe es so etwas an einer\nImbissbude, würde ich sie jeden Tag besuchen!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nEs ist schon merkwürdig... Anfangs war ich\nbloß beeindruckt von deiner Leidenschaft für\nSpeisen.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nDoch nun begreife ich, dass dies für mich\nein weiterer Schritt auf dem Weg zur\ngastronomischen Expertise war.\x0E\x04\x00\x00
