MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, hallo, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nHallo, Chloé. Du siehst wie immer bezaubernd\naus!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nIch hab vorhin diese Blüten gesehen\nund dabei direkt an dich gedacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nSchönheit zu Schönheit. Hoffe, sie gefallen dir!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クロエ\nOooh... Das ist echt lieb von dir, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nDu bist charmant und immer so lässig...\nWie eine Ritterin aus einem Märchen!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nCharmant und lässig? Ich?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nHahaha, du übertreibst.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nAch, ich hab übrigens auch ein paar Süßig-\nkeiten dabei. Sind echt lecker. Wollen wir sie\nzusammen essen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nOch, was für eine nette Überraschung! Liebend\ngern.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nHeute wird bestimmt ein toller Tag!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nSetzen wir uns da drüben hin. Der Ausblick von\ndort ist toll! Und als Dank fürs Süße teile ich\nauch meine eingelegten Fischeingeweide mit dir!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nEntschuldige, aber sagtest du gerade...\neingelegte Fischeingeweide?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nIch wette, sie passen perfekt zu deinen\nSüßigkeiten!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nÄh, da wär ich mir nicht so sicher. Genau\ngenommen klingt das sogar ziemlich grässlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nDas wissen wir aber erst, wenn wir es\nausprobieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nGut, ein Bissen kann wohl nicht schaden, wenn\ndu so darauf bestehst. Aber wenn ich mir den\nMagen verderbe, musst du mich gesundpflegen!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nNichts lieber als das. Also dann... stellen wir uns\ndem Unbekannten gemeinsam, Merrin?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHA!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nHahaha, also, in aller Bescheidenheit, das war\ndoch mal ein schöner Volltreffer zum Abschluss.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nTrotzdem muss ich noch mehr üben. Auf dem\nSchlachtfeld hat nur Perfektion Bestand.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nHa-AH!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nWhoa! Was zum--\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nWaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nOh nein, Merrin! Alles in Ordnung?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nChloé? Wie lange hast du mir schon zugesehen?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nZiemlich lange, ehrlich gesagt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nIch hätte ja schon eher etwas gesagt, aber ich\nwollte dein Training nicht unterbrechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nAch... Ich wünschte, dieser lahme Anblick\nwäre dir erspart geblieben!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nDie Ritter in den Märchen sind nie so\ntollpatschig. Bestimmt mache ich jetzt nicht\nmehr so einen lässigen Eindruck auf dich...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nOh, oh... du hast eine Schürfwunde an der Stirn.\nDarum sollten wir uns sofort kümmern.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nIch fühl mich so erbärmlich...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nDas war doch nur ein kleiner Fehler.\nMach dich deswegen nicht gleich verrückt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nWann immer ich an dich denke, habe ich vor\nAugen, wie viel Mühe du dir gibst – und nicht\nirgendeinen kleinen, einmaligen Fehler.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nFür mich bist du nach wie vor eine tapfere\nRitterin wie aus einem Märchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nChloé... Danke.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nAußerdem hatte ich doch gesagt, ich würde\ndich im Ernstfall gesundpflegen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nHahaha, schon. Aber dabei ging es eigentlich\num einen verdorbenen Magen, nicht um so\netwas.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nNun, vielleicht ist es gar nicht so schlimm, ab\nund zu mal Fehler zu machen. Vor allem, wenn\nsich so jemand wie du dann um mich kümmert.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHa!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nDu schaffst das, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06メリン\nGanz genau!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nHA!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nHahaha. Ich hab's tatsächlich geschafft! Das\nwar perfekt.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nEine wahre Meisterleistung, Merrin!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\nDas hab ich nur dir zu verdanken, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nDu hilfst mir schon den ganzen Morgen beim\nTraining und die vielen Stunden machen sich\nlangsam bezahlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nDafür bin ich dir dankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nAber bist du dir sicher, dass du weiter mit mir\ntrainieren willst? Gibt es nicht andere, die dafür\nviel qualifizierter sind?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nNein, Chloé, ich möchte mit niemand anderem\ntrainieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nWieso denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nEhrlich gesagt bist du eine der wenigen\nFreundinnen, bei denen es mir nichts ausmacht,\nwenn ich mal... nicht so lässig wirke.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nIch muss mir keine Sorgen machen, dass du\ngleich enttäuscht bist, wenn deine Märchen-\nritterin doch ein paar Makel hat.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nDu hast meinen tiefsten Dank dafür.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nHahaha, so ist das also.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nIch bin aber nicht die Einzige, die so empfindet,\nweißt du?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nWer könnte bitte von dir enttäuscht sein? Es ist\ndoch egal, ob du gelegentlich mal stolperst.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nAlle wissen, wie toll du bist! Ein paar Fehler\nändern auch nichts daran.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nWir wissen, dass tief in dir der Geist einer\nwahren Ritterin steckt.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nChloé, ich muss schon sagen...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nIch bin wirklich froh, dich getroffen zu haben,\nund es wäre mir eine Ehre, wenn du weiter an\nmeiner Seite kämpfen könntest.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\nGerne! Damit würde für mich ein Traum in\nErfüllung gehen, Merrin.\x0E\x04\x00\x00
