MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDiamant, betrübt dich gerade irgendetwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nMilady Veyle? Woher Eure plötzliche Sorge?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe dir etwas Schreckliches angetan... Ich\nmöchte wiedergutmachen, was ich getan habe.\nSofern ich das kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nBezieht Ihr Euch auf meinen Vater? Ihr müsst\nnichts wiedergutmachen. Ihr wart nicht Ihr\nselbst.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDennoch möchte ich es wiedergutmachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nIch verstehe. Wenn ich an Eurer Stelle wäre,\nwürde ich die gleiche Geste anbieten.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nUm ehrlich zu sein... Im Moment habe ich keine\nSorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nDoch ich frage mich... Hättet Ihr Lust, mir\ndabei zu helfen, anderen zu helfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAnderen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAls Kronprinz von Brodia ist es meine Aufgabe,\ndem Volk in meinem Königreich zu helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHelft Ihr mir, anderen ihre Last etwas zu er-\nleichtern, würde ich dies als großen Dienst\nansehen.\x0E\x04\x00\x00
