MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nSchwester.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nEtwas hat dich aus der Fassung gebracht, Rafal.\nWas ist los?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nラファール\nIst das nicht offensichtlich? Du wirfst dich ja\nschon jetzt an die Front, als gäbe es kein\nMorgen.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Du bist noch nicht wieder ganz bei Kräften.\nÜberlass die Front stattdessen mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04エル\nIch weiß deine Sorge zu schätzen. Doch dank\ndem Drachenstein, den du mir gabst, ist sie\nunbegründet.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Meine Verwandlungsfähigkeit ist ebenso\nmächtig wie damals, bevor mein eigener\nStein zerbarst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nDas ist sicherlich korrekt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nAußerdem wurde, wie du weißt, mein neuer\nStein direkt von den Emblemen mit Energie\nversehen.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Es ist ein Teil dessen, was auch dir die Kraft\nder eigenen Verwandlung gewährte.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nラファール\nJa. Zu unserem Glück war der Drachenstein,\nden die Embleme verwendeten,\naußergewöhnlich groß.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Daher konnte ich ihn in vier Teile aufteilen\nund dir zwei davon übergeben.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ich war zunächst besorgt, dass die Aufteilung\nseine Kraft reduzieren würde, aber das war\nnicht der Fall.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nRichtig. Damit hast du keinen Grund, dir über\nmich Sorgen zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nDas akzeptiere ich – aber nur, wenn du\nversprichst, mich bei Gefahr sofort zu rufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nDanke. Sollte dieser Fall jemals eintreten, werde\nich das tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nラファール\nUnd ich werde da sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x06\x04エル\nRafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nJa?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nIch mache mir Sorgen um deine Wunde. Als du\nmich in der letzten Schlacht beschützen\nwolltest, warst du zu leichtsinnig.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Nur ein falscher Schritt und die Verletzung\nhätte tödlich sein können. Heilt sie wenigstens\nordentlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nJa, danke. Und du hast recht – hätte der Schlag\nmich etwas weiter rechts getroffen, wäre ich\njetzt tot.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Ich wurde mit einem Stab geheilt, doch es wird\nwohl eine permanente Narbe bleiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nDas ist allein meine Schuld.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nEine Narbe ist nur ein kleiner Preis für die\nGelegenheit, dich zu beschützen. Ich zahle\nihn gerne jederzeit wieder.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nBitte nicht, ich flehe dich an.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Du kannst doch nicht im Ernst glauben, dass\nich mit Freuden zusehe, wie du dein Leben\nfür mich opferst, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nNein. Das tue ich nicht.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Und dennoch kann ich den Gedanken nicht\nertragen, dich jemals wieder verletzt zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nIch verstehe deine Gefühle.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Was ich aber nicht verstehe, ist, warum du\nimmer so... Argh!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nラファール\nIch habe tausend Jahre lang über dich gewacht,\nnachdem du dich für mich geopfert hast.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Ich habe jeden wachen Moment in vollem\nBewusstsein meiner unsäglichen Torheit\nverbracht.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Stets spürte ich die Furcht, dass du nie wieder\naufwachen würdest. Sie trieb mich beinahe in\nden Wahnsinn.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04エル\nRafal...\x0E\x04\x00\x00
