MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0C\nエーティエ\nEs ist lange her, dass wir die Zeit für eine\ngemeinsame Tasse Tee finden konnten,\nPrinzessin Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nLass den zeremoniellen Titel sein, Etie.\nDafür sind wir schon viel zu lange befreundet.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nWie Ihr wünscht, Céline. Wie schmeckt Euch\nder Tee?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nVorzüglich, danke. Du hast uns etwas ganz\nFeines aufgebrüht.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nDer durchdringende Geruch und der Geschmack\nverraten mir, dass es sich um sortenreinen Tee\nder nördlichen Plantagen handelt, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nIhr könnt nach nur einem Schluck die Herkunft\nbestimmen? Ihr seid eine echte Teekennerin.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nKomm schon, Etie, koste ruhig. Das Aroma ist\nunvergleichlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nDanke. Dann werde ich mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nNun?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nNun, es schmeckt wie... Tee. Ihr könntet mir\njede beliebige Region nennen, ich würde Euch\nglauben.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nJa, das dachte ich mir. Du warst schon\nimmer unempfänglich für die Subtilitäten der\nTees.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nEs geht nicht darum, dass ich ihn nicht\nschmecken könnte. Es kommt nur niemand an\nEuch heran, wenn es um Expertise geht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nStimmt etwas nicht, Etie?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nWas meint Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nDeine Hand hat gezittert. Da, schon wieder.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nOh, äh, bestimmt nicht. Das müsst Ihr Euch\neingebildet haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セリーヌ\nWirklich? Na, wenn du sicher bist...\x0E\x04\x00\x00
