MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nDiese Aufgabe nimmt viel mehr Zeit in\nAnspruch, als ich dachte.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nWenn ich endlich damit fertig bin, wird es\nbestimmt schon zu spät sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nWieso bist du denn so in Eile, Chloé? ...Oooh,\nhast du heute Nacht etwa eine Verabredung?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nAber nicht doch. Da ist nur diese Imbissbude,\ndie ich unbedingt besuchen wollte.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nMoment, es geht um eine Imbissbude?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nSo ist es. Ich habe einfach eine Schwäche\nfür lokale Imbissbudenspezialitäten mit\nungewöhnlichen Zutaten.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nDoch derartige Imbissstände waren immer\nschon rar, und der Krieg hat ihre Anzahl nur\nnoch weiter dezimiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nDann hörte ich, dass heute ein solcher Stand\neröffnet werden sollte, also habe mich schon\nden ganzen Tag darauf gefreut.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nWenn dir das so wichtig ist, kann ich doch für\ndich hingehen. Als so was wie dein persönliches\nDienstmädchen!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nDas würdest du für mich tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nKlar! Ich hab ohnehin ein paar Botengänge zu\nerledigen und für einen kleinen Umweg hätte\nich wohl Zeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nOooh, toll! Dann werde ich dein freundliches\nAngebot dankend annehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nWas genau soll ich denn für dich holen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nEin Schlangensandwich! Dabei handelt es sich\num eine gebratene Schlange zwischen zwei\nScheiben Brot!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nW-warum würde irgendjemand...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nSolche Imbissbudengerichte gehen meist auf\nörtliche Traditionen zurück.\x0E\x04\x00\x00
