MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHallo, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch habe gehört, Ihr wärt sehr gut im Zubereiten\nvon Fischgerichten. Stimmt das?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nJepp. Hast du richtig gehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nIch angle schon, seit mein Vater mich das erste\nMal aufs Wasser mitgenommen hat. Und ebenso\nlange bereite ich auch schon Fischgerichte zu.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nWenn Kiemen, Flossen oder Tentakeln dran\nsind, kann ich's dir auf den Teller bringen,\nwie's dir beliebt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVerstehe. Selbst ungewöhnliche Exemplare wie\nTintenfisch oder Oktopus zählen dann wohl zu\ndeinem Repertoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nザフィーア\nUnd ob! Einmal hab ich dieses Riesenvieh\ngefangen. Ein echter Oschi. Weiß nicht mal,\nworum es sich dabei genau handelte.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nAber das hat uns auch nicht davon abgehalten,\nes zuzubereiten und ein Riesenfestmahl fürs\nganze Dorf daraus zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEine faszinierende Geschichte. Ihr müsst\nwirklich außerordentlich begabt sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGenau deswegen muss ich Euch voll und ganz\nzerstören.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nWhoa, hey! Woher auf einmal die Feindseligkeit?\x0E\x04\x00\x00
