MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHeda, Prinzessin Ivy!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nHallo, Prinzessin Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nSieh uns an. Zwei zukünftige Königinnen,\ndie zusammen abhängen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nIn der Tat. Ich werde eines Tages Elusia\nregieren und Ihr Solm...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nDoch jenseits des königlichen Status scheinen\nwir beide gar nichts gemeinsam zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nIch bin nicht sicher, ob wir wirklich so\nverschieden sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nNicht? Mir erscheint es so, als seien wir in Auf-\ntreten und Persönlichkeit ganz gegensätzlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nIch möchte natürlich nicht andeuten, dass eine\nvon uns über der anderen steht. Aber die\nUnterschiede sind für mich ganz klar.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nHm, ich vermute, da ist was dran.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nIch habe beispielsweise noch nie mein Reich\ndurchstreift und Banditen bekämpft. Ich habe\nauch noch nie draußen gelagert.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nWie bitte?! Ihr habt noch nie draußen ein\nLager aufgeschlagen?! Dann habt Ihr noch\nnicht richtig gelebt!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nAus guten Grund gibt es Wände und Türen\nIch sehe keinen Sinn darin, außerhalb dieser\nWände zu nächtigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nIhr werdet Eure Sichtweise ändern, sobald Ihr\nselbst erfahren habt, wie aufregend es ist, unter\ndem Sternenhimmel zu schlafen!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nWarum sollte ich--\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nHm.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nWisst Ihr, was? In Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アイビー\nEs wäre unhöflich, die Einladung einer anderen\nKronprinzessin abzulehnen. Ich nehme sie an.\x0E\x04\x00\x00
