MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIhr! Ivy! Ich habe Euch was zu sagen!\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Ich bin hier, um mich zu entschuldigen.\nDafür, dass ich Euch in eine Verzerrte\nverwandelt habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nIch könnte Eure Entschuldigung akzeptieren,\nMylord Rafal, wenn ich zumindest eine\nAhnung hätte, wovon Ihr überhaupt redet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nMeine Absicht war, zunächst mit dem\nSchlimmsten zu beginnen und danach\ndie Erklärung anzubieten.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Ihr seid ganz anders als die Ivy meiner Welt.\nIch bin noch an ihre ständigen Unterbrechungen\ngewöhnt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nWenn Ihr einen Moment braucht, lasst Euch\ngerne Zeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nDanke. Ich habe die Ivy meiner Welt in eine\nVerzerrte verwandelt und habe sie gezwungen\nzu kämpfen.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Ich habe ausgenutzt, wie willig sie war.\nDem Dämonendrachen zu sehr ergeben.\nSo begierig zu dienen.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Doch dasselbe tat ich bald auch allen anderen\nMitgliedern der Königsfamilien an. Ich bereue\nmeine Taten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nDanke für die Erklärung, aber ich erkenne\nimmer noch nicht, was das jetzt mit mir zu tun\nhaben soll.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ihr entschuldigt Euch bei der falschen Ivy – und\ndiese Ivy hier, die vor Euch steht, ist offen\ngesagt ganz schön irritiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nラファール\nEs ist mir nicht mehr möglich, mit der Person\nzu sprechen, die ich verletzt habe. Ich fürchte,\ndies hier ist alles, was ich noch tun kann.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Ich dachte wohl, ich könnte sie durch Euch\nerreichen. Doch vielleicht suche ich auch\neinfach nur Seelenfrieden.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nIch glaube, ich verstehe, was Ihr fühlt.\nAber ich begreife immer noch nicht, wie\nich Euch dabei helfen soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nラファール\nAlles, worum ich bitte, ist Eure Erlaubnis,\nAbbitte für meine früheren Untaten leisten zu\ndürfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nWas würde diese Abbitte beinhalten?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nAlles, was Ihr mögt. Äußert einen Wunsch,\nund ich werde ihn erfüllen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nNun gut. Wenn Ihr darauf besteht, werde\nich darüber nachdenken.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nラファール\nIch warte geduldig.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nEndlich kommt Ihr auf mich zu. Heißt das,\nIhr habt Euch für einen Wunsch entschieden?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nDas habe ich. Einfach gesagt: Mein Wunsch ist,\nzur Akademie zurückzukehren.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nNatürlich. Die Akademie. Absolut logisch.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Und... Was genau ist das?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nIhr wisst nicht, was die Akademie ist?\nDann sollte ich mir besser einen anderen\nWunsch überlegen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nラファール\nUnsinn. Erschafft mir mit Euren Worten ein\nGemälde, und ich lasse es Wirklichkeit werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nNa, wenn Ihr meint. Die Akademie ist Elusias\nHort für höhere Bildung. Alle versammeln sich\ndort, um zu studieren.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Unser Volk muss ab einem bestimmten Alter\ndort teilnehmen. Alle Gleichaltrigen bilden\nKlassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nIhr wollt also einer Klasse zugeteilt werden,\num zu studieren. Ist das wirklich alles, was\nIhr Euch wünscht?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アイビー\nJa, aber die Akademie ist mehr als nur die\nSumme ihrer Teile. Meine Zeit dort hat mir\nviel bedeutet.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Die Schätze, die ich in diesen Hallen entdeckt\nhabe, will ich für nichts in der Welt hergeben.\x0E\x04\x00\x00
