MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis... du starrst mich nun schon beunruhigend\nlange an. Benötigst du irgendetwas von mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nWerte Ritterin von Brodia, bitte verzeiht mir,\nwenn ich Euch zu nahegetreten bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nMein tiefes Interesse an Euch mag mich zu\nmanch unratsamer Tat verleiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMich anzustarren nennst du Interesse?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nIhr führt jede Mission mit solcher Eleganz aus\nund hinterfragt niemals einen Befehl Eures\nPrinzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nDarüber hinaus seid Ihr auf dem Schlachtfeld\nso gnadenlos, dass manche Euch – wenn auch\nzu Unrecht – für überaus grausam halten.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nAh. Ich würde sagen, der Begriff „Interesse“\nwar noch etwas zu milde gewählt. Du versuchst\nwohl, besonders schlau zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nVon mir aus halte mich für gemeingefährlich. Ich\nwerde nicht widersprechen. Aber ich vertraue\ndir auch nicht voll und ganz.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nIhr denkt, ich halte Euch für gemeingefährlich?\nAber nicht doch! Da habe ich wohl erneut den\nfalschen Eindruck erweckt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nEs scheint mir allerdings zuzutreffen, dass Ihr\neine gewisse Seite von Euch vor anderen\ngeheim haltet, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nSo geheim sogar, dass nur wenige Auserwählte\ndarin eingeweiht sind.\x0E\x04\x00\x00
