MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLouis! Belauerst du etwa schon wieder\nirgendwelche Leute?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nVerzeihung, Pandreo, aber ich würde mich\nniemals zu einer solch schändlichen Handlung\nherabbegeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nIch sehe es vielmehr als eine harmlose\nBetrachtung aus der Ferne an.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nHahaha! Oh, ich bitte vielmals um Entschuldi-\ngung. Das ist natürlich was ganz anderes.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nWie auch immer. Wenn du dann irgendwann\nmal genug von deiner, äh... „Betrachtung“ haben\nsolltest, lass uns zusammen feiern!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nZusammen... feiern?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nJepp!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nWir lassen richtig die Sau raus und vertiefen\nunsere Männerfreundschaft!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nHmm. Unsere Männerfreundschaft, sagst du...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nTatsächlich habe ich mich in letzter Zeit des\nÖfteren gefragt, ob Derartiges nicht einmal\neine nähere Betrachtung wert wäre.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nWas sagt man dazu! Trifft sich doch wunderbar.\x0E\x04\x00\x00
