MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nGeht es Euch gut, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nBoucheron? Warum fragst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nOh, Ihr seht etwas mitgenommen aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAutsch. Das hast du gemerkt? Ich fühle mich\ntatsächlich etwas schlapp.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nDas ist gar nicht gut. Esst Ihr denn auch brav\nEure drei Mahlzeiten am Tag, wie ich hoffe?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nJa. Ich bezweifele, dass es an meiner Ernährung\nliegt.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nNun, dann vielleicht an Eurem Schlaf?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDer ist wie immer.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nHmm. Also, Ihr esst und schlaft wie immer, und\ntrotzdem fühlt Ihr Euch matt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nVielleicht der Stress.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nMeinst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nWürde mich nicht wundern. In den Krieg zu\nziehen, bedeutet für jeden Stress.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nWas tut Ihr, um den Stress abzubauen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nNichts. Das kam mir nicht mal in den Sinn.\nWas machst du denn so?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nDa gibt es mehrere Möglichkeiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nWie zum Beispiel allein auf einen Berg wandern\nund beim Angeln die Ruhe genießen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nOh ja. Das klingt wirklich entspannend.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nWollt Ihr mich irgendwann mal begleiten?\nDer Teil mit dem „allein“ ist eher optional.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nJa, mit Vergnügen. Sag mir bitte Bescheid,\nwenn du das nächste Mal aufbrichst!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nWie bekommt Euch die Bergluft, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nSie ist so klar. Alles an diesem Ort ist\nwunderschön.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nAllein hier zu stehen hilft mir schon enorm\ndabei, meinen Geist von Sorgen zu reinigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nEs freut mich, dass es Euch gefällt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nIst das der Gebirgsbach, den du neulich\nerwähnt hast?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nJa. Also, wahrscheinlich. Muss jedenfalls einer\nvon denen hier in der Nähe sein. Denke ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nDu klingst... nicht so ganz sicher.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nDas liegt an meinem unglaublich schlechten\nOrientierungssinn.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nIch habe versucht, den gleichen Ort ein zweites\nMal aufzusuchen, aber vergebens.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nDas sagst du mir erst jetzt...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nWas ist los? Ihr wirkt besorgt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nIch frage mich gerade, ob wir überhaupt den\nRückweg wiederfinden werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nHahaha! Macht Euch keine Gedanken. Ich habe\nunterwegs Zweige abgebrochen, um unseren\nRückweg zu markieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nSchaut da drüben. Seht Ihr den geknickten\nZweig? Er zeigt uns, dass wir von...\ndort kamen...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch sehe ihn nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nÄh...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nIch könnte schwören, dass ich diesen Zweig\nabgeknickt habe!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nÄhm, welchen denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nWas? Keiner dieser Zweige ist geknickt!\nEs tut mir so leid, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nブシュロン\nAber das wird schon klappen. Versuchen wir\ndiese Richtung hier!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08リュール\nGehen wir lieber in die andere Richtung.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nブシュロン\nWas? Warum?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08リュール\nWenn dein Orientierungssinn so schlecht ist,\nsollten wir immer das Gegenteil dessen tun,\nwas dein Instinkt vorschlägt.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nブシュロン\nKlingt logisch. Auf geht's!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nEs tut mir immer noch furchtbar leid wegen\nneulich, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nIch hoffe, mein schlechter Orientierungssinn hat\nEuch nicht noch mehr Stress bereitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nKeine Sorge. Wir sind sicher wieder zu Hause\nangekommen, und der Ausflug war sogar recht\nspaßig.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nブシュロン\nUff. Dann bin ich ja beruhigt.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nUnd was tust du sonst noch, um Stress\nabzubauen?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nブシュロン\nIch genieße ein gutes Buch. In andere Welten\nabzutauchen ermöglicht es mir, unsere\nfür einige Zeit zu vergessen.\x0E\x04\x00\x00
