MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nVerzeiht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich wollte Euch für Eure\nHilfe neulich in der Schlacht danken.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSofern dies nicht unangemessen ist, möchte\nich Euch gerne etwas schenken, um meine\nDankbarkeit vollauf auszudrücken.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nEin Geschenk? Das ist nicht nötig, Citrinne. Ich\nhabe nur getan, was jeder getan hätte.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nHaha! Oh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr seid zu bescheiden!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAha! Mir kam soeben eine Idee für ein\nGeschenk.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nEin Vertrauter der königlichen Familie von\nBrodia möchte seine Privatinsel verkaufen,\nohne Preisaufschlag!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nWas würdet Ihr zu Eurer eigenen Insel sagen?\nNatürlich übernehme ich die Kosten.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nEine ganze Insel?! Das ist wirklich nicht--\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nNicht genug, da habt Ihr recht. Ich könnte\nnoch eines meiner antiken Schmuckstücke\nhinzutun. Es ist nur wenige Generationen alt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNein! Citrinne, ich brauche keine teuren\nGeschenke.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nWirklich? Nun... Bei welcher Art Geschenk wäret\nIhr denn bereit, es anzunehmen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNun, wenn ich Euch die Idee gar nicht\nausreden kann...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nDann möchte ich ehrlich sein. Ich bevorzuge\nGeschenke, die man mit Geld nicht kaufen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nEtwas, das man mit Geld... nicht kaufen kann?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nKeine Privatinseln. Keinen Schmuck. Ich\nschätze Geschenke, die sich nicht durch\nihren Geldwert definieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nDenn das sind die schönsten Geschenke.\nVersteht Ihr?\x0E\x04\x00\x00
