MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nAAAH! \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Ihr glänzt ja so, wenn Ihr vor\nAnstrengung schwitzt!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nHey! Hey! Hier drüben! Hey!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nWahaaa! \x0E\x0A\x00\x10\x06Der\x06Die Göttliche hat mich angesehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nIch danke den Himmeln für die Erschaffung\neines so fantastischen und... glänzenden\nWesens.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nÄhm... Framme?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nOh, entschuldigt! Habe ich Euch abgelenkt?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nNa ja, so ganz... abstreiten kann ich das nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nOh nein! Tut mir leid, tut mir wirklich leid.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nIch bin hier als eine Vorsitzende des Vereins\nder \x0E\x0A\x00H Wyrmgottverehrer$Wyrmgöttinverehrer, müsst Ihr wissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nSo ein Verein... existiert?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nJepp! Wir haben es uns zur Mission gemacht,\nEuch zu unterstützen. Deshalb bin ich hier, um\nEuch noch mehr zu motivieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nHm! Danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nNur, könntest du das vielleicht... nicht aus\nnächster Nähe machen?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nKein Problem! Ich kann auch einfach ein\nStückchen zurückgehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nVier, drei, zwei, eins... Wer ist unser\nLieblingsdrache?! Ihr! Ihr! I-H-R!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nWar einen Versuch wert...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPuh. Zeit für eine kurze Pause und einen\nSchluck Wasser.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nAAAH! \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin sieht so toll aus,\nwenn \x0E\x0A\x00\x0E\x04er\x06sie Wasser trinkt!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nHinweis für den Verein: \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin trinkt\nseeehr gerne Wasser!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nHey, Framme? Kann ich dich kurz sprechen?\nEs ist... recht wichtig.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nIhr wollt Euch mit MIR über etwas Wichtiges\nunterhalten? Träume ich gerade oder passiert\ndas wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNein, du träumst nicht, und ja, es passiert.\nHör mal, es tut mir leid, das so direkt sagen\nzu müssen, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nKönntest du dich etwas zurückhalten mit dem\nAnfeuern und allem, was dazugehört?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nIch weiß deinen Enthusiasmus zu schätzen,\naber... Ich kann mich so nur schwer\nkonzentrieren.\x0E\x04\x00\x00
