MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nJade! Geht es dir gut?!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nOh. \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nIch hörte, du seist von Banditen angegriffen\nworden! Ich eilte hierher, um nach dir zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nVielen Dank, aber mir geht es gut. Ich habe\nsie alle in die Flucht geschlagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nWarum haben sie dich überhaupt angegriffen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIch bin dieser Gruppe schon einmal begegnet.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nFrüher einmal arbeitete ich als Wache für die\nMine in der Nähe meines Heimatortes. Einmal\nhielt ich sie davon ab, die Mine zu plündern.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSie müssen mich aufgespürt haben, um sich\nzu rächen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nJetzt? Nach all der Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIch war unter den Banditen in unserem Gebiet\neine ziemliche Berühmtheit. Sie nannten mich\n„Jade, die eiserne Mauer“.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nIch bin anscheinend das Ziel eines tiefen,\nlang andauernden Grolls.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nAber das macht nichts. Ich komme mit allem\nzurecht, was sie mir entgegenstellen. Sie sind\nkeine allzu große Bedrohung.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIch weiß, du bist stark, Jade, aber ich mache\nmir dennoch Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSolltest du jemals Hilfe benötigen, kannst du\nauf mich zählen. Ich werde tun, was immer ich\nkann.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nOh, ich möchte Euch unter keinen Umständen\nso eine Last aufbürden, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nAber ich danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08リュール\nHallo, Jade. Schönes Wetter heute.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJa, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. So ist es.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nHast du den Sonnenuntergang gestern gesehen?\nWunderschön.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nJa, das war er.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... In letzter Zeit treffen wir oft\naufeinander, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nDas stimmt. Ich bin dir doch nicht lästig, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nIch glaube, ich weiß, was hier vorgeht.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIhr wollt in meiner Nähe sein, für den Fall, dass\ndie Banditen mich wieder angreifen. Habe ich\nrecht?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAh. Vielleicht hätte ich mir mehr Mühe geben\nsollen, das zu verbergen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nIch weiß Eure Sorge zu schätzen, aber ich\nkomme allein mit ihnen klar.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nIhr müsst nicht auf mich aufpassen. Ich bin\nsicher, dass Ihr Wichtigeres zu tun habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nNun... Ich habe gerade etwas freie Zeit zur\nVerfügung, die ich genießen könnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nDu hast doch bestimmt nichts dagegen, wenn\nich mich hier ein wenig entspanne, oder?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch weiß, wie stark du bist, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nIch tue das hier nicht, weil ich denke, dass du\nallein nicht zurechtkommst. Ich bin hier, weil ich\nhelfen möchte.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ジェーデ\nWir Ihr wünscht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nJade! Geht es dir gut?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nJa, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich komme gerade zurück.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nDen Himmeln sei Dank. Du scheinst nicht ver-\nletzt zu sein... Aber ich kann nicht glauben, dass\ndu so etwas Waghalsiges getan hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nSich zu dem Versteck der Banditen schleichen\nund sie dann aus dem Hinterhalt anzugreifen...\nUnfassbar!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nIch wusste, welches Risiko ich einging. Ich\nmusste endlich einen Schlussstrich unter\ndiese Angelegenheit ziehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nHätte ich das nicht getan, hätten sie ewig so\nweitergemacht mit ihren Vergeltungsschlägen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAber nun ist alles wieder in Ordnung.\nDie Banditen wurden besiegt und in\nMilitärgewahrsam genommen.\x0E\x04\x00\x00
