MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Genau der Drache, den ich\ngerade brauche. Ich hätte da ein Anliegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nJa? Welches Anliegen denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nIch gebe demnächst eine Party, und ich würde\nmich freuen, wenn Ihr daran teilnehmen\nkönntet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nFür die Anhänger unserer Kirche seid Ihr der\nMittelpunkt, das Ein und Alles – \x0E\x0A\x002\x14unser Gott\x1Aunsere Göttin.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nEure Anwesenheit würde die Stimmung\nsicherlich enorm heben.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nHmm... Erzähl mir mehr... Was für eine Party\nsoll das denn sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nAch, nichts Formelles. Wir kommen einfach nur\nzusammen, um zu singen, zu tanzen und eine\nschöne Zeit zu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nIhr könnt ein wenig feiern und den anderen\nGästen Euer Ohr leihen. Ihren Lebensge-\nschichten lauschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nDas klingt gut, aber... warum willst du denn so\ndringend, dass ich den Leuten zuhöre?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nBegreift Ihr das nicht? Es wäre für alle\nunglaublich ermutigend!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nAls ich Euch das erste Mal mit eigenen Augen\nerblickte, war es, als... als sähe ich das Licht!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nHahaha, jetzt trägst du aber dick auf.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nVerzeiht. Ich habe mich ein wenig gehen lassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パンドロ\nJedenfalls... Die Einladung kam ja jetzt sehr\nkurzfristig, da braucht Ihr natürlich nicht sofort\nzu antworten.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nAber ich sage Euch, mit Mittelklassepartys gebe\nich mich nicht ab. Wenn ich eine ausrichte,\nwird sie garantiert ein Brüller.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nGut, zur Kenntnis genommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08リュール\nPandreo... Es tut mir leid, aber ich habe\nnachgedacht und muss deine Einladung zur\nParty leider ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nAh, zu viel zu tun, hm? Zu schade. Vielleicht\nnächstes Mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nNein, es geht nicht darum, dass ich zu wenig\nZeit habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nOh. Darf ich fragen, was dann der Grund ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nAus der Entfernung mögen mich die Leute für\n\x0E\x0A\x00\x16\neinen\x08eine... \x0E\x0A\x00.\x14einen Gott\x16eine Göttin halten. Aber von Nahem\nbetrachtet bin ich nichts Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nWarum soll ich alle enttäuschen und sie\nherausfinden lassen, dass \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin\neinfach nur... eine Person ist?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08パンドロ\nDarüber macht Ihr Euch Sorgen? Dann habe\nich wohl den falschen Eindruck vermittelt.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nHört zu. Als ich noch ein Junge war, habt Ihr\nmir das Leben gerettet.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nWas? Wie denn? Ich habe doch geschlafen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nNun, meine Eltern waren offen gesagt...\nverantwortungslos. Sie haben meine Schwester\nund mich verlassen, als wir noch klein waren.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nDoch ein Priester der Kirche gab meinem Leben\nneuen Sinn, und zwar durch eine kaum\nbekannte Prophezeiung...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\n„Wenn einst das Drachenkind auf dem Altar aus\ndem Schlummer erwacht, wird die Welt errettet\nwerden.“\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nEgal, wie kaputt die Welt sein mag, sie wird\ndoch errettet werden. Das gab mir die\nHoffnung, die ich brauchte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nUnd ich bin damit nicht allein. Die Gläubigen\nwaren stets davon überzeugt, dass Ihr erwachen\nwürdet.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nAlso: Nein, Ihr werdet sie nicht enttäuschen.\nIhr seid der lebende Beweis, dass sich ihre\nHoffnungen erfüllen werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIch verstehe jetzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nAlso gut, Pandreo. Du hast mich überzeugt.\nIch werde deine Party besuchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パンドロ\nDanke, danke. Alle werden begeistert sein, Euch\ndort zu sehen.\x0E\x04\x00\x00
