MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nDu bist... Gregory.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nJa.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nWir haben eine Aufgabe. Diese Waffen pflegen\nsich nicht von selbst.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nRichtig, richtig...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nDeine Einstellung ist genauso lasch wie die\ndeines Gegenstücks aus dieser Welt.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Auf dem Schlachtfeld zeigst du eine gute\nLeistung, aber ob du vertrauenswürdig bist,\nmuss sich erst noch zeigen.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Vielleicht fühlst du dich in meiner Anwesenheit\nunwohl. Es steht dir dann frei zu gehen – es\nreicht, wenn einer von uns hier ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nN-nein. Ich will nicht gehen und dich hier ganz\nallein zurücklassen. Mit der Arbeit, meine ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nHmpf.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nÄh, tut mir leid. Wie dem auch sei... Ja, ich\nmöchte hierbleiben.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nDas führt doch zu nichts. Dein Verhalten ist\nmir ein Rätsel.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Wenn wir weiterkommen wollen, müssen wir\neinen offenen Diskurs wagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nDiskurs?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nWir sollten damit anfangen, Fakten auszu-\ntauschen, damit wir beide die gleichen Infor-\nmationen besitzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nWarte... Mauvier, willst du damit sagen,\ndass du dich tatsächlich mit mir unterhalten\nmöchtest?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06モーヴ\nHast du Einwände?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x02\x00
MID_RELIANCE_C_#020	Schluchz.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06モーヴ\nDu wirkst erschüttert.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nErschüttert? Nein. Ich... Ich wollte mich auch\nmit dir unterhalten. Aber ich hatte Angst, dass\ndu mir nicht vergeben haben könntest!\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Da ich dich im Stich gelassen habe, dachte ich,\nich könne dir niemals wieder gegenübertreten.\nEs tut mir so leid...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06モーヴ\nIch kann nicht behaupten, dass ich dich\nverstehe, aber ich habe dir zugehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0C\nグレゴリー\nMauvier... Ich werde dich nie wieder allein\nlassen, das verspreche ich dir. Ich werde immer\nan deiner Seite bleiben!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06モーヴ\nDas wird eine Herausforderung...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSag mal, Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Auch wenn wir uns oft unterhalten... habe ich\nnicht das Gefühl, dass du mir vertraust.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nWenn das so ist, ist das nicht meine Absicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nOh... Ja, dann. Nun, ich möchte trotzdem, dass\ndu weißt, dass ich Mauviers Position über-\nnommen habe – in meiner alten Welt.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	So sehr hast du mir vertraut. Ich meine, nicht\ndu, aber dein Du dort.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nDas glaube ich dir. Und du erscheinst mir\ndurchaus als jemand, dem ich potenziell mein\nLeben anvertrauen würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nWie war mein Ich in dieser Welt? Ihr seid\nbeide bei den Vier Bluthunden gewesen, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nBist du sicher, dass du das wissen möchtest?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nNun, schon, ja. Ich meine, es wäre ein wenig\nungerecht, nichts über ihn zu wissen. Ich habe\ndir ja auch viel über meinen Mauvier erzählt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nJa, das hast du. Mit sehr viel Gefühl.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Nun gut, wenn du darauf bestehst. Aber ich\nmuss dich warnen, das ist keine schöne Ge-\nschichte. Du solltest dich besser wappnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nFalls du mir Angst einjagen willst...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nWas ich dir erzählen werde, wurde von ihm nie\ndirekt bestätigt, aber es ist die Wahrheit, so\nwie ich sie kenne.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Dein Gegenstück wurde von seinen Eltern ver-\nlassen und von der Kirche des Dämonendrachen\naufgezogen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nVerstehe... So wie ich auch...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nIm Gegensatz zu dir merkte er sehr schnell, dass\ner Spaß am Schmerz hatte. Schmerzen zu\nerleiden, aber auch zu verursachen.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Gerüchte legen nahe, dass er seinen Schmerz\nals etwas Spirituelles ansah – als eine Opfergabe\nfür den Dämonendrachen.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Durch diesen Fanatismus wurde Zephia auf ihn\naufmerksam – und er bekam eine Einladung von\nden Vier Bluthunden.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	In dieser Zeit soll er so gut wie gar nicht in der\nLage gewesen sein, sich vernünftig zu unter-\nhalten. Man merkte, er war ein Ausgestoßener.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nIch kann verstehen warum! Warum sollte man\nmit jemanden befreundet sein wollen, der\nSchmerzen liebt?\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Was war mit den Vier Bluthunden? Wie haben\nsie sich verstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nNicht gut. Unsere schwachen Bande wurden\ndurch den Tod einer einzelnen Person zerstört.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nDer Tod einer einzelnen Person... War ich es?\nOder Zelestia? Madeline?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06モーヴ\nHach.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Marni, die Madeline dieser Welt, wurde\nvon deinem Gegenstück und dem von Zelestia\ngetötet.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nグレゴリー\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06モーヴ\nSie nannten ihren Tod eine Verschwendung.\nSie lachten darüber. Ich konnte ihnen das nicht\nvergeben, also wechselte ich die Seiten.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Wenn ich dich ansehe, sehe ich sein Gesicht.\nVielleicht vertraue ich dir deshalb nicht so ganz.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nグレゴリー\nDas kann ich dir nicht zum Vorwurf machen.\nWenn er so etwas Schreckliches getan hat...\nDann verstehe ich jetzt deine Einstellung.\x0E\x04\x02\x00
MID_RELIANCE_B_#030	Es tut mir leid, ich werde dir nicht mehr zur\nLast fallen. Danke, ähm... Danke, dass du mit\nmir gesprochen hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x08\x06モーヴ\nHrmpf.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\nGeht es dir nicht gut? Du wirkst verstört.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nMir geht es gut. Alles in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nEs ist völlig verständlich, dass du dich über\ndie Ereignisse, die ich dir neulich erzählt habe,\naufregst.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Wenn es mehr ist, als du ertragen kannst,\nerlaube mir bitte, mich zu entschuldigen. Ich\nhätte umsichtiger sein sollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nEs ist in Ordnung. Ehrlich. Ich habe doch darum\ngebeten.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Er hat all das getan... Dann würde ich mir\nebenfalls nicht vertrauen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nDie Umstände haben sich geändert. Ich weiß\nnun, dass du nicht fähig bist, die Dinge zu tun,\ndie er tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nSelbstverständlich nicht! Das ist nicht meine\nArt.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Ich würde niemals einen Verbündeten töten, und\nich... ich würde auch niemanden zurücklassen,\nwenn er so allein um sein Leben kämpfen muss!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nIch glaube dir. Ich bin mir sicher, dass du dein\nLeben riskieren würdest, um deine Freunde\nzu beschützen.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Dadurch hast du mein Vertrauen gewonnen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nグレゴリー\nOh, e-ehrlich? Hehehe. Du weißt nicht, was es\nfür mich bedeutet, das endlich zu hören.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Danke, dass du an mich glaubst, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nWas? Ich sage danke, und du stehst einfach nur\nda und siehst mich an?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nDein Dank kam etwas überraschend für mich.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Dadurch erkannte ich, dass Griss sich in all\nden Jahren, die ich ihn kannte, nicht ein\neinziges Mal bei mir bedankt hat. Nicht ein Mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nWir sind eben nicht dieselbe Person.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Ich meine... Das klingt alles so, als sei mein Ich\nin dieser Welt echt ein seltsamer Vogel. Um das\nmal einfach auszudrücken.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nIn der Tat.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nWas ist denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nOh, nichts. Ich habe nur nachgedacht... Ich habe\nMauvier nie lachen gehört.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nMag sein. Aber wie du schon gesagt hast, wir\nsind nicht dieselben Personen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nHehehe. Ganz genau. Selbst wenn wir manch-\nmal so aussehen wie sie.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Wir sind einfach wir. Lass uns weiterhin gut\nzusammenarbeiten, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nEinverstanden.\x0E\x04\x00\x00
