MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, hast du einen Moment Zeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nSicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nEs geht um unseren Übungskampf gerade eben.\nIch glaube, deine Einstellung... muss sich noch\nein wenig ändern.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nWas meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nEin Übungskampf ist nicht auf Leben und Tod.\nAber eben hast du dich direkt auf meine\nKehle gestürzt.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nEs wäre schön, wenn du es etwas ruhiger\nangehen lassen könntest. Sei einfach etwas\nsportlicher.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nWas? Nein. Tut mir leid, aber das ist lächerlich.\nDas werde ich nicht tun!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nMerrin, ich weiß, du hältst es für superschick,\nmitten im Kampf eine Pause zu machen und\neinen Monolog zu halten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nAber wenn du das machst, kannst du gleich\ndein Hemdchen heben, dem Gegner die Nieren\npräsentieren und „Hier reinstechen!“ rufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nVon mir bekommst du schlimmstenfalls einen\nSchlag auf den Hinterkopf. Ein echter Feind\nwürde dich genüsslich ausweiden!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nDas weiß ich doch. Ich wollte nur ein wenig\nverbale Kriegsführung probieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nWofür probieren? Wenn es im echten Kampf\nnichts nützt, welchen Sinn hat es dann?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nIch verstehe ja schon, echt. Aber was ist denn\nan einem verbalen Schlagabtausch während\neines Übungskampfes so schlimm?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nSo ein fescher Einzeiler verleiht dem Kampf\ngleich viel mehr Würze. Mitten im Kampf einen\nkurzen Monolog zu halten ist voll im Trend.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nTu, was du tun musst, aber erst, wenn ich mit\nmeinem Text durch bin. Wir sind schließlich\nVerbündete.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nNein. Es ist eine ganz schlechte Angewohnheit,\neinen Kampf auf die leichte Schulter zu nehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nIch dachte, gerade du würdest das verstehen,\nso als Ritterin und alles. Offenbar lag ich falsch.\x0E\x04\x00\x00
