MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nEs dauert noch, bis der Kriegsrat beginnt.\nIrgendwie muss ich die Zeit sinnvoll nutzen.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Das Wetter ist heute sonnig und warm.\nVielleicht sollte ich mich einfach entspannen\nund es genießen.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Ich muss eingenickt sein.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Hm? Wie kommt denn das Grillfleisch hierher?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Hat jemand zu essen vergessen?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ungeplante Nickerchen scheinen bei mir\nallmählich zur Gewohnheit zu werden.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Hmm... Schon wieder liegt hier Grillfleisch offen\nherum. Merkwürdig.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Der Besitzer müsste doch merken, dass ihm\nzwei volle Mahlzeiten fehlen...\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Zzz... zzz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nGut, sie schläft tief und fest.\nGeheimmahlzeit: Aktivieren!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nHalt!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nHuch?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nPrinzessin von Solm. Ihr also wart es, die das\nGrillfleisch in meiner Gegenwart deponiert hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nWas? Hihihi, aber nein.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nDann erklärt, was Ihr da in der Hand habt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nEin modisches Accessoire.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Ich wollte Euch nicht belästigen. Tschüss.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nAugenblick! Ich wollte doch nur fragen...\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Nutzlos. Sie ist weg. Wie verwirrend...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Brutzel, knusper, Fleisch am Grill!\nDu schmeckst so gut, wie ich es will! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04エル\nIhr seid nicht leicht zu finden, kleine Prinzessin.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nHuch! Nel!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04エル\nIch möchte über die Nahrung sprechen, die Ihr\nmir hinterlassen habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nIch kann es wohl nicht länger verbergen.\nJa, ich war es. Ihr saht einfach so müde aus\nin letzter Zeit.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Jedes Mal, wenn ich an Euch vorbeikomme,\nliegt Ihr schlafend auf dem Boden.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nHm.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nIch dachte mir, ein leckeres und herzhaftes\nEssen würde Euch wieder vor Energie\nsprühen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nVergebt mir. Meine Nickerchen unter freiem\nHimmel haben Euch offenbar Sorgen bereitet.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Ich weiß die Sorge zu schätzen, aber mir bleibt\nunklar, welche Rolle das Fleisch dabei spielt.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nEssen verschafft Energie, ja? Also: Je mehr\nEssen, desto mehr Energie!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04エル\nDas mag für Euresgleichen zutreffen. Doch\nmich bringt dies nicht dazu, vor Energie zu...\nsprühen, wie Ihr sagt.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Wenn also dies Eure Intention war, so schlage\nich eine andere Herangehensweise vor.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nHey, ich habe noch gar nicht daran gedacht,\nirgendwas anderes zu probieren. Habt Ihr da\nschon Ideen? Immer her damit!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\nIch habe tatsächlich Euer Lied von vorhin recht\ngenossen. Vielleicht könntet Ihr damit\nfortfahren.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nJa! Welches? „Schnitzel, Fisch und Bratwurst\ngrillt“? „Ein Steak, das deinen Namen trägt“?\n„Für mich soll's rotes Roastbeef geben“?\x0E\x04\x00\x00
