MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nミスティラ\nNa, wenn das mal nicht Fogado ist, mein\nliebstes und einziges Geschwisterchen. Hihihi.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nJa, in Fleisch und Blut. Magst du mir sagen,\nwarum du heute so gute Laune hast?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, kein bestimmter Grund.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nTatsächlich? Ich dachte, es hätte etwas mit\neinem Lied oder einem Stück Fleisch zu tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nJedenfalls freue ich mich, dich fröhlich zu\nsehen. Da lächele ich doch gleich mit.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nDas trifft sich gut. Denn ich bin absolut\nglücklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nAber ich bestehe darauf, dass du mir den Grund\nverrätst. Komm schon – unter Geschwisterchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nWenn du es wirklich wissen willst...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nDer Grund ist, dass DU hier bist!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nIst das alles? Pfff. Ich bin doch immer hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nOho! Ich will dir nicht zu nahe treten, aber\ndas stimmt so nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nZwar habe ich damals in Solm selbst nicht ganz\nso viel Zeit im Schloss verbracht. Aber du?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nDu warst ja nie da! Ich konnte fast gar keine\nZeit mit dir verbringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nÄhm, ja. Da hast du wohl nicht unrecht.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nDie Umstände mögen nicht die besten sein, aber\nich freue mich, dich jeden Tag zu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\nDu siehst echt immer das Positive.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nWir stecken mitten im Krieg, und bei dir klingt\nes, als wäre es ein fröhlicher Familienurlaub.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nHast du damit ein Problem?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nフォガート\nKein bisschen. Wie gesagt, wenn du glücklich\nbist, bin ich es auch.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nHey. Ich will mit dir was besprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nWas ist denn los, Fogado? Du wirkst so\nniedergeschlagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nJa, nun. Ich denke, ich schulde dir eine\nEntschuldigung.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nAlso doch. DU hast mir meine Honigrippchen\ngemopst. Die wollte ich heute Nacht knabbern!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nWas? Niemals! Ich weiß doch, wie sehr du deine\nMitternachtshäppchen liebst!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nフォガート\nMoment. Was sollte eben dieses „Also doch!“?\nTraust du nicht mal deinem eigenen Bruder?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Tut mir leid. Ich werde immer so\nknatschig, wenn ich mit leerem Magen aufstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nAber was war das eben mit der Entschuldigung?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nIch habe nachgedacht. Darüber, was du sagtest,\ndass ich nie im Schloss gewesen sei.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nフォガート\nIch fand, dass unser Volk aus Freigeistern auch\neinen freigeistigen Prinzen verdient.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nAber jetzt verstehe ich, dass das zu Lasten\nunserer Geschwisterzeit ging. Ich bessere mich.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nミスティラ\nHör mal, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nIch weiß, dass das mit dem „freigeistig“ nur die\nhalbe Wahrheit ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nDu bist gegangen, um das Land kennenzulernen\nund besser für Krisen gerüstet zu sein, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nDamit, falls es zum Schlimmsten kommt, du\nmich gut beraten kannst.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nHahaha, natürlich wusstest du das.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nSicher. Wir sind Geschwisterchen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nIch weiß aaaalles, was in deinem süßen\nKöpfchen vor sich geht!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nUnd ich weiß zu schätzen, was du für mich tust.\nHabe ich ein Glück, dich zum Bruder zu haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nフォガート\nWir sind eine Familie. Wir passen aufeinander\nauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nAber ehrlich gesagt musst du nicht immer auf\nmich aufpassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nミスティラ\nMir wäre es lieber, wenn du einfach nur so mehr\nZeit mit mir verbringen würdest, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nSo wie jetzt. Das ist perfekt.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\nTimerra! Ich habe es gelöst!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nWas gelöst? Die Tapete von der Wand, oder\nwie? Ich weiß nicht, was du meinst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nフォガート\nHier, für dich. Ich habe die ganze Nacht daran\ngearbeitet.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nEine Puppe? Warum hast du... Moment mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nUnmöglich. Das bist ja DU! Als Puppe!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nDing, ding, ding!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nフォガート\nJetzt sind wir immer zusammen, und du musst\ndich nie mehr einsam fühlen.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nSelbst wenn ich das Schloss verlasse, wird es\nsein, als sei ich direkt bei dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nフォガート\nUnd er wird dich beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nArgh. Du hast nichts verstanden!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nIch bin kein Baby. Wovor soll mich die Puppe\ndenn beschützen? Vor Räuberpuppen?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nフォガート\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nAußerdem sieht das Ding dir doch kaum\nähnlich!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nDa braucht man aber schon RICHTIG Fantasie,\num diesen Fauxgado für dich zu halten.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nフォガート\nIch habe so hart an ihm gearbeitet. Findest du\nnicht, dass er den schicken Gang seines Vaters\nhat?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nÄhm, nein. Nicht im Geringsten. Dann hast du\nwohl keine Wahl.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nDu musst einfach selbst mehr Zeit mit mir\nverbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nWir sind zwar Prinz und Prinzessin, aber\nzuallererst sind wir Geschwisterchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nDa hast du recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nDu hast gewonnen. Ich werde weniger umher-\nziehen und dafür mehr Zeit mit dir verbringen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nGut. Und, war das jetzt so schwer?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nフォガート\nDann brauchst du diese Puppe wohl nicht mehr.\x0E\x04\x00\x00
