MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAR-ARUUU! Wie fandest du die Party, Rosado?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nAR-AR-ARUUU. Unglaublich. Wenn die immer\nso spaßig sind, will ich jeden Tag feiern!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nJeden Tag, hm? Selbst für mich klingt das...\netwas anstrengend.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nFür dich mag es anders sein. Du stammst\nimmerhin aus dem Feendorf.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nSo ist es!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nIch habe gehört, die Leute dort können die\nganze Nacht durchfeiern, ohne auch nur\nAugenringe zu bekommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nUnd man kann so viel essen und trinken, wie\nman will, ohne jemals satt zu werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nIch muss sagen, das macht mich neidisch.\nIch wünschte, ich könnte das.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ロサード\nIch bin erleichtert, dass du nur neidisch bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nHm? Was meinst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nManche finden es ein bisschen... gruselig.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パンドロ\nPfft! Wie lächerlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nHör nicht auf die. Die sind einfach nur zu stolz,\num zuzugeben, dass sie auch neidisch sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\nJa, ich weiß. Trotzdem danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nSuper. Ja, und wenn demnächst wieder eine\nParty ansteht, gebe ich dir Bescheid. Also halte\ndich besser mal bereit! ARUUU!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nARUUU.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\nDu siehst ganz schön fertig aus, Pandreo!\nBisschen zu viel gefeiert?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nJa klar. ...Nein. Ich wünschte, das wäre mein\neinziges Problem.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nWas ist denn los? Ich habe ein offenes Ohr für\ndich, falls es hilft.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パンドロ\nNun, es ist nicht das erste Mal, dass das\npassiert, und es wird sicher nicht das letzte\nMal sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nEin paar obersteife Kleriker haben meiner\nKirche eine formelle Beschwerde übersandt.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nAh, richtig. Deine Kirche ist ja ein wenig\nungewöhnlich, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nIch habe von deinen niedrigschwelligen\nAngeboten gehört, mit wilden Partys und\nschicker Mode.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nUnd dem Aufstellen von riesigen Wegweisern\nin Richtung Kirche.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nErnsten Leuten erscheinen solche Taktiken\noffenbar als „der Würde der Kirche nicht\nangemessen“.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パンドロ\nIch meine, ernsthaft? Wir gewinnen damit von\nTag zu Tag mehr Gläubige!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nDie konzentrieren sich so sehr auf das\nSchlechte, dass sie das Gute gar nicht mehr\nsehen. Zum Ausrasten!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nJa, das stelle ich mir frustrierend vor.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nDanke, dass ich bei dir mal Dampf ablassen\nkonnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nNur ein oder zwei Tage Trübsal blasen, und\nschon bin ich wieder mein munteres altes Ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ロサード\nGanz bestimmt, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Pandreo! Schau dir das mal an.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パンドロ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ロサード\nEine Zeichnung, die ich von deiner Kirche\nangefertigt habe.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nWahnsinn. Das hast du nur für mich gemacht?\nWarum?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ロサード\nHier ist was, das du sehen solltest. Schau,\ndiese Frau dort. Sie war wirklich da.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\nSie sieht so glücklich aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nJa. Ich habe ihr Gesicht genau so festgehalten,\nwie du es jetzt siehst. Sie war überglücklich, in\ndeiner Kirche zu sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nIch verstehe... Also helfe ich den Leuten\nwirklich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パンドロ\nGenau darauf arbeite ich hin. Den Leuten etwas\nFreude für ihr Leben zu geben.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nUnd du machst das fantastisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nLetztes Mal meintest du, die Leute\nkonzentrieren sich so sehr auf das Schlechte,\ndass sie das Gute gar nicht mehr sehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nIch glaube, das trifft irgendwie auch auf dich\nzu, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nIch... Hm? Was meinst du damit?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nDu hast so sehr auf das Schlechte geschaut,\ndass du das Gute total übersehen hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nHm!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nWeißt du was? Du hast vollkommen recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パンドロ\nDanke, Rosado! Ich fühle mich jetzt deutlich\nbesser.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nKeine Selbstzweifel mehr ab jetzt! Ich werde\nweitermachen, weiterzumachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nHeute Abend steigt die Party wieder! ARUUU.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nOh, ich bin SO WAS von dabei! ARUUU!\x0E\x04\x00\x00
