MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダスHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nDu kannst ruhig schauen. Es stört mich nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nÄh, was?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nDu hast mich schon länger angestarrt. Das ist in\nOrdnung. Ich weiß, dass ich süß bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nDu hast meine Niedlichkeit bewundert, habe ich\nrecht? Bitte, bewundere gerne weiter.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nOh, nun, ich schätze, da hast du nicht unrecht.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nIch bewundere, wie du auf dich und dein\nErscheinungsbild achtest.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nDein Haar ist so glänzend, dass es beinahe\nleuchtet. Und deine Haut... ist der Inbegriff der\nGesundheit.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nIch muss einfach wissen, wie dein\nSchönheitsgeheimnis lautet.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nHahaha. Ach, vielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nAber ich habe gar kein Schönheitsgeheimnis.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nDas... ist nicht möglich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nDu musst doch irgendwas tun. Auf deine\nErnährung achten, wild entschlossen\ntrainieren... irgendwas!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nMan kann doch nicht aussehen wie... du, ohne\nsich zumindest irgendwie dafür anzustrengen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nWenn du die Wahrheit sagst, dann ist das\neinfach nicht fair. Ich opfere viel, um so zu sein,\nwie ich bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nIch weiß nicht, was ich sagen soll. Ich mache\nwirklich nichts Besonderes.\x0E\x04\x00\x00
