MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\nHuch! Prinz Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\nHey, hey! Was ist denn, Prinz Alcryst?\nWarum wollt Ihr vor mir davonrennen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nBitte entschuldigt. Ihr zeigt immer so viel\nLebensfreude, da fürchtete ich, meine\nAnwesenheit könnte Eure Stimmung trüben.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\nMeine Güüüte! Ich finde, Ihr seid da etwas\nzu hart zu Euch selbst.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nAußerdem haben wir eine Menge gemeinsam.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nIhr seid der zweite Prinz eines Königreichs,\nich der erste Prinz eines Königinreichs.\nAvocado, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nIch nehme an, Ihr habt recht.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nÄhm. Warum dieser Seufzer?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nWir haben eine ähnliche Stellung. Aber wenn\ndies zutrifft... warum sind wir dann so\nverschieden?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nIhr seid lebenslustig und gesellig, während ich...\nfür jeden, den ich treffe, eine jämmerliche Bürde\nbin.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nIhr tut es schon wieder. Ihr seid immer so\nnegativ.\x0E\x04\x00\x00
