MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nWas? Wirklich?! Hier?! Lese... ich das gerade\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nSeadall! Was ist denn los? Ist alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nIch lese nur ein wenig in meinen Karten. Sie\nsagen mir, dass ein Mann, in Legenden\ngeweissagt, hier bald erscheinen wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Ein Mann, geweissagt in Legenden? Wo?\nWann? Was sagen die Karten noch?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nNun, dieser legendäre Mann ist jung,\nextravertiert, lebhaft... und ziemlich attraktiv.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOooh, das klingt wirklich sehr nach mir...\nAber ich habe keine Extras! Menno, so nah dran.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nAh, aber er ist auch ein Dummkopf.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nOh. Dann kann ich das nicht sein. Gut, dass\nich keine Extras habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nHmm... Dieser sagenhafte Knabe hat eine\nstarke Beziehung zu einem bestimmten Tier.\nDem... Alpaka?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nAlpakas?! Kann nicht sein! Das muss ich sein.\nIch BIN legendär, ohne Extras!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nDu bist derjenige, den mir meine Karten\nvorhersagen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nIch denke schon! Aber was bedeutet das jetzt?\nBin ich für irgendeine Tat vorgesehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nNun, den Karten nach wirst du, irgendwann in\nnaher Zukunft, zu einem Erlöser.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nWhoa! Ein Erlöser? Ich?! Das ist das Beste\nüberhaupt!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nWie nah ist denn die nahe Zukunft?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nAh, das liegt ein bisschen... im Nebel. Aber hab\nkeine Angst. Ich werde dir sofort sagen, wenn\nsich der Nebel gelichtet hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nAlles klar. Ich werde meine Ohren aufstellen\nund mit meinen Augen beide Richtungen fest\nim Blick haben... genau wie ein Alpaka!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAh, der Alpakas liebende Erlöser höchst-\npersönlich. Du hast es geschafft.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nHmm. Ich weiß, du meinst das auch so, aber\nso, wie du das sagst, lässt es mich so... steif\naussehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nNun, wie wäre es hiermit... Den Karten nach\nist heute der Tag, an dem du zu einem Erlöser\nwirst!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nWirklich? Heute?! Das ist großartig!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nAlso, äh... Was soll ich tun?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nLass es regnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nHa, äh...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nLass es regnen... So wie echter Regen?\nAus dem Himmel? Wie mache ich das denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nDas... ist mir nicht bekannt. Ich bin kein\nErlöser. Du bist das.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nOh, nun komm schon! Man kann es doch nicht\neinfach regnen lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nSieh mal, wenn du ein legendärer Erlöser bist,\ndann solltest du dazu in der Lage sein. So\nsagen es meine Karten.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nHui. Die Karten glauben so sehr an mich?\nIch darf sie nicht enttäuschen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nAlso gut. Kein Problem. Ich bin ein legendärer\nErlöser. Ich besitze also bereits alles, was ich\nzum Regenmachen benötige.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nPuuuuh.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nEgen-re... Egen-re... Egen-re...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nAaaha.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nEgen-re, all-fa inab-hi un-nu... itte-bi.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nDiesen... ähm... Spruch habe ich bisher noch nie\ngehört.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nAlpaka! Ihr Paka! Geliebte Paka...\nEs möge regnen, regnen, reeeeegnen!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nWhoaaaaaaaaa, Regen!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nJunge, Junge.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nWie war das? Regnet es schon?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNicht den kleinsten Tropfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アンバー\nOh, komm schon!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nIch vermute... die Vorhersage war falsch. Tut\nmir leid, ich dachte, ich hätte es richtig gelesen.\x0E\x04\x00\x00
