MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHallo, Nel. Ich würde gerne kurz mit dir\nsprechen, wenn du Zeit hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nSicher. Auch ich wollte mit dir gerne ein paar\nWorte wechseln.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Und Anspannung ist fehl am Platze. Sprich frei\nheraus mit mir, wann immer du magst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nDanke. Ich wollte fragen... Bist du wirklich\nPapas-- ich meine, Sombrons Tochter?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Das frage ich mich schon, seit ich gehört habe,\ndass du ein Dämonendrache bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nDas bin ich. Und in meiner Welt gab es ein\nweiteres seiner Kinder, welches den Namen\nVeyle trug.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Laut Mauvier war sie sehr streng gewesen, aber\nauch sehr gütig.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAlso gab es eine andere Version von mir in\ndeiner Welt. Welch seltsames Gefühl.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04エル\nNun, MEIN Gefühl sagt mir, dass ich dem\nSchicksal für diese Gelegenheit eines Gesprächs\nzwischen uns dankbar bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nBis auf eine Ausnahme sind all meine\nGeschwister fort... Ich hätte daher niemals\ngedacht, eine weitere Schwester zu finden.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nDu betrachtest mich als Schwester.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nJa sicher. Du magst aus einer anderen Welt\nstammen, aber trotzdem bist du Papas Tochter,\ngenau wie ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nUnd Freundschaft allein genügt dir nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nWillst du... gar nicht meine Schwester sein?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nMein Herz mag über deine Worte erfreut sein,\ndoch mein Verstand ist nicht bereit, sie zu\nakzeptieren.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Mein Sombron ist nicht dein Papa. Und Rafal\nwar lange Zeit mein einziges Geschwister.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nDu hast recht. Ich habe dich damit ziemlich\nüberrumpelt, nicht wahr?\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Entschuldige, dass ich so aufgeregt war.\nVergessen wir das Ganze, und sprechen zu\neinem anderen Zeitpunkt noch einmal darüber.\x0E\x04\x00\x00
