MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIch habe Euch etwas zu essen besorgt,\nMilady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nAaah! Zephia...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nNein. Du bist Zelestia, richtig? Tut mir leid.\nVergiss einfach, was ich gesagt habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nGeht es Euch gut? Es sieht so aus, als würdet\nIhr schwitzen.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Gestattet mir, Euren Schweiß wegzutupfen.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Nur ein kurzer Handgriff...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAch, nein! Ist schon gut. Das schaffe ich selbst!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nNicht doch! Das bereit mir nicht die geringste\nMühe. Ich kümmere mich doch gerne um Euch.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ich könnte Euch auch frisieren! Ihr habt so\nschönes Haar. Mit einer Hochsteckfrisur würde\nes ganz sicher bezaubernd aussehen.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Oh, ich weiß! Ich könnte es Euch auch flechten!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nD-Danke...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nHmmmhmmmhmmm...\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Ähm... Wie flicht man noch gleich Haare?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, jetzt fällt es mir wieder ein! Würde ich mir\nselbst die Haare flechten, dann würde ich eine\nHaarsträhne so über die andere legen, und...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nAu, au, au! Das tut weh, wenn du so fest ziehst!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nBitte verzeiht! Oje, jetzt sind die Haare\nverknotet. Ähm, wie soll ich nun, äh...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nDu meine Güte... Sie sind wirklich komplett\nverknotet. Aber mach dir keine Sorgen, ich\nwerde mich später darum kümmern.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nSchluchz! Es tut mir wirklich sehr leid. Ich sollte\nlieber gehen, bevor ich alles nur noch schlimmer\nmache.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Aaah... Beinahe hätte ich Euer Essen vergessen.\x0E\x04\x00\x00
