MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nYunaka, ich habe ein Gerücht vernommen,\nnachdem du gut im Imitieren anderer seist.\nIst das wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nSuperduper! Ich mache das von Zeit zu Zeit,\nzum Spaß.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nWollt Ihr mal etwas sehen? Dann mal los.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\n„Ich bin Emblem Corrin. Ich werde im\nKampf alles geben.“\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nOder wie wäre es mit...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n„Ich bin Ivy, Kronprinzessin von Elusia.“\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nSo etwas eben.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nEndlich habe ich dich gefunden.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nIhr habt gesucht?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nYunaka, bitte, du musst mit mir auf die Bühne.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nMit „Bühne“ meint Ihr... das, auf dem man vor\nLeuten steht und singt und tanzt?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nGenau das.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nIch habe die Choreografie für ein Bühnenstück\ngeschrieben und benötige nun auch einen\nDarsteller.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nAh! Nee, nee! Das kann ich nicht! Was Ihr\nda beschreibt, ist ganz unmöglich für mich!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nIch werde dir dabei helfen. Ich schwöre, dass\ndas keine schlechte Erfahrung für dich sein\nwird.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nBitte, Yunaka. Ich kann die Aufführung ohne\ndich nicht umsetzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nIhr klingt so sicher...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nWenn Ihr das wirklich so seht, dann kann ich\nes wohl mal versuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nIch danke dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ユナカ\nAber vergesst nicht, sollte sich herausstellen,\ndass ich fürchterlich darin bin, dass ich Euch\ngewarnt hatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08セアダス\nIch verspreche dir, es wird keine Vorwürfe\ngeben... Nur Dankbarkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08セアダス\nIch weiß, was ich soeben gesehen habe.\nEine talentierte zukünftige Darstellerin.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nBitte, finde es in deinem Herzen...\nLass mich für immer an deiner Seite tanzen...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nBitte, haltet mich nicht zurück. Dies würde nur\nden Schmerz unseres Abschieds verstärken.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nMeine Augen sind geschlossen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nMeine Hand ist hier. Vertraust du mir, dann\nnimm sie... und lass sie niemals wieder los.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nWenn Ihr Euch sicher seid, dass es dies ist,\nwas Ihr wollt... So werde ich an Euch glauben.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nSo lange wir zusammen sind, von nun an bis\nzum Ende...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nDeine Darstellung... die Nuancen und die\nEhrlichkeit... Ich hatte recht. Du hast Talent.\nMehr als ich ahnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nAaah, ich bin mir da nicht so sicher. Ich habe\nwirklich keine Erfahrung im Schauspielern. Das\nist alles so neu für mich!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nYunaka, deine Imitationen sind so brillant...\nweil du eine brillante Darstellerin bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nUnd diese Aufführung wird unvergesslich\nbleiben, weil du eine unvergessliche Haupt-\ndarstellerin sein wirst.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nIch spiele die Hauptrolle?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nNun, ich hatte zuerst daran gedacht, selbst die\nHauptrolle zu übernehmen. Aber nun weiß ich\nes besser. Die Rolle ist wie für dich gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nWir müssen noch den Tanz üben, aber ich bin\nüberzeugt davon, dass du das schaffen wirst,\nYunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nIn solch schweren Zeiten wie diesen, ist es nicht\nleicht, eine Aufführung vorzubereiten. Tanzen.\nLachen. Es fühlt sich falsch an.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nAber gerade weil die Zeiten schwer sind, muss\nich es tun. Um das Publikum daran zu erinnern,\nwie sich Freude anfühlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nIch möchte, dass die Aufführung ein Erfolg\nwird. Zum Wohle aller. Wirst du mir helfen?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nIch verstehe Eure Gefühle. Und ich respektiere\nsie, ehrlich. In Ordnung. Ich werde helfen, so gut\nich kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nIch danke dir. Ohne dich wäre es nicht möglich,\nYunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nZusammen können wir dies zu einer der\ngroßartigsten Vorstellungen machen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nYunaka... Was ist denn? Wo ist denn all deine\nFröhlichkeit geblieben?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nIch kann das nicht.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nIch kann mich nicht vor das Publikum stellen,\ndas ist zu viel für mich. Ich muss passen!\nTut mir leid!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nLetztes Mal, als wir uns sahen, warst du doch\nganz aufgeregt vor Freude, auf der Bühne zu\nstehen. Was ist denn passiert?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nAll die netten Dinge, die Ihr gesagt habt, und\ndann habt Ihr mir die Hauptrolle gegeben... Das\nwar alles sehr schmeichelhaft.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nAber niemals zuvor waren so viele von mir\nabhängig. Was, wenn ich nun eine Enttäuschung\nbin?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nSie sind hier, um sich zu amüsieren. Werden sie\ndas wirklich können, mit jemanden wie mir auf\nder Bühne?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nYunaka, hast du das Spielen und Tanzen\nwährend unserer Proben nicht genossen?\nHat das Darstellen Spaß gemacht?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nNatürlich hat es das.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nNun, wenn du es vor dem Publikum ebenso\nempfindest, dann werden auch die Zuschauer\nihre Freude haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nWenn du dir dabei selbst nicht traust, kannst\ndu dann nicht wenigstens mir vertrauen?\x0E\x04\x00\x00
