MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHallo, Jean. Du bist ein angehender... Arzt...\nnicht wahr? Würdest du wohl für einen Moment\nhierherkommen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nHm? Ja, ich lerne, damit ich Arzt werden\nkann. Wieso?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDu scheinst dich unbehaglich zu fühlen.\nHabe ich dir einen... Schrecken... eingejagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn es so ist, bitte ich um Entschuldigung.\nDas Letzte, was ich mir wünschen würde,\nwäre... Angst auszulösen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nSoll ich noch einmal anfangen und dich erneut\nbegrüßen? Würde es... helfen... wenn ich mich\nhinsetzte?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nÄhm, nein, geht schon.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nAlso gut. Dann komm doch bitte für einen\nMoment... her. Ich möchte deine Meinung\nwissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nMeine Meinung über was denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nÜber diese... Medizin... die ich hergestellt habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nSieh hier. Ich nenne es... Azur-Elixier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nAzur-Elixier? Was macht das denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nEs beseitigt das schmerzhafte Pochen im\nSchädel. Es gewährt die... Ruhe... eines\nazurfarbenen Himmels.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nOh... Dann ist das 'n Mittel gegen Kopfweh.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nIn der Tat. Und dies ist die... Purpur-Tinktur.\nMan trägt sie auf, um den roten Zorn verletzter\nHaut zu beruhigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nMit anderen Worten: ein Balsam.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nAzur-Elixier und Purpur-Tinktur, hm? Das\nhört sich recht angeberisch an.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte? Ich habe dich nicht... gehört.\x0E\x04\x00\x00
