MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIst das etwa... Nein, das kann nicht sein.\nUnd doch, diese Ähnlichkeit...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nWas ist los, Corrin?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06カムイ\nDies hier sieht dem Ort ähnlich, an dem sich\nmein Schicksal geteilt hatte.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06カムイ\nAn jenem Tage hatte ich drei Möglichkeiten.\nMeine Entscheidung führte dazu, dass ich zwei\nmeiner möglichen Schicksale abgelehnt habe.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nWas meinst du damit?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06カムイ\nIn meiner Welt gibt es zwei verfeindete Reiche,\nHoshido und Nohr.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06カムイ\nIch wurde in Hoshido geboren, bin jedoch in\nNohr aufgewachsen.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nIn einem Konflikt Verbindungen zu beiden\nSeiten zu haben... Das klingt nach einem harten\nLeben.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06カムイ\nIn der Tat. Hier trafen Hoshido und Nohr\naufeinander, und ich musste mich entscheiden,\nwelche Seite ich unterstützen sollte.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06カムイ\nIch hatte sowohl in Hoshido als auch in Nohr\nFamilie und Freunde. Ich wollte keinen von\nihnen im Stich lassen.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06カムイ\nDoch so schwer es auch war – ich musste eine\nEntscheidung treffen.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06カムイ\nHoshido oder Nohr? Oder keines von beiden,\num ganz allein zu kämpfen? Es gab keine\noffensichtliche Antwort.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nIch weiß nicht, wie ich eine solch große\nEntscheidung getroffen hätte.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nDoch es ist möglich, dass eine solche noch\nan irgendeinem Punkt unserer Reise auf mich\nwartet.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06カムイ\nDu hast bereits entschieden, den Dämonen-\ndrachen zu bekämpfen und die Welt zu retten.\nFür mich ist das eine große Entscheidung.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06カムイ\nNun lass uns sehen, ob deine Entscheidung\nangemessen war, \x0E\x06\x03\x00. Tritt mir\nim Kampf entgegen.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06カムイ\nVon dem Ergebnis soll meine nächste Entschei-\ndung abhängen... Sicherlich werden wir festere\nBande knüpfen.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Die Pfade, die jeder von uns\ngewählt hat...\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08リュール\nIch bin gespannt, herauszufinden, was jenseits\ndes Punktes auf uns wartet, an dem sich unsere\nSchicksale vereinen.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x03\x02\x08\x06カムイ\nBist du bereit? Dann lass uns beginnen.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nCorrin kann das Gelände verändern. Ich darf\nmich von ihren Handlungen nicht überraschen\nlassen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nIch spüre eine Drachenmacht unter der Erde.\nEs ist... eine Drachenader. Die werde ich zu\nmeinem Vorteil nutzen.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x02\x08\x06カムイ\n\x0E\x05\x01\x14\x06カムイ\nRelax\nAber mach dir keine Sorgen. Ich bin sicher, dass\ndu das verkraftest!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x16\x06カムイ\x0CStatus\n\x0E\x03\x02\x08\x06カムイ\nIch erinnere mich noch gut daran, wie es sich\nanfühlte, an jenem Tag hier zu stehen...\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nHier hat sich dein Schicksal geteilt, nicht wahr?\nIch kann verstehen, was du durchgemacht\nhaben musst.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nKämpfe nicht halbherzig, ohne Willen. Versuche\nernsthaft, mich zu töten.\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nWie du sagst, Corrin! Ich habe meinen Pfad\ngewählt und werde ihm folgen, so weit er mich\nführen mag!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x18\x08セアダス\x0CStrike\n\x0E\x03\x02\x0A\x08セアダス\nIhr habt mir das Leben gerettet – ich hätte nie\ngedacht, dass wir einmal gegeneinander kämp-\nfen würden. Die Welt ist voller Überraschungen.\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06カムイ\x02b\n\x0E\x05\x01\x1A\x06カムイ\x10Surprise\n\x0E\x03\x02\x08\x06カムイ\nHat der Wahrsager das etwa nicht vorherge-\nsehen? Na, so was aber auch.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nSpottet so viel Ihr wollt. Doch das Ergebnis des\nKampfes im Voraus zu wissen, wäre langweilig.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x06カムイ\nSmile\n\x0E\x03\x02\x08\x06カムイ\nDie Zukunft ist nicht in Stein gemeißelt oder\ngeplant. Ich kontrolliere mein Schicksal, ebenso\nwie Ihr das Eure!\x0E\x04\x00\x00
