MID_TUT_BMAP_EVIL_RULE_TITLE	Einsätze in der Dämonenwelt
MID_TUT_BMAP_EVIL_RULE_0	In Schlachten in der Dämonenwelt haben deine\nVerbündeten vorbestimmte Klassen und Level.
MID_TUT_BMAP_EVIL_RULE_1	Die Items in ihrem Inventar sind ebenfalls\nvorgegeben. Du kannst sie aber wie gewohnt\nzwischen den Einheiten austauschen.
MID_TUT_BMAP_EVIL_RULE_2	Verbündete, die in der Schlacht fallen, kehren\nim Anschluss wieder zu dir zurück, unabhängig\nder von dir gewählten Schwierigkeit.
MID_TUT_BMAP_EVIL_GUEST_TITLE	Gast-Verbündete
MID_TUT_BMAP_EVIL_GUEST_0	In der Dämonenwelt begegnen dir einzigartige\nVerbündete, die dir in Schlachten als\nsogenannte Gast-Verbündete zur Seite stehen.
MID_TUT_BMAP_EVIL_GUEST_1	Nel ist eine mächtige Dracheneinheit. Nil gilt an\nder Seite von Emblemen als fähiger Unterstützer,\nist an vorderster Front jedoch im Nachteil.
MID_TUT_BMAP_EVIL_GUEST_2	Fallen Nel oder Nil im Kampf, gilt die Schlacht\nals verloren. Setze sie also mit Bedacht ein.
MID_TUT_BMAP_EVIL_FANG_CURSE_TITLE	Verfluchte Reißzähne
MID_TUT_BMAP_EVIL_FANG_CURSE_0	Der Biss eines Verzerrten Wolfs belegt das\nOpfer des Angriffs mit dem Statuseffekt\n„Verfluchte Reißzähne“.
MID_TUT_BMAP_EVIL_FANG_CURSE_1	Jeder Angriff mit „Verfluchte Reißzähne“\nreduziert die maximalen KP der betroffenen\nEinheit um 5.
MID_TUT_BMAP_EVIL_FANG_CURSE_2	Dieser Effekt addiert sich mit jedem Treffer und\nhält für den Rest der Schlacht an – es sei denn,\nman entfernt ihn mit einem Erneuerungsstab.
MID_TUT_BMAP_EVIL_MELEE_TITLE	Jeder gegen jeden
MID_TUT_BMAP_EVIL_MELEE_0	Einige Einheiten in dieser Schlacht sind gelb\nmarkiert.
MID_TUT_BMAP_EVIL_MELEE_1	Hierbei handelt es sich um dir feindlich\ngesonnene Einheiten, die aber auch rot\nmarkierte Gegner angreifen werden.
MID_TUT_BMAP_EVIL_MELEE_2	Nutze dies zu deinem Vorteil und lasse die\nbeiden Gruppen sich gegenseitig dezimieren.
MID_TUT_BMAP_EVIL_POW_TITLE	\x0E\x0A\x00*\x14Gefangener\x12Gefangene \x0E\x06\x03\x00
MID_TUT_BMAP_EVIL_POW_0	\x0E\x06\x03\x00 verfügt in \x0E\x0A\x00\x1A\x0Cseinem\nihrem Gefängnis\nüber keinerlei Waffen und kann sich nicht zur\nWehr setzen.
MID_TUT_BMAP_EVIL_POW_1	Halte \x0E\x0A\x00\x10\x06ihn\x06sie bei Gesundheit, um eine Niederlage\nzu verhindern!
MID_TUT_BMAP_EVIL_SUMMON_TITLE	Wirbel beschwören
