MID_WU_C_1_IN_#001	Hallo!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Habt Ihr Euch gut ausgeruht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Das freut mich zu hören.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Wir haben heute herrliches Wetter,\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	also verschlaft es nicht!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Auf geht's! Bringen wir\nEuren Kreislauf in Schwung!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Guten Morgen!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Kommt schon, öffnet die Augen.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Bringen wir es hinter uns, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nIch habe jede Menge zu tun.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Gut, Ihr seid wach. Also, sind wir hier fertig?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Wenn Ihr sonst nichts braucht,\ngehe ich jetzt laufen.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Da ich sowieso warte,\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	fange ich mit meinem Training an.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Hyah! Hnng! Hyah! Hnng!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Ah... Oh, hallo!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Ich habe nicht mitgekriegt,\ndass Ihr schon wach seid.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Schöner Morgen, oder?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Ich bin hier, um Euch aufzuwecken\nund auf Trab zu bringen.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ihr seid sofort aufgewacht.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Habt Ihr einen leichten Schlaf, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Wie macht man das am besten?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Ich würde Euch ja anstupsen, aber...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Das scheint mir unhöflich. Ich hab's. Ich stupse\nstattdessen den Altar an, auf dem Ihr schlaft.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Nein! Nicht gut!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Warum ist dieses Ding so schwer, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Für nächstes Mal sollte ich mehr trainieren.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Puh! Das waren hundert Runden\num das Somniel!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ihr seid gleich aufgewacht.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Heißt das, Ihr wollt auch mitlaufen?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Ich würde noch ein paar Runden schaffen.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Wisst Ihr,\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	ich habe jetzt noch mehr\nLeidenschaft für das Laufen.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Ich habe all die lästigen Zweifel abgestreift.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Seid Ihr erschöpft?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Es gibt kein besseres Gegenmittel als Laufen.\nNa, was meint Ihr?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Also gut... Ich werde es schön leise machen.\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Ganz ruhig...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Ihr seid schon wach?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Ich war mir sicher,\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	dass ich auf leiseren Sohlen unterwegs bin!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Ich habe Euch meine Lieblingsblume\naus Firene mitgebracht.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Auf der ganzen Welt gibt es\nkeinen schöneren Duft.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Dazu lässt es sich bestimmt gut aufwachen.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Wie hat Euch der Duft von Firene gefallen?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Irgendwann zeige ich Euch ein\nganzes Feld dieser Schönheiten.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Ich habe Euch Frühstück gemacht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Essen scheint der Schlüssel\nzum schnellen Aufwachen zu sein.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Also, lasst es Euch schmecken!\nIch habe für reichlich Proteine gesorgt.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Habt Ihr den Muskelbalsam verwendet?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Es gibt ihn mit verschiedenen Duftnoten!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Pfirsich, Keks und alle möglichen Kräuter.\nEs gibt sogar einen, der nach Tee riecht.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Ich finde, Ihr solltet\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	das scharfe Chiliaroma probieren.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Das bringt Euch sofort in Schwung\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	und ist morgens die perfekte Wahl.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Hey! Eure Partnerin ist da, um Euch zu wecken!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Oooch, Ihr seid schon wach? Schade.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Dabei hatte ich so einen netten Plan.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Hahaha, natürlich kann ich nett sein!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Ich wollte Euch die wunderschönen\nBlumenfelder von Firene zeigen,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	aber es bleibt nicht viel Zeit für Ausflüge,\nwenn man sich in einem Krieg befindet.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Ich könnte Blumen hierher liefern lassen,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	aber selbst wenn ich das ganze Zimmer damit\nfüllen würde, wäre das nicht das Gleiche.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Aber eines Tages\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	sehen wir uns gemeinsam\ndiese Felder an. Versprochen.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	In der Zwischenzeit trockne ich\neine meiner Lieblingsblumen für Euch.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Vielleicht verpasse ich ihr einen Anstecker,\ndamit Ihr sie tragen könnt. Das wäre schön.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Zeit für unseren morgendlichen Lauf!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Wacht auf, Ihr Schlafmütze.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Gut, Ihr seid wach. Seid Ihr bereit?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Machen wir zuerst Dehnübungen\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	und laufen ein paar Aufwärmrunden.\nDann erhöhen wir das Tempo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Ich bin ein paar Runden allein gelaufen,\nbevor ich herkam,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	so wie Ihr das für eine Weile gemacht habt.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Allein zu laufen ist an sich nicht verkehrt, aber\ninzwischen fühlt es sich ohne Euch falsch an.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Ich bin einfach so viel stärker, wenn ich\n\x0E\x0A\x00n2meinen Freund und Partner8meine Freundin und Partnerin bei mir habe.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Guten Morgen! Bereit für etwas Bewegung?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Die Welt ist in Ordnung,\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	solange wir Seite an Seite laufen.\x0E\x04\x00\x00
