MID_WU_C_1_IN_#001	Huuhuu. Ich bin hier.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Oh, Ihr seid wach!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Och, Ihr habt mich bestimmt bemerkt!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	In tiefem Schlummer, wie?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Dieses schläfrige Gesicht kenne ich nur zu gut.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Wacht lieber bald auf, sonst...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	wird gekitzelt!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin ist waaach!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Hahaha, habt Ihr ein Déjà-vu?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Guten Morgen!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Hey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ups, Ihr schlaft.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Och, Ihr seid aufgewacht.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Ihr seht einfach so entspannt aus,\nwenn Ihr schlaft.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Ihr müsst müde sein.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Ich wünschte, ich könnte Euch schlafen lassen.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Aber das geht nicht.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Erwachet, oh \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Das war nur Spaß. Ich bin nicht gut darin,\nförmlich zu klingen.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	\x0E\x0A\x00\x10\x06Der\x06Die Göttliche sieht so würdevoll aus!\nAh! Zügle deine Begeisterung, Framme.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Tut mir leid! Ich wollte eigentlich\nleise hereinkommen.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Bei meiner Ehre als Eure größte Verehrerin\nverspreche ich Euch, ab jetzt leise zu sein.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Entschuldigung, dass ich so einen Lärm\nveranstaltet habe, als Ihr trainiert habt.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Ich wollte Euch nicht ablenken.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ich bin so eine große Verehrerin von Euch,\nich kann einfach nicht anders.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Was?! Ihr seid wach?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ähem. Guten Morgen!\nHier ist nichts Lautes passiert.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Uff. Leise zu sein ist gar nicht so einfach.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Ratet mal, wer heute schon kräftig geputzt hat!\nOh, ups! \x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin schläft...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ah! Ich habe Euch geweckt! Entschuldigung.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Ich wollte Euch nur wissen lassen, dass das\nSomniel nun wieder blitzt und blinkt!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Ich sollte warten, bis Ihr wach seid...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Ich könnte auch hier drinnen ein bisschen\nsaubermachen.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Den Müll rausbringen, einiges abstauben...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Oh nein! Die Vase!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Entschuldigung!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Ich kann sie reparieren. Ich schwöre es.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Wenigstens ist der Rest des Somniel jetzt\nsauber und ordentlich.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Keine Bange! Die Vorsitzende des\nVereins der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttinverehrer ist da!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Ihr seid wach! Guten Morgen!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Ihr seid so gut im Aufwachen!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	\x0E\x0A\x00T&Der beste Aufwacher*Die beste Aufwacherin in ganz Elyos!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Ich bin so glücklich, dass Ihr wieder\nvon mir angefeuert werden wollt.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Ab jetzt werde ich das mit Leib und Seele tun.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Ich sage „Wacht“ und Ihr sagt „auf“! Wacht! Auf!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Hey! Gut aufgewacht!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Eure größte Verehrerin ist begeistert!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Ich werde Euch weiter anfeuern!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Guten Morgen...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	Schlaft Ihr? Wirklich?\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Buh! Ihr seid aufgewacht!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Ich wollte Euch einen niedlichen Streich spielen.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Hehe, ich meine, vergesst,\nwas ich gesagt habe.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Hmm, Zeit für einen klitzekleinen Scherz,\num diese Schlafmütze aufzuwecken.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Wenn ich die Nase \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin\nhiermit kitzle...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Huch?! Es funktioniert nicht. Seltsam.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ihr habt nicht geniest?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Normalerweise passiert das,\nwenn man jemandem die Nase...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Ha-- Ha-- Hatschiii!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Ich bin's, Framme. Ich bin gekommen,\num Euch zu wecken.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Oh, Ihr seid schon wach.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Ihr habt auf mich gewartet, stimmt's?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Hahaha, jetzt wird nicht wieder geschlafen!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es wird langsam Zeit,\ndass Ihr aufwacht. Wirklich.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Ich feuere Euch an. Und zwar lauthals!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Hihi!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Ach – egal.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Schlaft ruhig weiter.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Ich decke Euch zu und lasse Euch schlummern.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Guten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Ich weiß, es ist schwer,\ndie müden Augen offenzuhalten.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Aber ich verspreche Euch,\ndass ein wunderbarer Tag auf uns wartet.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Ich dachte mir schon, dass Ihr hier seid.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Hahaha, ich kenne Euch einfach zu gut.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Es ist Euch gar nicht peinlich, dass ich Euch\nbeim Schlafen erwischt habe?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Och...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Ich bin Euer größter Fan. Ihr müsst Euch\nniemals um irgendetwas Sorgen machen.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	\x0E\x0A\x00\x0E\x04Er\x06Sie schläft tief und fest.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Ihr seht genauso aus wie damals,\nals ich Euch bewacht habe.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Ich möchte Euch etwas sagen.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Die ganze Zeit, als Ihr geschlafen habt...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Ich glaube, tief in mir wusste ich,\ndass wir für immer Verbündete sein würden.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Hahaha, guten Morgen!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Ich dachte, ich lasse Euch lieber schlafen.\nAber nein.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Eure oberste Verbündete\nwartet auf Euch!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	Raus aus den Federn!\x0E\x04\x00\x00
