MID_WU_C_1_IN_#001	Verzeiht die Störung.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ihr seid schnell auf den Beinen.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Sehr nützlich bei Angriffen.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Ich überlasse Euch dann Euch selbst.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Es ist mir ein wenig unangenehm,\neinfach so einzutreten...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Aber das ist meine Pflicht.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Heute müsst Ihr mit mir Vorlieb nehmen.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	War Euch mein Weckruf zu förmlich?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Ich bitte um Entschuldigung.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	„Die Ritterin näherte sich dem Altar...“\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	„Und alsbald weckte der Klang ihrer Schritte\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin aus \x0E\x0A\x00\x1A\x0Cseinem\nihrem Schlaf.“\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Guten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	„Rings um die ruhende Gestalt auf dem Altar\nschien die Zeit stillzustehen...“\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	„Dann verursachte die Ritterin ohne Vorwarnung\nein lautes Scheppern und zerfetzte die Stille...“\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Hahaha! Nicht, dass ich das je tun würde.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	„Die Ritterin erhob die Stimme“\x0E\x04\x00\x00
