MID_WU_C_1_IN_#001	Ganz sachte...\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	Aber wie sachte muss ich genau sein?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Ihr habt meine leisesten Schritte bemerkt!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Euer Gehör ist exzellent, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	Dürfte ich einen Blick auf Eure Ohren werfen?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Ob laufendes Wasser hilft?\nNein, anscheinend nicht.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Auf Holz klopfen? Oder Holz verbrennen?\nImmer noch nicht?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Die Flammen breiten sich aus.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	Meine Güte!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Guten Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Nein, wir werden nicht angegriffen.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Verzeihung... Ich werde das sogleich\nmit meiner Magie in Ordnung bringen.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Zu früh für Experimente, sagen sie? Lächerlich!\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Oh, was für ein Ort!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Ich kam nur zufällig hier vorbei.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Ich plane gewiss keinerlei Experimente.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Ich werde wieder gehen.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Hier kann ich weitermachen. Also dann...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Essig, Kerzenwachs, ein bisschen Feuer...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ah! Zu viel Feuer!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Brecht das Experiment ab! Löscht es! Löscht es!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Es tut mir furchtbar leid...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Ist dies Euer Schlafgemach?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Ich fürchte, das war mir nicht bewusst.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Bitte vergebt mir.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Seht nur, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	Es ist mir gelungen, meinen eigenen\nEmblem-Ring zu erschaffen!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ich habe Eure Aufmerksamkeit geweckt!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Leider habe ich ihn in meiner\nAufregung zerquetscht.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Wenigstens wird er gut schmecken.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Er war nämlich aus Süßigkeiten.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Anscheinend konnte ich Euer Interesse nicht\nwecken. Ich war mir sicher, es würde klappen.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Nun gut. Wenn Euch dieser Ring nicht\ninteressiert, dann muss ich ihn wohl aufessen.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Also dann, runter damit!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Mmh... mmmh... mmmmh!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Hahaha, seid Ihr überrascht?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Das waren nur Süßigkeiten.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Aber wenn sie wie Ringe geformt sind, kann\nman sie an sich tragen, bis man Hunger hat!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	Wollt Ihr mal probieren?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Ich bin gekommen,\num mich dafür zu bedanken,\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	dass Ihr Euch mit mir abgebt.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Habe ich Euch zu früh geweckt? Verzeiht.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Oh? Ihr seid schnell aufgewacht,\num Eure Zeit effizienter zu nutzen?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Hahaha! Das ist \x0E\x0A\x008\x18der Wrymgott\x1Cdie Wyrmgöttin,\nwie ich \x0E\x0A\x00\x10\x06ihn\x06sie kennengelernt habe.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Unser Gespräch hat mir gut gefallen.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Ich weiß Eure Intelligenz und Euer\nneugieriges Wesen sehr zu schätzen.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Oh, fast hätte ich es vergessen!\nIch wollte Euch diese Flasche mit-- Oh nein.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Jetzt ist es passiert!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Das Zeug ist ziemlich explosiv!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Ihr seid doch nicht etwa angesengt?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Vander wäre sehr wütend auf mich,\nwenn das der Fall wäre.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Ich habe eine weitere\ngeniale Erfindung ersonnen.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Was haltet Ihr davon, Euren Tag mit einer\nganz besonderen Frucht zu beginnen?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Beachtet die knusprige Konsistenz,\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	die ich mithilfe von Donnermagie\nerschaffen habe.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Ich habe Donnermagie verwendet,\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	um dieses Getränk zu verfeinern.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Seitdem sind die Blasen verschwunden,\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	aber ich kann sie ganz leicht\nwiederherstellen. Donner!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	Oh nein! Zu viel!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Seid Ihr wach, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Ich wollte Euch ein Getränk anbieten,\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	aber der letzte Donnerschlag\nhat es in Schaum verwandelt.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	Möchtet Ihr etwas Schaum?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Ich spüre einen Anflug von Schuld, wenn ich\nherkomme, um Euch zu wecken, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Aha. Ihr seid schon wach.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Guten Morgen.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Ihr schlaft so friedlich.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Das fühlt sich an wie ein Verbrechen.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Auch wenn ich meine Pflicht vernachlässige –\nich kann diesen friedlichen Schlaf nicht stören!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Ich scheine Euch versehentlich\ngeweckt zu haben.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Es tut mir furchtbar leid. Ich weiß,\ndass junge Leute ihren Schlaf brauchen.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Oh, stimmt ja...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	Ich hatte vergessen, dass ihr\nüber tausend Jahre alt seid!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Es ist Morgen! Zeit, Euch bereit zu machen.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Seht Euch an. Zerknitterte Kleidung,\nzerzaustes Haar...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Hehehe, entschuldigt. Das steht mir nicht zu.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Es ist einfach zu verlockend,\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	Euch wie mein Kind zu behandeln.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Das Aufstehen fällt Euch\nimmer noch schwer, wie ich sehe.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Wenn ich herkomme, um Euch zu wecken,\nerinnert mich das daran,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	wie ich dasselbe vor vielen Jahren\nfür meine Familie getan habe.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Aber meine Kinder brauchen mich nicht mehr,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	also erlaubt mir, stattdessen Euch zu dienen.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Bis dieser Krieg zu Ende ist, oder bis ich zu\nmeiner lieben verstorbenen Frau zurückkehre,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	werde ich mich um Euch kümmern.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Ihr seid wach.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Machen wir Euch bereit.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Hm? Natürlich macht mir das nichts aus.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Schließlich habt Ihr Euch den alten Lindon\nals Partner ausgesucht.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	Ich bin für Euch da.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Hehe. Ihr schlaft immer noch? Dann werde ich\ndie Zeit für ein kleines Experiment nutzen.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Hahaha! Hab ich Euch!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Anscheinend weiß ich genau, was ich\nsagen muss, damit Ihr wach werdet.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Ich glaube, langsam verstehe ich\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	die Art dieser Partnerschaft.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Wenn ich abwechselnd Donner und Feuer\nauf dieses Metall anwende,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	solle es schnell Form annehmen!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Seht her – ein zweifellos brauchbarer Armreif.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Zu makelbehaftet, um ihn mit\ndem Paktring zu vergleichen,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	aber dennoch ein hübsches Geschenk.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Etwas, das Euch an mich erinnern wird,\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	wenn ich längst nicht mehr da bin.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Guten Morgen.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Ich bin bereit, Euch mit allem zu helfen,\nwas Ihr braucht, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Ihr sollt wissen, dass ich\nimmer dankbar sein werde,\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	dass Ihr meine Hilfe benötigt.\x0E\x04\x00\x00
