MID_WU_C_1_IN_#001	Hier bin ich!
MID_WU_C_1_IN_#002	Melde mich zum Weckdienst!
MID_WU_C_1_SOON_#001	Sehr beeindruckend.
MID_WU_C_1_SOON_#002	Ihr habt meine subtile Präsenz gespürt\nund seid sofort aufgewacht.
MID_WU_C_1_SOON_#003	Hm? Ihr findet, ich sei alles andere\nals subtil gewesen?
MID_WU_C_1_SOON_#004	Also wirklich...
MID_WU_C_1_WAKEUP_#001	Hm-hm! Endlich ist meine Zeit gekommen.
MID_WU_C_1_WAKEUP_#002	Jetzt fühlt es sich wirklich an,\nals würde ich zur Gruppe gehören!
MID_WU_C_1_WAKEUP_#003	Also, dann mal los.
MID_WU_C_1_WAKEUP_#004	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche!
MID_WU_C_1_HELLO_#001	Ihr seid wach!\nDas hat ja wunderbar geklappt.
MID_WU_C_1_HELLO_#002	Und Spaß gemacht!
MID_WU_C_1_HELLO_#003	Wie bitte? Ihr fragt Euch, wer wohl\nals Nächstes zum Weckdienst antritt?
MID_WU_C_2_IN_#001	Eure Anwesenheit wird erwünscht!
MID_WU_C_2_IN_#002	Oh... Ihr ruht noch.
MID_WU_C_2_SOON_#001	Verzeiht mir.
MID_WU_C_2_SOON_#002	Ich hätte Euch nicht so schroff\nwecken dürfen.
MID_WU_C_2_SOON_#003	Ich werde bei meinem nächsten Besuch\nversuchen, mich etwas zu zügeln.
MID_WU_C_2_WAKEUP_#001	Oh-oh. Ich dachte, ihr wärt bereits wach.
MID_WU_C_2_WAKEUP_#002	Ich lege Euch schnell\netwas zum Anziehen bereit.
MID_WU_C_2_WAKEUP_#003	Hier...
MID_WU_C_2_WAKEUP_#004	Oh! Ah!
MID_WU_C_2_HELLO_#001	Oje.
MID_WU_C_2_HELLO_#002	Ich bin auf dem Stoff\num Euer Bett ausgerutscht.
MID_WU_C_2_HELLO_#003	Achtet beim Aufstehen darauf,\nwohin ihr tretet, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.
MID_WU_C_2_HELLO_#004	Hahaha... Haha...
MID_WU_B_1_IN_#001	Ihr müsst sie kosten...
MID_WU_B_1_IN_#002	Diese Suppe!
MID_WU_B_1_IN_#003	Oh, Ihr schlaft ja noch.
MID_WU_B_1_SOON_#001	Ich kam, um diese Knoblauchsuppe\nmit euch zu teilen, aber...
MID_WU_B_1_SOON_#002	vermutlich habt Ihr noch\nkeinen Appetit, hm?
MID_WU_B_1_SOON_#003	Ich komme ein andermal wieder, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.
MID_WU_B_1_WAKEUP_#001	Ich genieße meine Mahlzeiten\ngerne mit Euch, daher...
MID_WU_B_1_WAKEUP_#002	wollte ich diese ebenfalls\nmit Euch teilen.
MID_WU_B_1_WAKEUP_#003	Hahaha, ich sollte mir dafür wohl lieber\neinen anderen Zeitpunkt aussuchen.
MID_WU_B_1_HELLO_#001	Mmm... Mmm...
MID_WU_B_1_HELLO_#002	Oh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!
MID_WU_B_1_HELLO_#003	Ich brachte Euch Suppe,\naber sie roch so gut, und...
MID_WU_B_1_HELLO_#004	Nun...
MID_WU_B_1_HELLO_#005	Ich fürchte, ich habe sie gegessen,\nwährend Ihr geschlafen habt.
MID_WU_B_2_IN_#001	\x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin zu wecken
MID_WU_B_2_IN_#002	ist meine liebste Pflicht.
MID_WU_B_2_SOON_#001	Oh, anscheinend hätte ich heute\ngar nicht kommen brauchen.
MID_WU_B_2_SOON_#002	Ich wecke Euch immer gerne auf.
MID_WU_B_2_SOON_#003	Könntet Ihr Euch nächstes Mal\nnicht einfach schlafend stellen?
MID_WU_B_2_WAKEUP_#001	Also gut. Es ist meine Aufgabe,\nEuch zu wecken.
MID_WU_B_2_WAKEUP_#002	Ich werde versuchen, Euch ein\nsanftes Erwachen zu bescheren.
MID_WU_B_2_WAKEUP_#003	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche? Oooh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\nZeit aufzuwachen.
MID_WU_B_2_HELLO_#001	Guten Morgen.
MID_WU_B_2_HELLO_#002	Hättet Ihr länger zum Aufwachen gebraucht,\nhätte ich Euch etwas vorgesummt.
MID_WU_B_2_HELLO_#003	Oh? Wäre Euch das etwa\nlieber gewesen?
MID_WU_A_1_IN_#001	Bitte verzeiht...
MID_WU_A_1_IN_#002	Ich habe schon wieder vergessen,\nin aller Ruhe eine Mahlzeit zu essen.
MID_WU_A_1_SOON_#001	Das wollte ich Euch nur mitteilen, aber...
MID_WU_A_1_SOON_#002	Ich wusste nicht,\ndass Ihr Euch ausruht.
MID_WU_A_1_SOON_#003	Ich werde erst mal in Ruhe etwas essen\nund komme dann wieder!
MID_WU_A_1_WAKEUP_#001	Ich dachte, wir könnten endlich\neinmal gemeinsam essen.
MID_WU_A_1_WAKEUP_#002	Aber so ist es auch in Ordnung.
MID_WU_A_1_WAKEUP_#003	Euch so friedlich schlummern zu sehen,\nmacht mich ganz...
MID_WU_A_1_WAKEUP_#004	Gääähn...
MID_WU_A_1_HELLO_#001	Zzz... Zzz...
MID_WU_A_1_HELLO_#002	Ah... Oh! Ich bin eingeschlafen!
MID_WU_A_1_HELLO_#003	Was haltet Ihr von einem erfrischenden\nkleinen Spaziergang? Obwohl...
MID_WU_A_1_HELLO_#004	Mir ist, als hätte ich irgendwas vergessen.
MID_WU_A_1_HELLO_#005	Ah! Das bilde ich mir sicher nur ein!
MID_WU_A_2_IN_#001	Es ist immer so herrlich,\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin zu wecken.
MID_WU_A_2_IN_#002	Genau wie in meiner alten Welt.
MID_WU_A_2_SOON_#001	Guten Morgen!
MID_WU_A_2_SOON_#002	Euch aufwachen zu sehen
MID_WU_A_2_SOON_#003	weckt schöne Erinnerungen
MID_WU_A_2_SOON_#004	an \x0E\x0A\x008\x1Cdie Wyrmgöttin\x18den Wyrmgott meiner Welt.
MID_WU_A_2_WAKEUP_#001	In jener Welt,\nals Königin Lumera noch lebte,
MID_WU_A_2_WAKEUP_#002	habe ich Euch oft aufgeweckt.
MID_WU_A_2_WAKEUP_#003	Nachdem Ihr den Thron bestiegen hattet,\ngab es dazu jedoch kaum noch Gelegenheit.
MID_WU_A_2_HELLO_#001	Ihr seid wach.
MID_WU_A_2_HELLO_#002	Wie wundervoll, dass Ihr\nso einen tiefen Schlaf habt.
MID_WU_A_2_HELLO_#003	Würdet Ihr keine\nAufweckerin benötigen,
MID_WU_A_2_HELLO_#004	worauf sollte ich mich\ndann morgens freuen?
MID_WU_S_1_IN_#001	\x0E\x0A\x000\x16Mein Lieber\x16Meine Liebe...
MID_WU_S_1_IN_#002	Ich bin gekommen, Euch zu wecken!
MID_WU_S_1_SOON_#001	Ihr seid sofort aufgewacht.
MID_WU_S_1_SOON_#002	Hahaha!
MID_WU_S_1_SOON_#003	Das freut mich.
MID_WU_S_1_SOON_#004	Ist Familie nicht wunderbar?
MID_WU_S_1_SOON_#005	Ich hoffe, unsere Vertrautheit\nwird ewig bestehen.
MID_WU_S_1_WAKEUP_#001	Hmpf! Keine Reaktion,\nnicht einmal für Eure liebste Gefährtin?
MID_WU_S_1_WAKEUP_#002	Ich bin so einsam.
MID_WU_S_1_WAKEUP_#003	Falls Ihr nicht aufwacht...
MID_WU_S_1_WAKEUP_#004	finde ich einen anderen Drachen,\nmit dem ich Zeit verbringen kann.
MID_WU_S_1_WAKEUP_#005	Nein, das werde ich natürlich nicht.
MID_WU_S_1_WAKEUP_#006	Ich kann mir nicht vorstellen,\njemanden wie Euch zu finden.
MID_WU_S_1_WAKEUP_#007	Wo ich doch unsere gemeinsame Zeit\nso sehr genieße.
MID_WU_S_1_HELLO_#001	War das schön,\nso geweckt zu werden?
MID_WU_S_1_HELLO_#002	Wie bitte? Ihr fühlt Euch glücklich?
MID_WU_S_1_HELLO_#003	Ah, wundervoll!
MID_WU_S_1_HELLO_#004	Es bereitet mir Freude...
MID_WU_S_1_HELLO_#005	Euch zum Lächeln zu bringen.
MID_WU_S_2_IN_#001	Guten Morgen, Schlafmütze.
MID_WU_S_2_IN_#002	Scheint, als müsse ich Euch heute\nerneut beim Aufwachen helfen.
MID_WU_S_2_SOON_#001	Wie lieb von Euch,\nohne viel Mühe aufzuwachen.
MID_WU_S_2_SOON_#002	Aber...
MID_WU_S_2_SOON_#003	Ich hoffe, Euch macht meine kleine\nSchwärmerei für Euch nichts aus.
MID_WU_S_2_SOON_#004	Ihr sollt wissen...
MID_WU_S_2_SOON_#005	dass ich stets für Euch\nda sein werde.
MID_WU_S_2_WAKEUP_#001	Ihr seht im Schlaf so friedlich aus.
MID_WU_S_2_WAKEUP_#002	Ich gehe davon aus,\ndass ich in Zukunft
MID_WU_S_2_WAKEUP_#003	hin und wieder Eure Hilfe\nbenötigen werde und
MID_WU_S_2_WAKEUP_#004	Ihr mir das hoffentlich nachseht.\nImmerhin sind wir Familie.
MID_WU_S_2_WAKEUP_#005	Solch starke Bande,
MID_WU_S_2_WAKEUP_#006	geknüpft zwischen \x0E\x0A\x00@\x1Ceinem Wyrmgott einer Wyrmgöttin\nund einem Magiedrachen.
MID_WU_S_2_WAKEUP_#007	Danke, dass Ihr zu meiner\nwahren Familie wurdet.
MID_WU_S_2_WAKEUP_#008	Ich bin so glücklich,
MID_WU_S_2_WAKEUP_#009	dass Ihr mir den Paktring gabt.
MID_WU_S_2_HELLO_#001	Ah...
MID_WU_S_2_HELLO_#002	Ihr bedeutet mir wirklich viel.
MID_WU_S_2_HELLO_#003	Bitte werdet nicht verlegen.
MID_WU_S_2_HELLO_#004	Wie gerne würde ich euch täglich sagen,\ndass Ihr mir am Herzen liegt, aber...
MID_WU_S_2_HELLO_#005	ich möchte um keinen Preis,\ndass Ihr Euch dabei unwohl fühlt.
