MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x08\x06クラン\nThat's it. Come on, little buddy. You can do it!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nClanne? What are you up to out here?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nAhh!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! I'm terribly sorry. I didn't mean to startle\nyou like that.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nYou had such a serious look. I was just curious.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nIt's, uh, nothing. I-I wasn't doing anything.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh my. Was it something...private?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nシトリニカ\nDon't fret. I didn't see a thing.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nHuh?! No! It's nothing like that!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nI was just...talking to a wildflower.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nWhy were you doing that?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nI found this withered flower out here and felt\nbad for it, so...I propped it back up, watered it...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nAnd, little by little, it started getting better.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nHaha, oh! Well, my goodness.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nI know, I know. It's weird to get this attached to\na single wildflower.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nNot at all. I think you've done a wonderful\nthing here, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nOh? You really think so? Well, uh...thank you.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nWould it be all right with you if I watched over\nthis flower as well?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nYeah! Of course!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\nHaha, this flower must be happy to have found\nsuch a hard-working caretaker.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHello, Clanne. How is our wildflower friend\ndoing today?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nIt's made a full recovery! Looks pretty sturdy.\nI think I'll be able to remove the support soon.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nWhat fantastic news! It's all thanks to your hard\nwork and diligence, you know.\x0E\x04\x00\x00
