MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel, would you like something to drink?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nThat will not be necessary.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nHow about something to eat? I brought\nsome bread.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nI am not hungry.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nI suppose I can eat this later, then. Perhaps you\nshould get some rest.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nZelestia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nWhat is it?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nYou have, of late, been fussing over me a\ngreat deal. Why?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nWell, I, um... I was unable to protect you in a\npast battle.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	I don't want that to happen again, so I decided\nto stay by your side and keep you safe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nThe sentiment is appreciated.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	But our relationship is no longer hierarchical.\nWe now aid the Divine Dragon as equals.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	You served me well in our world. And I consider\nyour duty in that regard fulfilled.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nIf that's how you feel, then I suppose I should\ndo as I please from now on.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nVery good. Then I bid you farewell.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n♪Hm, hm-hm-hm, hmmm...♪\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04エル\nYou are following me.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nI hope you don't mind. This is what it pleases\nme to do. I want to stay by your side.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x06\x04エル\nZelestia. I wonder if you have considered\nforging some...new friendships.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNew friendships? What do you mean?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nI mean creating bonds with additional people,\nthereby broadening your perspective.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, heh... If that's what you want, I'll do my\nbest to follow your orders.\x0E\x04\x00\x00
