MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nThanks for training with me, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo, thank you. It was an honor to spar with\nsomeone of your talents.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Actually, may I say something? Before we\npart ways.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOf course. What is it?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nI just want to say how much I admire you.\nYou're so earnest and optimistic.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Not to mention how graciously you accepted\nthose of us from another world.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	What sets you apart as a leader is not your\nDivine Dragon roots, but your kind heart.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nOh! I appreciate your kindness, but that's quite\na few compliments to throw my way at once.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	For what it's worth, you're incredible too.\nYou're loyal and fearless in battle.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	I'm grateful that you came to our world.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nPlease. It is a knight's role to charge bravely\ninto battle.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	I don't need praise for doing my duty. After all,\nit's not the recognition that matters.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	It's the fact that I am serving my purpose and\nhelping you secure victory.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nThat's very reassuring to hear.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nマデリーン\nNow, I must be off to my next engagement.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	If ever you're short a sparring partner, feel free\nto call on me again.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nOne quick strike and it'll be done with! I just\nneed to get closer... Eh!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMadeline, your weapon's drawn! What's\nthe matter?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Oh, a ladybug! Cute.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nCute? That creature is trespassing in\nthe Somniel!\x0E\x04\x02\x00
MID_RELIANCE_B_#005	I have to eliminate it, or it could rain destruction\non you and all our allies!\x0E\x04\x00\x00
