MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nGriss!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle? You look shocked. Did something\nhappen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, it's nothing, um...Gregory. I'm sorry.\nPlease, don't mind me.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nActually, I'm glad I ran into you. I've been\nwanting to talk to you for a while now.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Instead of standing here, would you prefer to\nsit on that tree stump while we chat?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Uh... I don't have anything to use as a blanket.\nI should have thought ahead.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nIt's fine. We can just talk while standing.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Or you can sit on the stump. I'm fine sitting\non the ground.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nWhat? No. I could never ask you to do that.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Please, take the stump. I'd feel terrible if you\nhad to sit in the dirt because of me.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ヴェイル\nI'm sorry. I didn't mean to be difficult.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nNo, don't apologize! I just...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Wait, you're shaking. Are you OK?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nI'm fine. Seeing you...brings back memories.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nMemories of the me from this world, you mean?\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Judging by your expression, I'm guessing they\naren't good ones.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nI'm sorry, Gregory. I do understand that you\nare a different person.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	It's just that, well...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nIt's OK. You don't need to explain. I'm making\nyou uncomfortable. We can talk another time.\x0E\x04\x02\x00
MID_RELIANCE_C_#020	I'm just grateful I was able to see your face and\nhear your voice. Please, don't worry about it.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	I'll see you around, Lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nHe looks just like Griss...but they couldn't be\nmore different. I should try to be friendlier.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle, I wanted to make up for our last\nencounter. I brought you a gift.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nA gift? Thank you, Gregory. What is it?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nWell, I asked around and was told that you like\nspicy things, so...\x0E\x04\x02\x00
MID_RELIANCE_B_#004	I went into town and got you the spiciest treats\nI could find. Shall we try them together?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nYou really went to all that trouble for me?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nIf it's worth doing something, it's worth doing\nit right. Please, if something looks tasty, dig in!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	He's always so kind. And yet...although I know\nhe isn't Griss, I'm still nervous around him.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nHm? What's wrong? Do you feel awkward\neating alone?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	All right, then. I'll eat something too. This\nbright-red sandwich thing looks pretty good.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nCareful! That one looks extremely spicy.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nHm, not as spicy as I thought! Although, wait...\nOh no. Is this a delayed heat?\x0E\x04\x02\x00
MID_RELIANCE_B_#013	AAAH! H-hot, hot! Aaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh no! I'll get you some water!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\n*cough* I'm fine. Really! *cough* Don't worry\nabout me. Please. Try one of the treats.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nA-are you sure? Well, if you insist...I guess I'll\ntry the same one.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Oh wow, this is delicious! I've never had this\nbefore, but it's just spicy enough.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nSeriously? This isn't too spicy for you? Wow...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	I'm glad I made you smile, at least. There's still\nplenty left. *cough* Please help yourself.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nUm... You're sweating. Are you feeling OK?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nグレゴリー\nThat might have been a bit too spicy. Guess I'm\nnot as tolerant to that sort of pain as you, heh...\x0E\x04\x02\x00
MID_RELIANCE_B_#022	But I'm fine... Really... I can handle...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nGregory?! Gregory!\x0E\x04\x02\x00
MID_RELIANCE_B_#024	What do I do? He just fell over! I'll...I'll go get\nsome help! Just...don't move.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Oh, why would you push yourself like that?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLady Veyle, I'm sorry about before. I know my\nfainting spell was...upsetting to you.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nDon't worry about it. I'm just glad that you\nwere OK.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nI still wanted to apologize. To make up for it,\nI brought some different treats for us to try.\x0E\x04\x00\x00
