MSID_Hp_5	HP +5
MSID_H_Hp_5	Grants max HP+5.
MSID_Hp_7	HP +7
MSID_H_Hp_7	Grants max HP+7.
MSID_Hp_10	HP +10
MSID_H_Hp_10	Grants max HP+10.
MSID_Hp_12	HP +12
MSID_H_Hp_12	Grants max HP+12.
MSID_Hp_15	HP +15
MSID_H_Hp_15	Grants max HP+15.
MSID_Str_1	Strength +1
MSID_H_Str_1	Grants Str+1.
MSID_Str_2	Strength +2
MSID_H_Str_2	Grants Str+2.
MSID_Str_3	Strength +3
MSID_H_Str_3	Grants Str+3.
MSID_Str_4	Strength +4
MSID_H_Str_4	Grants Str+4.
MSID_Str_5	Strength +5
MSID_H_Str_5	Grants Str+5.
MSID_Str_6	Strength +6
MSID_H_Str_6	Grants Str+6.
MSID_Tec_1	Dexterity +1
MSID_H_Tec_1	Grants Dex+1.
MSID_Tec_2	Dexterity +2
MSID_H_Tec_2	Grants Dex+2.
MSID_Tec_3	Dexterity +3
MSID_H_Tec_3	Grants Dex+3.
MSID_Tec_4	Dexterity +4
MSID_H_Tec_4	Grants Dex+4.
MSID_Tec_5	Dexterity +5
MSID_H_Tec_5	Grants Dex+5.
MSID_Spd_1	Speed +1
MSID_H_Spd_1	Grants Spd+1.
MSID_Spd_2	Speed +2
MSID_H_Spd_2	Grants Spd+2.
MSID_Spd_3	Speed +3
MSID_H_Spd_3	Grants Spd+3.
MSID_Spd_4	Speed +4
MSID_H_Spd_4	Grants Spd+4.
MSID_Spd_5	Speed +5
MSID_H_Spd_5	Grants Spd+5.
MSID_Lck_2	Luck +2
MSID_H_Lck_2	Grants Lck+2.
MSID_Lck_4	Luck +4
MSID_H_Lck_4	Grants Lck+4.
MSID_Lck_6	Luck +6
MSID_H_Lck_6	Grants Lck+6.
MSID_Lck_8	Luck +8
MSID_H_Lck_8	Grants Lck+8.
MSID_Lck_10	Luck +10
MSID_H_Lck_10	Grants Lck+10.
MSID_Lck_12	Luck +12
MSID_H_Lck_12	Grants Lck+12.
MSID_Def_1	Defense +1
MSID_H_Def_1	Grants Def+1.
MSID_Def_2	Defense +2
MSID_H_Def_2	Grants Def+2.
MSID_Def_3	Defense +3
MSID_H_Def_3	Grants Def+3.
MSID_Def_4	Defense +4
MSID_H_Def_4	Grants Def+4.
MSID_Def_5	Defense +5
MSID_H_Def_5	Grants Def+5.
MSID_Mag_2	Magic +2
MSID_H_Mag_2	Grants Mag+2.
MSID_Mag_3	Magic +3
MSID_H_Mag_3	Grants Mag+3.
MSID_Mag_4	Magic +4
MSID_H_Mag_4	Grants Mag+4.
MSID_Mag_5	Magic +5
MSID_H_Mag_5	Grants Mag+5.
MSID_Res_2	Resistance +2
MSID_H_Res_2	Grants Res+2.
MSID_Res_3	Resistance +3
MSID_H_Res_3	Grants Res+3.
MSID_Res_4	Resistance +4
MSID_H_Res_4	Grants Res+4.
MSID_Res_5	Resistance +5
MSID_H_Res_5	Grants Res+5.
MSID_Phy_3	Build +3
MSID_H_Phy_3	Grants Bld+3.
MSID_Phy_4	Build +4
MSID_H_Phy_4	Grants Bld+4.
MSID_Phy_5	Build +5
MSID_H_Phy_5	Grants Bld+5.
MSID_Mov_1	Movement +1
MSID_H_Mov_1	Grants Mov+1.
MSID_Avo_10	Avoid +10
MSID_H_Avo_10	Grants Avo+10.
MSID_Avo_15	Avoid +15
MSID_H_Avo_15	Grants Avo+15.
MSID_Avo_20	Avoid +20
MSID_H_Avo_20	Grants Avo+20.
MSID_Avo_25	Avoid +25
MSID_H_Avo_25	Grants Avo+25.
MSID_Avo_30	Avoid +30
MSID_H_Avo_30	Grants Avo+30.
MSID_Hit_10	Hit +10
MSID_H_Hit_10	Grants Hit+10.
MSID_Hit_15	Hit +15
MSID_H_Hit_15	Grants Hit+15.
MSID_Hit_20	Hit +20
MSID_H_Hit_20	Grants Hit+20.
MSID_Hit_25	Hit +25
MSID_H_Hit_25	Grants Hit+25.
MSID_Hit_30	Hit +30
MSID_H_Hit_30	Grants Hit+30.
MSID_CriAvo_10	Dodge +10
MSID_H_CriAvo_10	Grants Ddg+10.
MSID_CriAvo_15	Dodge +15
MSID_H_CriAvo_15	Grants Ddg+15.
MSID_CriAvo_20	Dodge +20
MSID_H_CriAvo_20	Grants Ddg+20.
MSID_CriAvo_25	Dodge +25
MSID_H_CriAvo_25	Grants Ddg+25.
MSID_CriAvo_30	Dodge +30
MSID_H_CriAvo_30	Grants Ddg+30.
MSID_SwordArts_Soft_1	Sword Agility 1
MSID_H_SwordArts_Soft_1	Grants Avo+10 at a cost of Crit-10\nwhen using a sword.
MSID_SwordArts_Soft_2	Sword Agility 2
