MID_WU_C_1_IN_#001	Pardon me.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	You wake so quickly.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Useful if there's an attack.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	I'll leave you be.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	I'm reluctant to enter like this...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	But this is my duty.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Divine One... Divine One?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Good morning.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	It's just me today.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Is this wake-up call too formal for you?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	My apologies.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	"The knight approached the altar..."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	"And the sound of the knight's footsteps quickly\nwoke the Divine Dragon."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Good morning, Divine One.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	"Deep at rest, the figure on the altar seemed\nfrozen in time..."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	"Without warning, the knight caused a horrible\nclatter, shattering the serenity..."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Hah, I could never.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	"The knight spoke...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	"inviting the Divine Dragon to wake."\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Good morning. How do you feel today?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Hm, it's quiet here... A good place\nfor mindfulness.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Sorry to disturb the silence.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	It's nearly time. Make yourself ready to depart.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	I have a spare bit of time... I'll meditate.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Go beyond material thoughts...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, an idea for my next comedy...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Ah, you're awake.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	I'll take my leave.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	I must write this idea down before I forget...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	"The knight heard the Divine Dragon sleeping..."\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Good morning.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Yesterday's sunset was gorgeous, just as\nyou said.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Perhaps today's weather will be good as well.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	You're so kind, Divine One...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Your chose to stay by my side earlier.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Someday, somehow, I will repay you for your\nmany acts of selflessness.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	How are you this morning?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	You care for our allies...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	but make sure you care for yourself as well.\x0E\x04\x00\x00
