MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nMe debato entre el dolor de una separación\nmilenaria y el arrepentimiento de un largo siglo.\x0E\x04\x02\x00
MID_OP1_#002	Te lo ruego: sueña con mi aflicción...\nDisipa la oscuridad que envuelve este mundo.\x0E\x04\x02\x00
MID_OP1_#003	Solo la llama del recuerdo ilumina este lugar,\navivada su luz por la esperanza que representas.\x0E\x04\x02\x00
MID_OP1_#004	Pero, por desgracia, yo conozco la verdad...\x0E\x04\x02\x00
MID_OP1_#005	No hay salvación para este mundo...\nporque tú no estás en él.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\n青リュール\x022\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0A\x08リュール\n¿Dónde estoy? Esto no es el Somniel...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0C\n青リュール\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\n¿Quién eres?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0C\n青リュール\nSoy...\x0E\x04\x02\x00
MID_OP2_#005	No, eso ya no importa.\nMi nombre perdió su significado hace tiempo.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nMe invade una sensación extraña...\nComo si ya nos hubiéramos encontrado antes.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\n青リュール\nNo es así. Al menos, no de un modo\nque puedas llegar a comprender.\x0E\x04\x02\x00
MID_OP2_#008	Eres mi imagen reflejada en un espejo.\nLa única esperanza que queda para mi hogar.\x0E\x04\x02\x00
MID_OP2_#009	Me veo en la necesidad de recurrir a ti.\n¿Me ayudarás a salvar a quienes amo?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. Haré cuanto esté en mi mano.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0C\n青リュール\n¿De veras? ¿Escuchas mi súplica\nsin saber siquiera a qué te compromete?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nQuiero pensar que, ayudándote,\nlograré calmar parte de mis propias inquietudes.\x0E\x04\x02\x00
MID_OP2_#013	Supondría la oportunidad de recuperar...\nalgo que perdí hace largos años.\x0E\x04\x02\x00
MID_OP2_#014	En definitiva, sí, puedes contar conmigo.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0C\n青リュール\nMe alegra oírlo.\x0E\x04\x02\x00
MID_OP2_#016	Temía que rechazaras mi petición,\nya que apenas puedo explicarte en qué consiste.\x0E\x04\x02\x00
MID_OP2_#017	Solo puedo decirte que un malvado enemigo\namenaza el mundo del que te he hablado.\x0E\x04\x02\x00
MID_OP2_#018	La única esperanza que le queda a mi pueblo\nes que reúnas los siete brazaletes.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\n¿Brazaletes?...\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0C\n青リュール\nEn mi mundo, allí residen los Emblemas.\nLos necesitarás para cumplir tu cometido.\x0E\x04\x02\x00
MID_OP2_#021	Te transportaré allí de inmediato.\nQuienes te reciban al llegar serán tus guías.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\n¿Volveremos a encontrarnos?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0C\n青リュール\nNo. Igual que nunca nos hemos encontrado.\x0E\x04\x02\x00
MID_OP2_#024	Ni siquiera en este preciso momento.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08リュール\nTu forma de hablar es tan enigmática...\nPero tengo la sensación de que volveré a verte.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0C\n青リュール\nDebes marcharte. Te doy las gracias y te deseo\nfortuna para las batallas que te aguardan.\x0E\x04\x02\x00
MID_OP2_#027	Adiós, Dragón Divino, reflejo mío\nprocedente de otro mundo.\x0E\x04\x02\x00
MID_OP2_#028	Presiento que en tu viaje conocerás la dicha,\nel sufrimiento, el pesar... y también el amor.\x0E\x04\x02\x00
MID_OP2_#029	Yo, en cambio, ya no sentiré nada más.\nJamás volveré a despertar.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_イル\x021\n\x0E\x06\x00*\x0EE001_イル\x18MPID_Unknown\n\x0E\x03\x00\x14\x0EE001_エル\x022\n\x0E\x06\x00*\x0EE001_エル\x18MPID_Unknown\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\n¡Ah!\x0E\x04\x02\x00
MID_OP3_#002	Cuánta luz...\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x10\x0EE001_イル\n¡Ha funcionado, hermana!\n¡Nuestras plegarias han recibido respuesta!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x10\x0EE001_エル\nDespués de tantos años...\x0E\x04\x02\x00
MID_OP3_#005	Al fin, nuestr\x0E\x0A\x00.\x14o salvador\x16a salvadora ha llegado.\x0E\x04\x02\x00
MID_OP3_#006	¡Oh! Eres...\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE001_イル\n¿No es...?\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\n¿Dónde estoy?\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x10\x0EE001_エル\nEn el castillo de Lythos. Aguardábamos\ntu llegada desde hace mucho tiempo.\x0E\x04\x02\x00
MID_OP3_#010	Gracias por escuchar nuestras plegarias.\x0E\x04\x02\x00
MID_OP3_#011	\x0E\x06\x00 \x0EE001_エル\x0EMPID_El\nYo soy Nel, una de los dragones\nque moran aquí.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x06\x00 \x0EE001_イル\x0EMPID_Il\n\x0E\x03\x02\x10\x0EE001_イル\nY yo Nil, su hermano mellizo.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x0A\x08リュール\n\x0E\x0A\x00(\x12Encantado\x12Encantada de conoceros, Nel y Nil.\x0E\x04\x02\x00
MID_OP3_#014	Soy \x0E\x06\x03\x00, el Dragón Divino.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE001_エル\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x10\x0EE001_イル\n¡Así que el Dragón Divino!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE001_エル\nQué cruel puede ser el capricho del destino...\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x10\x0EE001_イル\nEsto... Es un placer verte \x0E\x0A\x00$\x10renacido\x10renacida.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x0A\x08リュール\n¿\x0E\x0A\x00$\x10Renacido\x10Renacida? ¿A qué...?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE001_エル\nEl Dragón Divino falleció.\x0E\x04\x02\x00
MID_OP3_#021	Caíste en la última guerra. Y desde entonces\nnuestro mundo vive sumido en la oscuridad.\x0E\x04\x02\x00
MID_OP3_#022	Rezábamos para que alguien viniese a guiarnos.\nParece que la respuesta a esas plegarias eres tú.\x0E\x04\x02\x00
MID_OP3_#023	Una lástima. Habría preferido no volver\na verte jamás.\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE001_イル\n¡Nel!\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x10\x0EE001_エル\nPero estamos desesperados y no podemos\npermitirnos el lujo de elegir.\x0E\x04\x02\x00
MID_OP3_#026	No tengo nada más que añadir.\nSígueme, por favor.\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x10\x0EE001_イル\nLo siento, Divinidad. Todo esto la ha afectado\nmás de lo que preveía...\x0E\x04\x02\x00
MID_OP3_#028	El Dragón Divino y ella tuvieron\nun pasado un tanto complicado.\x0E\x04\x00\x00
