MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMe alegra poder hablar por fin contigo\ntras tanto tiempo observándote en silencio,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nTe entiendo. A mí me alegra tenerte\na mi lado en persona.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0A\x08リュール\nNo conozco a nadie tan fuerte como tú, Marth.\n¿Qué debo hacer para parecerme a ti?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06マルス\nTambién tú podrás lograr grandes cosas\nsi permites que tus amigos te presten su fuerza.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVer cuánto has madurado me alegra el corazón.\nPareces muy segur\x0E\x0A\x00\x08\x02o\x02a de ti mism\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nHe tenido la suerte de contar con el apoyo\nde mucha gente, jamás lo habría logrado sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\n¿Seguirás a mi lado para ver\nqué nos depara el futuro, Marth?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06マルス\nClaro. El futuro se construye con lazos\nfuertes como el nuestro.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nRey Heroico Marth, ¿lucharás junto a mí\nen nombre del Dragón Divino?\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06マルス\nPor supuesto. Ambos tenemos un deber\nque cumplir, así que unamos fuerzas.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMarth, ¿te apetece una manzana?\nYo me he aficionado mucho a ellas.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06マルス\nOjalá pudiera, pero me es imposible comer.\nMe conformo con verte disfrutar a ti.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTienes unas manos muy hábiles, Vander.\nNo tenía ni idea de que supieras hacer punto.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo es más que una afición que adopté\npara usos prácticos y para relajarme.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nCuando esta guerra acabe,\nme dedicaré exclusivamente a ello.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06マルス\nEs un buen plan. Creemos un mundo\ndonde puedas hacer punto en paz.\x0E\x04\x00\x00
