MID_Movie_S02	Una batalla del pasado
MID_H_Movie_S02	\x0E\x06\x03\x00 avanza por el campo\nde batalla. Sus aliados y los Emblemas\nabren el camino para el choque final.
MID_Movie_S03	¡Fusión Emblema!
MID_H_Movie_S03	\x0E\x06\x03\x00 y el Emblema Marth\nfusionan sus esencias para unir\nfuerzas y derrotar al enemigo.
MID_Movie_S04	La invocación del Rey Heroico
MID_H_Movie_S04	Una luz azulada emana del anillo\ncuando aparece el espadachín del sueño\nde \x0E\x06\x03\x00. Dice llamarse Marth.
MID_Movie_S05	La reina, el Dragón Divino
MID_H_Movie_S05	El enemigo acorrala a \x0E\x06\x03\x00,\npero l\x0E\x0A\x00\x08\x02o\x02a salva un dragón blanco\nque luego adopta forma humana.
MID_Movie_S06	El relato de Elyos
MID_H_Movie_S06	De camino al castillo de Lythos,\nLumera le habla a \x0E\x06\x03\x00\nacerca de Elyos y los Emblemas.
MID_Movie_S07	Recuerdos carmesí
MID_H_Movie_S07	Recuerdo de \x0E\x0A\x002\x16un guerrero\x18una guerrera de pelo rojizo\nen un castillo en llamas que sonríe\namenazante a las preguntas de Lumera.
MID_Movie_S08	Alfred
MID_H_Movie_S08	El castillo de Lythos está siendo atacado\npor enemigos desconocidos. El príncipe\nheredero de Firene llega justo a tiempo.
MID_Movie_S09	La caída de la reina
MID_H_Movie_S09	El enemigo le lanza un ataque mágico\na \x0E\x06\x03\x00. Lumera lo bloquea,\npero no puede sobrevivir a las heridas.
MID_Movie_S10	Encuentro con Veyle
MID_H_Movie_S10	Una aberración ataca por sorpresa\na \x0E\x06\x03\x00, pero una misteriosa\nniña le salva la vida con su magia.
MID_Movie_S11	Diamant
MID_H_Movie_S11	Diamant, el príncipe heredero de Brodia,\nrecibe a \x0E\x06\x03\x00 y compañía\na las puertas de su castillo.
MID_Movie_S12	Ivy
MID_H_Movie_S12	Ivy, princesa heredera de Elusia, ataca el\ncastillo de Brodia a órdenes de su padre\npara apoderarse de los anillos Emblema.
MID_Movie_S13	Refriega en la frontera
MID_H_Movie_S13	Los ejércitos de Brodia y Elusia chocan.\nEl rey Morion casi vence al rey Hyacinth,\npero interviene un Emblema oscuro.
MID_Movie_S14	El Dragón Caído Sombron
MID_H_Movie_S14	Un ritual devuelve a Sombron su poder,\naunque no al completo, por lo que toma\nla sangre que precisa del rey Hyacinth.
MID_Movie_S15	Timerra
MID_H_Movie_S15	Timerra, la princesa heredera de Solm,\nacampa junto a sus vasallas mientras\nrecorre el reginato.
MID_Movie_S16	El deseo de Veyle
MID_H_Movie_S16	Los Cuatro Mastines zarpan con Veyle.\nTras volver en sí, esta le lanza el Anillo\ndel Caballero Sacro a \x0E\x06\x03\x00.
MID_Movie_S17	La muerte del Dragón Divino
MID_H_Movie_S17	Sombron va a sacrificar a Veyle, pero,\nen el último momento, \x0E\x06\x03\x00\nse interpone para salvarla.
MID_Movie_S18	La restauración de Gradlon
MID_H_Movie_S18	Tras lograr todos los anillos, Sombron\nutiliza su poder para transformarse\ny hacer que emerja la tierra de Gradlon.
MID_Movie_S19	Recuerdos de hace un milenio
MID_H_Movie_S19	\x0E\x06\x03\x00 recuerda que, hace mil\naños, derrotó a Sombron en un castillo\nen llamas y cayó en brazos de Lumera.
MID_Movie_S20	Un nuevo Emblema
MID_H_Movie_S20	Incluso al morir, \x0E\x06\x03\x00 ansía\nseguir luchando. Los Doce Emblemas le\notorgan ese deseo mediante un milagro.
MID_Movie_S21	Pesadilla
MID_H_Movie_S21	Sin fuerzas por la batalla, \x0E\x06\x03\x00\ndebe enfrentarse a Sombron, Veyle\ny, lo que es peor, a su propio reflejo.
MID_Movie_S22	El rencuentro futuro
MID_H_Movie_S22	Tras la batalla final, \x0E\x06\x03\x00\ninvita a los Emblemas a la ceremonia\nde su futura coronación.
MID_Movie_C01	El ansiado despertar
MID_H_Movie_C01	\x0E\x06\x03\x00, el Dragón Divino, por fin\ndespierta de su largo letargo. Clanne\ny Framme corren a dar la buena nueva.
MID_Movie_C02	¡Aberraciones!
MID_H_Movie_C02	El grupo es atacado por unos monstruos\nen la pradera de Lythos. Clanne y\nFramme se encuentran en apuros.
MID_Movie_C03	El Emblema
MID_H_Movie_C03	Tras oír una voz procedente del anillo\ny tomar conciencia de su origen,\n\x0E\x06\x03\x00 invoca al Emblema.
MID_Movie_C04	Sincronización perfecta
MID_H_Movie_C04	\x0E\x06\x03\x00 y el Emblema Marth\nluchan juntos para librar a Clanne\ny Framme de las aberraciones.
MID_Movie_C05	Asalto a la cámara de los anillos
MID_H_Movie_C05	Tras oír una explosión, \x0E\x06\x03\x00\ncorre hacia la cámara de los anillos.\nDe camino ve a Vander y los demás.
MID_Movie_C06	La Cronogema de Dragón
MID_H_Movie_C06	\x0E\x06\x03\x00 tiene al enemigo contra\nlas cuerdas, pero un poder extraño\ninterviene para cambiar las tornas.
MID_Movie_C07	La muerte de Lumera
MID_H_Movie_C07	En su último aliento, Lumera le entrega\nun anillo Emblema a \x0E\x06\x03\x00.\nAmb\x0E\x0A\x00\x08\x02o\x02as juran volver a verse un día.
