MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nCielos, Lapis, ¿qué bebes?\nEl aroma es embriagador.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿¡Princesa Céline!? Pues... un té normal\ny corriente. No tiene nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\n¿Te importaría que lo degustase?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\n¿¡Qué!? ¡No, por favor! Una princesa\ncomo vos no debe beber estas cosas.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\n¿Qué inconveniente hay? No parece\nque produzca efectos adversos en ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nNo es por eso, sino... Esto...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nVeréis, no he comprado las hojas en una tienda.\nLas he recogido de una planta silvestre local.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\n¿Elaboras tu propio té?\nQué maravilla...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nAhora sí que debo insistir\nen que me permitas probarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nArg... Bueno, si tanto os apetece, aquí tenéis.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\n¡Caray! Qué sabor tan potente...\nReconozco que no me lo esperaba.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\n¿Os gusta? También he fabricado\nel juego de té a mano.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\n¿Es obra tuya? ¡Su factura haría enrojecer\nde envidia a muchos artesanos de renombre!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nMe admira que seas capaz de hacer tantas\ncosas por ti misma.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nAgradezco el cumplido, pero de verdad\nque no tiene nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nNo digas bobadas, Lapis. Si no te importa,\n¿podrías enseñarme a elaborar este té?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nMe encantaría conocer qué plantas puedo usar\ny cómo prepararlas para elaborar la infusión.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nSerá un placer. Acompañadme algún día\nal bosque y os lo explicaré todo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08セリーヌ\nExcelente. Procuraré prestar la máxima\natención a tus consejos, querida profesora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVeamos... Ese arbusto de ahí es comestible.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nSus hojas están riquísimas hervidas.\nTambién pueden secarse para hacer té.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nMuy interesante...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\n¿Y veis esas bayas? No se comen, pero pueden\nexprimirse para fabricar un buen ungüento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nLas he visto por doquier, pero hasta hoy\ndesconocía sus aplicaciones...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nY este musgo es ideal para tratar quemaduras.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nSe seca, se machaca bien y luego se mezcla\ncon agua para hacer una excelente pomada.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\n¡Es increíble!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nSi estáis interesada, puedo enseñaros\nmuchas cosas más.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nProvengo de una ciudad rica, pero...\ntengo amigos en aldeas bastante humildes.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nEllos me enseñaron todo lo que sé\nsobre el campo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nEn tal caso, les debo parte del agradecimiento\npor todo lo que he aprendido hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nGracias a vos.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nMe sorprende que a una princesa\nle interesen tanto estos temas.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nEs decir, no os hace falta buscar hojas por ahí\ncuando podéis comprar un buen té en la tienda.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nY lo mismo con los medicamentos: tenéis todas\nlas pomadas y ungüentos que necesitáis, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nEn circunstancias normales, y siempre y cuando\nreine la paz, estás sin duda en lo cierto.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nPero vivimos una época de calamidades\nen la que todo conocimiento resulta útil.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nCreo que puedo aprender mucho de ti,\ny ardo en deseos de absorber tu sabiduría.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nSi es vuestro deseo, alteza...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ラピス\nCompartiré con vos mis experiencias\nde todos estos años...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\n¡Uy! Quería decir "las experiencias\nde mis amigos"...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nEres muy amable, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x02\x0A\x08セリーヌ\nEntonces... hay que secar la hierba y después\nvolver a humedecerla justo antes de su uso.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEl musgo se seca y se machaca para tratar\ndolencias estomacales. Sí, diría que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nY, por supuesto, con estas hojas\nse elabora ese té tan delicioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Qué estáis anotando, princesa Céline?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAh, hola, Lapis. Trato de preservar\ntoda la sabiduría que has compartido conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セリーヌ\nMe preguntaba si tendrías a bien leer las notas\npara comprobar que no haya olvidado nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nClaro. Pero... ¿puedo preguntar\npor qué lo estáis haciendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nSupongo que me preparo para lo peor.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\n¿Qué queréis decir? Tenemos reservas de sobra\ntanto de alimentos como de medicamentos...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nAh, no hablo de nosotros, sino del pueblo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\n¿Por qué creéis que les hace falta?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nFirene es una tierra fértil, pero no podemos\ndar por sentado que siempre será así.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セリーヌ\nToda suerte de calamidades podrían\nasolar nuestra nación.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nDe suceder algo así, tus conocimientos\nresultarían vitales.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nN-no sabía que tuvierais planes tan grandes\ncuando me pedisteis que os enseñara lo que sé.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nBueno, no pretendo abusar de tu sabiduría.\nPlaneo entrevistar a otras personas también.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nBastante tienes con tus ocupaciones cotidianas,\nasí que trataré de no distraerte en exceso.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nNo, si no pasa nada. Es un placer ayudaros,\nasí que distraedme tanto como os apetezca.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nSi las habilidades que me permitieron sobrevivir\nen tierras inhóspitas vienen bien aquí...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nPues eso, ¡que me encantaría compartirlas!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セリーヌ\nMil gracias, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nAunque... pensaba que todo lo que sabes\nlo habías aprendido de tus amistades.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\n¡¡¡Ay!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nL-lo siento... Os he mentido.\nTodos mis conocimientos son de primera mano.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\n¿De veras? No tienes por qué avergonzarte.\nLa experiencia directa es mucho más valiosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nEs más, agradezco de veras tu sinceridad\ny tu cooperación. Significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nGracias, alteza. ¡Es un honor seros de ayuda\ntanto a vos como a vuestro pueblo!\x0E\x04\x00\x00
