MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n¿Quién anda ahí?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\n¿Nadie? ¿O ha sido un fantasma?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nQue no sea un fantasma...\nQue no sea un fantasma...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Princesa Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\n¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nTranquila, estás a salvo. Las sombras\nde los arbustos solo son eso: meras sombras.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\n¿Me he llevado tal susto... por unas sombras?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nEn efecto. No hay rastro de ningún fantasma.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nNo es propio de ti ver un motivo de amenaza\nen unos matorrales. ¿Va todo bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nMantén este incidente en secreto, por favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nNadie puede enterarse de que la futura reina\nde Elusia se asustó con unos simples matojos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nO, lo que es peor, que el príncipe de Brodia\nha tenido que acudir en su ayuda.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nLo entiendo, de verdad. No diré ni una palabra.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nEstoy en deuda contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nIntuyo que ese temor te acompaña\ndesde hace tiempo...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nToma, princesa Ivy. Quiero darte esto.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\n¿Qué es? ¿Una especie de cristal?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nUna gema de las minas de Brodia.\nInfunde valor en quien lo precisa, o eso dicen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nConsidéralo un amuleto de la suerte.\nAsí desaparecerán tus miedos.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nDudo que recibir la caridad de Brodia\nredunde en beneficio de mi imagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNo te lo tomes como un compromiso\ncon Brodia, sino como un regalo personal.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アイビー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSi te incomoda, no tienes por qué conservarlo.\nNo hay problema. Hasta otra ocasión.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0A\x08アイビー\nGracias, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アイビー\nIgnoraba que Brodia escondía tales tesoros.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPríncipe Diamant, quería presentarte\nmis disculpas por la otra vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nNo te di las gracias debidamente ni por tu\ndiscreción ni por la gema que me regalaste.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nPor eso, permite que te transmita\nmi agradecimiento en este momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nNo tenías que haberte molestado.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia tiene muchas cuentas que rendir.\nRegalarte la gema es lo mínimo que podía hacer.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nCierto. Brodia ha invadido nuestras tierras\nen numerosas ocasiones.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nA menudo me pregunto cómo le habría ido\na mi pueblo sin tanta muerte y sufrimiento.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nNo me sorprende. Por eso no merezco gratitud\nalguna de tu parte. Espero que lo comprendas.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nPero tú acudiste en mi auxilio a título personal\nmovido por tus principios.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nPor la misma razón quería darte las gracias,\nconforme a mis principios.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo.\x0E\x04\x00\x00
