MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nUf, creo que ya he tenido suficiente\nentrenamiento por hoy...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nExcelente trabajo, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nOs he traído una toalla para que os sequéis\nel sudor de la cara. Sé que lo agradeceréis.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nGracias, Vander, muy amable.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nTambién os he preparado una muda limpia.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nHaced el favor de dejar la ropa sucia\nen ese cesto de ahí para que pueda lavarla.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nVander, aprecio tu servicialidad,\npero prefiero hacerme yo la colada.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nSeguro que tienes tareas más importantes\nde las que ocuparte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nMi única prioridad es cuidar de vos, Divinidad.\nNo dudéis en pedirme lo que sea.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nPero...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nEse ha sido mi deber desde incluso antes\nde que despertarais de vuestro letargo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nSi os hicierais cargo de las tareas que me\ncorresponden, mi puesto no tendría sentido.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nDe modo que dejad que me encargue\nde estas nimiedades y no os preocupéis.\x0E\x04\x00\x00
