MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, ¿tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nClaro.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nCreo que deberías cambiar tu actitud\ndurante los duelos de entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nEstos duelos no son combates a muerte,\npero has ido a por mí como si lo fuera.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nMe gustaría que te lo tomaras con más calma.\nTen un poco más de... espíritu deportivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\n¿Qué? No, lo siento, eso es ridículo.\nNo voy a hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\n¿Perdona?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nMerrin, sé que a ti te parece elegante\nsoltarme un monólogo en medio del duelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nPero eso es como si me enseñaras\nel trasero para que te lo pateara.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nConmigo, como mucho te llevas un chichón.\nUn enemigo real te destriparía.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\n¡Ya lo sé! Solo quería practicar\nun poco de enfrentamiento verbal.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\n¿Con qué fin? Eso no sirve para nada\nen un combate real.\x0E\x04\x00\x00
